group,ASCL2,BACH1,BARX2,E2F2,E2F4,E2F7,EGR1,ESRRA,FOXA2,GATA1,GATA2,GMEB1,HOXA1,JUNB,JUND,KLF4,MAF,MEF2C,MNT,MYC,NFYB,OTX2,RXRA,SIX5,SP4,SPI1,THAP1,YY1,ZBTB33,ZFX,ZKSCAN1
progressive,-0.131061334181152,0.473032930998331,-0.393941582509821,0.0082576216333789,-0.134697718019704,-0.0490911818204546,0.290834949087539,0.0399244642274376,-0.31053202821303,-0.0712882748349502,-0.227122473916239,-0.265986326190765,0.127727982329146,0.0796216544649657,-0.0388638522745265,-0.0653033931006664,-0.000303031986546,0.448487340088104,-0.151591751269644,-0.123712808507411,-0.0699246308954932,0.193713197399541,0.0138637133844802,0.405305282005296,-0.184394963813251,-0.209243586710024,-0.0585609314000176,0.0057576077443743,0.0335607925099713,-0.0890156460478922,-0.0262880248328669
progressive,0.158765671601273,-0.129876147957944,-0.061491604491698,0.0852747781226308,-0.306406342431123,0.0642411775752954,0.113581442955611,-0.049657036472896,-0.0347181117468066,-0.176086714943566,-0.0204634125806908,0.372928271872997,0.240175842394423,0.185171709878771,0.176935661471682,0.270864625843608,0.0319178552883963,0.383711159864432,-0.225921143228307,0.166317494448388,0.0518110799024424,-0.0082613900944955,-0.217545715540483,-0.0820943963531241,0.0340845695616459,-0.0564992920726316,0.0312843131032356,0.147919429391321,-0.239352237553714,0.131536028483065,-0.0608580623065373
progressive,0.3103644291898,0.154661798078766,0.202572291690801,-0.312604437925837,0.0343363057251814,-0.018361468278808,-0.150852994195324,0.0471282792827142,-0.0570838736650994,-0.314826674286552,0.361352837750203,-0.0123691901980654,0.18827326666909,-0.179301357939707,0.23442697630166,0.145982061071255,-0.202844699305635,0.343156913019104,-0.114606158123138,0.191340380303146,0.134955757680848,0.0478210188949019,0.200274522734972,0.0458008666983962,-0.0134637999866919,0.0620553892408768,-0.0844423005298846,0.0009059315109732,0.164963417544448,0.305068414554283,-0.180380799925258
progressive,-0.586780480642002,0.597067195520844,0.63711972366612,-0.658787484793893,-0.57966732673642,-0.560297661485836,0.553403373854272,-0.557671266197621,-0.651564897751302,-0.655395057546615,0.595535131602718,0.70923616095502,0.712409721928279,-0.562158024814988,0.655285624409606,-0.601663387275219,-0.584044652216778,0.629568837212502,-0.650251700107194,0.697855114706089,-0.568395713624498,0.611731235880043,0.586014448682939,0.700153210583277,0.685379737087068,-0.5671919491174,0.555482603457442,0.567301382254408,0.597286061794861,0.773801711790301,-0.597176628657852
progressive,0.210909492690841,-0.019514364979759,0.090626033973796,-0.129765014582917,-0.415644949003906,-0.0612993611793559,-0.317962873455508,-0.0718834235412591,0.0142223337988074,0.0371544689162643,0.28521843052337,0.0510460507662622,0.198120417336875,-0.0956975638555412,0.0427772520460254,-0.0750806923797507,0.145089854877756,-0.0260191533063453,0.171550010782514,-0.0469667767309454,0.0867672612376854,0.150271635409105,0.112124910646412,0.0246961455111074,-0.150381886058708,-0.236818395347584,0.0617403637777686,-0.0904055326745897,-0.0968000703515728,0.172873018577752,0.0017640103936505
stable,0.216762352000315,0.0491984940425879,0.0371983047543743,-0.259825764115903,0.0030272382848704,0.116633149449541,-0.323599414943908,-0.239724069160275,-0.22277625898627,0.154170156847497,-0.122822146218151,0.163236658108189,0.142645859453299,0.0033441881581982,0.268384611768957,0.0913385477693107,0.203470208302128,-0.0113002305153276,-0.0159321026009953,-0.0206280319242197,0.0192064950607723,0.108957891317036,-0.0835198281151936,-0.0300912877000286,-0.074844476361333,-0.0377470617561106,0.0647822854143682,0.166756202954199,-0.128625064677904,0.155266069420031,-0.168999273889312
stable,-0.0227923553869311,0.151377196504389,0.114460627243976,0.0384246447829806,-0.0898951306585676,0.0681218787088303,-0.236229493838038,0.0358332573675639,0.0698159941157323,-0.0069641478826002,0.187842660204558,-0.0896168940173951,0.0580658467308344,0.129989195288583,-0.236130711598569,0.334582030565854,-0.0964032338689503,-0.210027504818751,-0.0445096307343023,-0.0849428477198296,-0.0585581115575241,0.0305418220733139,-0.0521471442159531,0.0916369908145466,-0.148387387389779,0.171372368143675,-0.0902244047901326,-0.0237587749630744,0.128978323704678,-0.197602345464145,-0.0113138591605743
stable,-0.0285446595546307,-0.13346557035003,-0.0374531266373446,-0.217595401147892,-0.158121798114767,0.286910384439668,0.012539222354794,0.0089208852281506,-0.0984370866092178,-0.001977589660808,0.200304685895348,-0.0471532504916535,0.150607267857333,0.0625036305196998,0.0698163659137868,0.336991212718044,-0.116839225878354,0.280660952748606,-0.132410027987903,0.0244280443423364,-0.121005513672396,-0.0979294949144892,-0.221715120896545,-0.103078368466216,0.137222059344658,-0.0275915668923574,-0.0199730346668896,0.0783973044106055,-0.0114200369973037,0.0732592967361355,-0.0011036626756943
stable,-0.0437571134410208,0.181847413938136,0.126614036522952,-0.0937543454206716,-0.121816736473406,-0.109055078364117,0.0146898921652946,0.097151111562596,-0.279105665487545,-0.0530602927759812,-0.0110402756544911,0.0469818841907812,-0.0176215279111342,0.12938939074136,0.245868270218419,-0.144015284621199,-0.15561868804638,-0.0544788262013874,-0.0257321677662062,0.0697161322726394,0.154012159657445,0.139737684934354,-0.0668527804117287,-0.100987008797139,0.286660320237715,-0.0050541503112661,0.141897912775139,0.146072372368011,-0.108845941109858,0.115134344069211,-0.0005265573218577
stable,-0.114366726122032,-0.174370685084456,0.125721432699494,-0.0214075996619655,-0.169018785168964,-0.15168537958681,-0.139848519863809,-0.0628004472065543,0.17490105354455,0.212870613755806,-0.0345221652206471,-0.193921995136093,-0.259277854014008,-0.102963804230017,-0.292112483225266,-0.0310265549154838,0.0824722955445767,0.215618886685383,-0.0500474965070275,0.266196751652504,-0.0895358391267342,-0.211110754774586,-0.221790446948292,-0.184881623657223,-0.41462759750692,-0.10397632583565,-0.202793613014025,-0.07372121595303,0.0789525775821364,-0.18090386020652,0.280516700075035
