group,AR,ARNT,ATF3,BCL6,EGR1,ETV6,FOXA2,FOXG1,GATA1,GATA3,GATA4,GMEB1,GTF2I,HNF4G,HOXA1,HOXA6,HSF2,JUN,JUNB,JUND,LHX2,MAFK,MITF,MYC,NFATC1,NFE2,NKX2-1,PAX5,RFX2,RXRA,SIX5,SP1,SPI1,STAT4,STAT5A,VEZF1,ZBTB33,ZFX
progressive,0.0736845318921353,-0.0548279558991839,0.126089152723952,0.0324121065260369,0.174631583292152,-0.161606157305053,-0.118289042975864,0.184779298886752,-0.0772438052723309,-0.0199167850849245,0.0218857448271604,-0.0899663143760089,-0.209164108002135,-0.0424083636789268,0.167437307310905,0.0718670305916098,0.231277040491861,-0.111549142319748,-0.0056039623432867,0.20575629306365,0.357517651657524,0.0828477676156176,-0.146157396250587,-0.133359157926054,0.0082544850732196,-0.200985352149771,0.0028019811716433,-0.0258236643116322,0.110867579332051,-0.0892090221674566,0.290270103538083,0.290497291200648,-0.19894066318668,0.0967819442529793,0.126694986490794,0.0274897071704472,0.159864385225383,0.224234222952325
progressive,-0.0519328723901649,0.0057406843532292,0.032361202946965,-0.0923081722992708,0.0899712565448589,0.201216066832326,0.126028342559943,-0.0057660856114294,0.0296432683195512,-0.0749845142067824,-0.0252488506509288,0.328349364123975,0.126383960174745,0.10980963919916,0.138424156561606,0.0326279161580664,0.0692565304826532,-0.210195411606072,0.248487808342767,0.162301339269728,0.198637839125013,0.0336947690024718,-0.452409109173407,0.29611516746801,0.0376319640234919,-0.248665617150168,-0.349330803397282,-0.058626103925899,0.138894079838308,-0.226503019370555,-0.0755179406289851,-0.155074681311791,-0.132734274724777,-0.202651237920634,-0.165235184591843,0.0094492680504481,-0.15089617433787,0.0161043976988821
progressive,-0.0072904099342155,0.333662765244498,0.199469776444857,0.0371125059955439,-0.0933283084590027,-0.0036808358570862,-0.0673811196253645,0.268374701515694,-0.237671536773435,-0.0219404971732613,-0.135793809128943,0.0410211647659478,-0.228391933644555,-0.131863825520188,0.128997629171329,0.0518129904245054,-0.0210468483718639,-0.246967785549516,-0.0141226426760923,0.255732831068115,0.320872081176772,0.157609502302215,-0.12106724396243,0.189631048327704,-0.0080179858038511,-0.247065665023386,-0.112084040745018,0.0064342713700613,0.166198656258444,0.0776268606644245,-0.029528457639719,-0.451827990197961,0.0479769741789877,-0.13417734035711,-0.275692419516287,0.0418493048912599,0.184860267765119,0.304291022154243
progressive,-0.495643834704117,-0.305036884560274,-0.452129769605149,-0.505070055355279,0.526662677079452,0.24179352042399,-0.509892772897734,0.493890119234134,-0.55417408851482,-0.450156839701417,-0.502768303800926,0.556585447286048,-0.0990849240540738,-0.523922496657603,0.492794047065394,0.331452223826902,0.474051212979944,-0.581247071082692,-0.505946913090271,0.50923512959649,0.592317399986964,-0.399627912722515,0.0339782372309324,0.684825891028599,-0.457062094364478,-0.453554663424511,-0.237738053399653,-0.524908961609469,-0.308763529933989,0.413109600398014,0.556147018418552,0.132405517983762,-0.546391976116768,-0.536308112164362,0.522607210055115,0.0460350310870697,0.524141711091351,0.485121541884216
progressive,0.170683015056507,-0.263104300379709,0.13830263599434,0.0026343359237017,-0.179903190789463,0.211844513864347,0.0524671904803926,-0.0968118451960382,0.169695139085119,-0.0949458572500828,0.283739931782039,0.240712445028245,0.189013602525598,-0.36266024549627,-0.0594920862769305,0.230065337336617,0.123045440436235,0.117557240595189,-0.0466496986488846,0.109324940833621,0.285166863740711,0.154328179530192,-0.146644699752729,-0.0922017573295602,0.137863580007057,-0.0397345668491676,-0.0050491438537616,-0.163877647253611,-0.463094302587398,0.127765292299533,-0.170902543050149,0.0638826461497667,-0.147632575724117,0.0055979638378661,0.093628689288232,-0.208222301969257,-0.109434704830442,0.127875056296354
stable,-0.108770958996374,0.375221161990816,-0.0023519984255619,-0.0624765834543091,-0.188176943603185,-0.204126845496416,-0.214650628211913,-0.173282953913481,-0.0326583322802303,0.037920156960017,-0.307229644313616,0.16845186886711,0.0642771551355438,0.125263486142971,0.25386740481766,0.286238755150177,0.226945911017287,-0.351833200099618,-0.035696180221167,0.291818233640118,0.0113808612368492,0.340000528993414,-0.183895818385981,0.0004667457328041,-0.220594835153059,-0.163756273439177,-0.295081586447961,-0.160152996381929,0.141216188510599,-0.478387571583602,-0.106962919383415,0.195270678606266,-0.185161899525194,-0.0997146248648137,0.159811338505516,-0.0944889396403384,-0.240394189138611,-0.028376006859714
stable,-0.233408520917845,-0.488264858065721,0.0302688031785321,0.154998283552686,-0.267514469894483,0.0312836944673398,-0.222734039326635,-0.355485444514433,-0.0819656519775731,0.0094767121643216,0.087190035543822,-0.207579867127847,0.458076784876071,-0.227760716797661,0.317733465631737,0.237158346523894,-0.0175019320795529,-0.0079197766644461,-0.288311503561074,-0.0824434417076936,-0.0775189123858651,-0.45603052679052,-0.0016755591570088,0.288471315988045,0.0173569476097233,0.0227905701267491,-0.223689618786876,0.490584609582995,0.210786000972035,-0.290682329152948,0.0015519928474949,-0.322211508688522,0.384123172407381,-0.313832065352684,0.0291418784357651,0.492232160376515,0.25846776848727,-0.372353069538481
stable,0.020806186279603,-0.295156406318272,0.241757538179036,0.136416996161017,0.0633009536575065,-0.0708277193205153,-0.229843654614616,0.174235692404626,-0.0448716407451694,0.0346448712179069,-0.125489592719613,0.0859806754148368,0.0846570831867907,0.0403167435472454,0.183292667392313,0.150087901802808,-0.0987754002859493,-0.0356360118769367,0.0112241242343113,0.183390538648612,0.202605928635352,0.176674706252082,0.0252507841251898,0.202669622627547,0.426498078759774,-0.110659767122279,-0.0632310456172928,0.0256609112944436,0.0501986334094536,-0.11615919961909,0.119859665214402,0.137822924525315,-0.108105793386472,0.0611275903628627,0.0555644638738566,-0.0683125833848267,-0.196845506121743,-0.157594471809755
stable,-0.0238057880602035,-0.175213013702744,-0.0159250501585255,-0.124484373821241,-0.164897534437582,0.159352306603507,-0.284161541381867,0.234185858278618,-0.075810136330537,-0.241246436651229,0.0120833405652624,0.0726596141786106,-0.0788216774743998,-0.215290446534174,0.0557087926704473,-0.0768602150581283,0.320690668970391,-0.0167260497543815,0.0764386965274993,0.260796145816351,-0.0734740543246292,-0.0065735729060843,0.0689631769147638,0.150384599953579,0.0012579783013818,-0.0606014388987589,-0.235654881814467,-0.0687335436853913,-0.0927580981471763,-0.111225128101333,-0.0825429940545049,-0.148320474611598,0.157442032665514,-0.135730968646598,0.0822018328556986,0.219777588504391,-0.168332881865293,0.0193069213547387
stable,0.150038475627929,-0.159845069425997,-0.102860808166955,-0.196710151762713,-0.230394717191948,0.19005998004707,0.111631324487586,0.135557485768866,-0.0365759444360361,0.214202994753861,0.173988731734267,0.084596930773994,0.154110501062508,-0.0931505936691144,-0.205962564584477,-0.165170025763523,-0.0905001629128799,0.169386620148441,-0.183048385955577,-0.0379734442893234,-0.0953673175743287,0.169651663224065,0.211407995047287,0.077199819481594,0.0697304237140241,-0.0775612418574442,0.48454693188978,0.0147942225847999,0.107077402551874,-0.0449609435557598,-0.104908868296773,0.368530349241879,-0.0796815864624318,0.0067706458409263,-0.0475149950117676,-0.172567137055923,0.0926686971679808,0.112016841688493
