group,ARID3A,ARNT,ASCL2,BHLHE40,E2F1,ELK1,ELK3,ETV7,FOXD2,FOXK1,FOXP2,GMEB1,HNF1B,HNF4A,HSF2,IRF3,IRF4,JUNB,KLF9,KMT2A,MEF2C,NANOG,NFYA,NKX2-1,NR2F2,NRF1,PBX1,POU2F1,PRDM14,SETDB1,TCF21,TCF7L2,THAP1,VDR,YY1,ZBTB7B,ZNF143
progressive,0.287883249693665,-0.096906638512062,0.0912333068270204,0.0282899917808156,-0.49357985659862,-0.0889333074952468,0.0650133144448011,-0.173573282904516,0.116456632832138,-0.258136591669393,0.110783301147096,0.076973310970024,0.0279066585588533,-0.0213133271411023,0.485529858937412,-0.231686599353996,-0.110476634569526,0.129183295801285,-0.0773566441919862,-0.0446199870364083,0.354123230448746,0.141449958904078,-0.080346643323292,0.188446611916652,-0.149653289854071,-0.0157933287448456,0.134933294130719,0.212136605033921,0.172269949949844,-0.109863301414387,7.66666443924542e-05,0.407866548167856,0.281366584920307,-0.0647066478672313,0.453253201648189,-0.250163260652578,0.244873262189499
progressive,-0.0282205314478699,0.0781874724232159,0.0542064054281482,0.155710932341776,-0.0353203574591892,0.152582411887148,-0.15032221547707,0.0042139255103154,-0.0696830045751248,-0.143426701005644,0.0368654634796381,0.355246689990832,-0.106165383917462,-0.134232681710411,0.179615382509383,0.0485367601960875,-0.0133440974493321,0.285091214979702,0.186383202268375,-0.384859093804231,0.157779586683204,0.034541419713343,-0.269423073764075,-0.140783420458265,0.0482686012999765,-0.396658085233114,0.0302636468468107,0.0689423752430088,0.10310071081905,-0.0342987997597188,-0.151216078464106,0.119241322470683,-0.0813670707628175,-0.157064496293574,0.0354097437578928,0.0997551093532848,-0.220401073660739
progressive,0.0807118858025483,0.238060513813855,0.0988685554954263,-0.275718174821858,-0.296788569485474,-0.0253673813976608,0.0655799783143212,-0.0682279079063805,-0.173242528517261,0.200803743485791,-0.0990320269786868,-0.0151656042043521,0.0249937873710584,-0.150134060847013,-0.144547191579015,0.163045223656984,0.0247104110970101,-0.0804878836049673,0.0263642490087891,-0.0475158396497039,0.196923609034061,0.161021184522973,-0.118182325696704,-0.0482960304363217,0.140454235762285,0.026827829460375,0.0132317057137042,0.16175503268627,0.184611353304507,-0.170578560213636,-0.119176725813745,0.0205470545896118,-0.0030296200836345,-0.247012119706172,0.0073479660633694,-0.32975421337795,-0.007190894642897
progressive,-0.35368745373387,-0.364612588810205,-0.378738015979608,-0.424976718979449,-0.128232393522233,-0.0471215421979291,0.120176485839683,0.406547450719369,-0.153834730266775,-0.0644472614603995,0.352914969435544,0.406878515418652,-0.406216386020086,-0.190141492288131,0.145227048085421,-0.38591108446407,-0.136619365904066,-0.481809492356343,-0.0581570321740249,-0.0016553234964143,0.100091894083189,-0.31682891721371,-0.0602537752694831,-0.486002978547259,-0.267720986820084,-0.0366378267206381,0.363509039812596,0.469780808282398,0.0906013727037465,0.211881407541039,-0.466028741690526,0.0465697676991243,0.391097764752835,-0.140812852094982,0.323560566099129,-0.351811420437934,-0.0925877608994437
progressive,-0.190997312649629,-0.370785602302388,0.124298076796969,0.0029964714942126,-0.0474996222045561,0.396976982770321,0.0468337396502867,-0.07446786565247,0.0203094179052191,-0.176014955178566,0.218076536523254,-0.0982176767547481,-0.223292616531699,-0.552349578766533,-0.124741998499816,-0.198876922875151,0.139946316822302,-0.161809460687483,0.307415779221076,0.144940435979323,0.0398419728304571,-0.181785937315568,0.299536168995554,-0.0276341260021834,-0.0917808120634765,-0.362573050799731,0.135507099793839,-0.292655382601436,0.354804420999921,0.18755691945257,-0.131733765319645,0.110425523583022,-0.250926742533882,-0.394424432978955,0.1130890538001,-0.0053270604341558,0.0143164749167938
stable,0.0001128897803296,0.237986673152668,0.289554108069725,-0.132750739485364,0.295808362788035,0.13737117607648,-0.0441499596118833,0.0656219444213493,-0.384721265474589,-0.155612126662474,0.0384635056295548,0.179238804654455,0.163608664866987,0.17039559309747,0.239054969791227,0.126876850927144,0.186372580701698,-0.0028146023259618,-0.121246171468114,0.0529824452990036,0.117992076624432,-0.282711271242572,-0.206673434595274,-0.218675548900889,0.144732340564863,-0.14532306784768,0.259619814156857,-0.135381929436634,0.070111659473485,-0.0636529428608731,-0.117993149211418,0.139861320839025,-0.0519078472118991,0.134301834341224,0.303842843757195,-0.229714480092623,-0.243644971726601
stable,0.0142325254781139,-0.295851911484329,0.0323877789262669,0.2217841120906,-0.0117731556819424,0.125921722272712,-0.203265919299211,-0.0098507372428864,0.0360569465332236,-0.0498950447798761,0.032251883829713,-0.143508536475524,0.0857067172363926,0.286819859335316,0.0574670532695713,-0.104725401724846,0.196075079982777,-0.166630589976996,0.204914890287884,-0.193619024701156,-0.0765918022236275,-0.258485731703817,-0.376624973812903,-0.252022428331129,0.396846827083041,-0.0326496255757245,-0.0434996889554651,0.199154263999817,0.0394924408643985,-0.0574687105268463,0.154936982644256,0.0395835900145262,-0.0734827875756371,-0.004575687336408,0.0697423579058533,-0.0568323237332278,0.146657325298115
stable,0.0467938185937972,-0.197627437594031,0.0722264281864138,-0.0997594501101926,-0.191842337557942,-0.0744297560438245,-0.368183413806245,-0.170453060685966,0.0165756370306263,-0.172590896844855,-0.0545405509332282,0.193437528214793,-0.0183485908691796,0.111919075469066,-0.106968214926052,-0.144304720388076,0.0860451765745051,0.0533772936213893,0.0996144327777516,-0.393226191860042,0.0606889739634972,0.041763432416864,0.0697252690333447,0.0091220580083879,-0.0973003927633161,0.0260875265778342,-0.0093855841286302,-0.0072711378620705,0.053765565834054,-0.354695242563073,0.0744593832407748,-0.0560141141499678,-0.0773332213449558,-0.244566273520269,0.236571608322148,-0.165676844672344,-0.0012880034042612
stable,-0.0255460196049232,-0.178615182138929,0.141936703020096,-0.0486045539365861,0.190986497849712,0.137326778267086,0.175908381951929,-0.11251142512445,-0.287077760769371,0.440526340978521,0.273104842569264,-0.0046484413957897,-0.0659723980163417,-0.0113333784191563,0.258150037415903,-0.131498980264388,-0.396214955523726,0.0973056869177546,0.224792612705119,-0.110402782651069,-0.0481909311831517,-0.14737013659075,0.188913785080417,-0.176370006790022,0.0474519290295173,-0.023812483242197,0.0095110238279302,0.0992746347016502,-0.130742731852793,-0.0701137994280742,-0.133750191803581,-0.14888033391288,0.0330926946510808,0.21524220992151,-0.0401857931128607,0.0818168226428641,0.0006533457390941
stable,-0.276618475848991,-0.0476811204640529,0.172103596216737,-0.121800499678286,-0.131778575294745,-0.0712060724649018,-0.268995323188242,0.0315365455615096,-0.299148048043819,0.0199804287891627,-0.0484337247076301,0.0094925244915706,0.09434258356584,-0.107039745481675,0.161688524587878,-0.115634000392202,0.127165839608304,-0.195725658442564,-0.0107064023037919,0.211069073989041,-0.132458346869589,0.362148306498105,-0.244863432281282,0.0645054669414402,0.024496054250626,-0.188855110025391,0.0100023531727036,-0.0447192586022329,0.0450105892771661,-0.109540333774851,0.174167188497513,0.093492869097285,0.0983726579024147,0.248505065717946,0.201819325059914,-0.142436422486048,0.13641558853743
