group,AHR,AR,ARNT,ARNTL,ATF3,BHLHE40,CTCFL,E2F3,ELF1,EPAS1,ETS2,ETV7,FOXP3,GATA4,HNF4G,IRF2,JUNB,KLF10,KLF9,LHX2,MEF2A,MEIS1,MXI1,NFE2,NR2C2,POU2F1,RARG,RUNX1,RUNX2,RUNX3,RXRG,SMAD3,SP4,SPI1,STAT5A,TEAD4,TFAP2A,ZNF76
progressive,-0.0119233896426835,-0.25589428540836,-0.0037451672595608,-0.540909157059428,0.0146749410986873,-0.138876916543307,0.150876738170879,0.228913794742544,-0.117246664819721,-0.151793921989547,0.295868213505305,0.106316890980594,-0.0762026889343295,-0.466387971792657,0.323460160050233,-0.157067728946888,-0.174264925546912,0.226085811301652,0.122673335746839,-0.291358726396855,-0.137501140815305,0.0120762536124614,0.365268455784514,-0.0168914686604682,0.0325600255627125,-0.0060381268062307,-0.561622224964346,0.0145985091137983,-0.146672979001984,-0.2132452378403,0.223716419770093,-0.044254119250729,0.112813609696159,0.226162243286541,0.0666486908232049,-0.0304199299858206,0.405777407775682,-0.128329302628625
progressive,-0.0512803678272189,0.0506641118088401,0.086669197478373,-0.146472254921468,-0.178412673235737,0.0583607561234853,0.179553402461247,-0.213631049094574,-0.157813988025673,-0.182175768496901,-0.043793512795426,-0.0781071723719619,0.0129282645557755,0.161904879041293,0.231004224080783,0.0353888296511541,0.25810637705927,-0.447873895229389,0.0747374320161461,-0.0374080514986079,0.145305302035602,0.124759064146251,-0.129741559613994,-0.131878787933052,-0.0378538537246691,0.0111843911420654,0.118465385660681,-0.150340244824058,0.0461667540576931,-0.0377751827435995,0.140073681794472,-0.0146983616298421,-0.141424200302834,-0.11369267947579,-0.0865774146671251,-0.0456422808505622,-0.0494447116022609,0.0332647131622742
progressive,0.0623514880230112,-0.12352706302674,0.0980786022859752,-0.0670479015569314,0.0442376952311511,-0.0827226166227361,-0.136058771497917,-0.129600200778629,0.0361325505164351,-0.143873596146316,-0.0204719233680576,0.194892171854027,-0.0656448695152594,-0.0591424783677302,-0.0429927436330958,0.0448691608338408,-0.218330185593993,-0.0195830613955793,0.152558369154293,0.129328015987231,-0.0169788981840925,-0.0194354106808865,0.119911916613807,-0.0653603091499896,-0.0252601029497494,0.0343000315777285,-0.0295243054037071,-0.139698357723404,-0.040521676216087,0.130532961013145,0.0440411648913518,0.209083919567675,-0.0372967884660262,0.0917057265782187,-0.163879839901297,0.168507837526827,-0.091808389357702,-0.061050340422843
progressive,0.427350427457486,-0.70083714169068,-0.566947177258699,0.198310791580811,-0.490673795881464,-0.426362714605119,0.412205497054525,0.37642834262434,-0.304105812656573,0.218613777990579,0.552789959708105,0.463786057122583,-0.0568483619473493,-0.278535024367514,-0.455664862558676,-0.0479589462760456,-0.375660121516943,0.245830754366916,-0.354369422254808,0.415827110846537,0.434044925679086,0.171971782184356,0.530292055848632,-0.443483070712815,-0.547631903701299,0.48156488846519,0.132902251579614,-0.111282314700023,0.0046093266443796,-0.112160281679905,0.301691403461898,-0.112160281679905,0.118525542284049,-0.475528865478503,0.538742488029995,-0.581104394809294,-0.308276155811012,-0.0646403188938006
progressive,-0.34102379448795,0.0409667875504042,-0.459750597013384,0.0761125570306438,0.117957988818054,0.253049540257725,-0.197914614385599,0.427350590773788,-0.493248908549237,-0.481167550290405,0.117079344581048,-0.0935756112411378,0.42833906554042,0.115541717166288,-0.17386172839756,0.46425364872804,-0.0132894940847156,-0.0645803514199402,-0.0195498342733833,0.203515971396512,-0.135750534617425,-0.254806828731737,0.231193264862201,-0.150797317176153,0.0967606966002846,-0.267986492286827,-0.238881401936003,0.20692071781491,-0.477872634401632,0.0429437370836677,0.425373641240525,-0.459311274894881,0.0438223813206737,-0.0224054280436527,0.0939051028300151,0.331358707880884,-0.268865136523833,-0.159693590075839
stable,0.0611930342513445,-0.0548539256570584,0.202163958418184,0.252251787494967,0.0122334410095764,-0.0309665103229153,0.0341017158363962,-0.109710285479888,-0.187259967094589,0.102414549737467,0.192106796839614,0.132989565065492,-0.0711962384886501,-0.250928818398246,0.158160867612583,0.109897040087122,-0.0638980685804575,0.179935562288639,-0.146483768713189,0.0954564868801028,-0.0640224814976592,-0.241706846142107,0.0623468288269578,-0.0018294108085908,-0.229902359234013,-0.260009338576783,0.0390288730518756,-0.108259116985877,-0.201783417169265,0.257199499888071,0.102555866583636,-0.0544637829764859,0.0062601334381494,-0.0611049985892811,0.166011322688006,-0.0414689890062083,-0.0495298641894194,0.023004354084875
stable,-0.0015233628530908,-0.18072183536487,-0.15764305481044,0.178975134850604,-0.119843989006013,0.152529622388906,-0.167233240649264,-0.0048734277707194,-0.018830364895208,-0.068572995475619,-0.0065834609077776,0.108580437407339,-0.0601494989115916,0.0048667609748634,-0.0254771603636174,-0.0097901897145027,-0.159328087463039,-0.0073151417529711,0.0393940967129701,-0.0684679934408874,-0.0486109419838588,0.40745122893184,-0.021792088954226,-0.0552994049263681,-0.0166686563389074,0.186720284936286,0.141266070790232,-0.517903369275744,0.046497567697514,0.180700168278338,0.140037713653768,-0.0641245759407181,-0.47274082744839,0.393515958893883,-0.050922653446919,0.145461152082606,-0.0499359676602343,-0.204508962978997
stable,0.0974975460733586,-0.0906515322959463,0.0022191394521823,-0.0751332724157421,-0.0410446500943296,0.0291034166965384,0.0576300457309302,-0.0892307801254273,0.0526212656784479,0.0267192562510989,-0.191078593906747,0.213104967435313,-0.0154051026276849,0.126313354753077,0.0153941012281344,0.0877251600155189,0.0972350841126543,-0.014862890792697,0.0994715114784159,-0.182832259129409,-0.0469681179380089,-0.136404781397881,-0.061980313438891,-0.151275530333114,-0.140219123784883,0.0129329309858416,0.0952894080207267,-0.0468973946551844,0.154693822336298,0.0688231839592889,0.120782794036201,-0.147542912628487,-0.110108293215222,-0.0614758206880762,0.0166026835501799,0.0202221440022875,-0.102236006022601,0.0070628985114074
stable,-0.108426218749395,-0.061411541896933,-0.161202811783102,-0.0172439600254405,0.100215495396037,-0.038208250965886,-0.293152507972691,0.0919445389369987,0.100746353676728,0.222473425504542,0.31040626668518,-0.15429473741385,0.0620447099982783,-0.0918067809249627,-0.144992613241287,-0.200347125558806,-0.0919220595961226,-0.049223416191884,0.33404819295999,-0.123658277766419,0.0012490444020165,0.0420228221945642,-0.160785502993504,-0.0297070253612057,0.133370794008311,0.0600109060423413,0.204601484917959,-0.178962932058661,0.0263382943932381,-0.16338330784809,0.0084689475767556,0.036214794544855,0.260613373857766,0.14272018243605,0.10279456746656,-0.183159363885556,-0.0580289774884262,0.101915855795645
stable,0.199911637776533,0.0524354405316978,-0.180446045003745,-0.251033150796068,-0.131125099315694,-0.177428878123963,0.153194215121842,-0.0840913607784444,0.0249646227311007,-0.0062776536692241,-0.19489924763754,-0.218744598784206,-0.242224970066381,-0.0962330242704709,-0.149228100594386,0.26392910600804,-0.428875672766453,0.113727725775014,0.252322746317265,0.111489182606144,0.0729229769250572,0.0839940328145805,-0.317994789934459,-0.113338413919558,0.0746748802746082,-0.155481422272645,-0.15029870819689,-0.0851133043990158,-0.183949851702847,0.413181538593392,-0.121440966911231,0.0581047944267723,-0.2022961728912,-0.105357520882715,-0.0500995693989633,-0.104554565180838,0.138303036650659,-0.437683853496139
