group,ASCL2,BCL6,CEBPA,E2F6,E2F7,ESRRA,ETV1,ETV6,ETV7,FOXP2,GATA4,GMEB1,HNF4G,HOXA1,JUN,JUNB,KLF4,LHX2,MAFF,MITF,MNT,MYC,NFIC,PAX5,PBX3,REST,RXRA,SIX5,SP1,SPI1,STAT4,STAT5A,YY1,ZBTB33,ZBTB7A,ZFX
progressive,0.0288243862214096,-0.0540930082632753,-0.124678709955074,-0.202527249119983,-0.455062160424617,-0.217885124193333,-0.354819872384281,-0.0186866755818587,-0.036389841922567,0.530035826423087,-0.100015324369301,0.205477776843435,0.0534877718071827,0.270540695873388,0.112347017162187,-0.085035722081009,-0.0006808910131041,0.0073384920301226,-0.20910919557999,-0.297927645511578,-0.265169222325566,0.0248146946997962,0.287033389301911,0.128083165020595,0.231124671670358,0.146315913260384,-0.105386797917122,0.162279024789826,0.382963367592587,-0.0735362294152498,0.0678621376393818,0.27447473283799,0.0583296634559235,0.0469058253471758,-0.0893480318306688,0.146315913260384
progressive,0.203764731778522,0.0001646634868602,-0.0544529484624769,0.1940749188979,0.0292594349728592,-0.34614798222437,0.0372266144524819,0.216874478617011,-0.0796844612182931,-0.175417279194427,0.155872989946322,0.411291390910697,0.137114018866321,0.088183630424695,-0.275862006179177,0.413077356422027,0.491469842589571,0.22680495351689,0.195886217253362,-0.479158080341251,-0.113035150518526,0.327655006007758,-0.04573845008095,-0.107094598569491,0.283791186392602,-0.461184427429352,-0.120356342472774,-0.166994108520422,-0.0280561248765728,-0.11053986537149,-0.143751224028995,-0.213264548328151,-0.0775185030449775,-0.131034136274558,0.149273784049846,-0.140052628785673
progressive,0.207555091904713,-0.0395995843761331,-0.258015849168525,-0.198870475747926,0.0987249563423712,0.0029810596729701,0.103890849210107,-0.0559637627665451,-0.080738591032745,-0.100630995318878,-0.172653320383912,0.0613019286971301,-0.103005650745262,0.184160287355502,-0.219066963447487,-0.0672639714091457,0.236815993492147,0.281024955174445,-0.34361111518262,-0.0595058594026468,-0.12444161554381,0.202673127728195,-0.053528260003906,0.0320956670980466,0.303135758314386,0.114205315678584,0.0537756343130152,0.0159917375161026,-0.464995956735802,0.0163702324704677,-0.110484815265652,-0.274173805667422,-0.0085426134942159,0.189246097771868,0.152465492317849,0.262832291339378
progressive,-0.607891126420602,-0.485370434273814,-0.473315625565275,-0.462027941047279,-0.486904682654901,-0.300931861033166,-0.601206187045867,0.191342690955538,0.450301899848973,0.0036164426125617,-0.55901435656598,0.488219752695832,-0.624658269442479,0.459945746815804,-0.685809026345795,-0.57380889452646,-0.101479571491883,0.660932284738174,-0.477151246517992,-0.0889864061030339,-0.483617007552572,0.6255349828031,-0.0018630158913196,-0.508274570820038,-0.116822055302751,0.25271262619901,0.295342813359207,0.653151453662662,0.174137191253351,-0.459288211795339,-0.466849864530695,0.499836204724061,0.30443871447565,0.529973226495409,0.222575604427662,0.49293208700917
progressive,0.384519183665024,0.072803175920609,0.0291651277031355,-0.0411162514611873,-0.208541627411142,0.172249682788067,-0.0674306523963472,0.0351955112507763,-0.0077846769433181,-0.161066062390624,0.236939251753669,0.221479541204262,-0.286607683518783,0.076092476037504,-0.0999947235536076,-0.148786008620883,0.156132112215282,0.253166465663684,0.0569048920222833,-0.0718163858855405,0.326627501607672,0.158982838983258,-0.314347447837931,-0.153062098772847,-0.028178337668067,-0.217751667738448,0.0692945891292544,-0.080697496201157,0.152952455435617,-0.0010964333722983,0.130585214640731,0.047256278346058,0.221589184541492,-0.0702813791643229,0.134313088106545,-0.0597556187902589
stable,0.31991960564123,-0.134100201505377,-0.321838140039514,0.371163036241927,0.279743034589103,-0.4748740150671,0.144744019425452,-0.0807114691493534,0.0054719775515743,-0.0214446286257945,-0.429528000482894,0.115437367862547,0.206624343752114,0.256901050329245,-0.434232457749092,-0.0363986242206369,0.283761730323432,0.0444121804826532,-0.253302599914251,-0.179978979563176,-0.135137365888236,-0.099727836164438,-0.260668211396836,-0.0501699141987693,0.491658794215663,0.252591937915109,-0.54748737289177,-0.075604609679407,0.130323852564835,-0.14957670744023,-0.188675101575165,0.13082159559515,0.470665037152375,-0.311899790973001,0.370621218052961,-0.0445562569831351
stable,0.203255776840677,0.118496355778774,-0.279931825053812,-0.0729922151562674,-0.223680566285946,-0.180035617871684,-0.0447094593511949,-0.0034929779275258,0.167888347010204,0.174589665474082,0.171058845581255,-0.0752100833834481,-0.195315545338916,0.348733453878752,-0.0714785365442449,-0.154827933072992,0.242710138923611,0.0903057369326942,-0.157318921571473,0.169963073890378,0.0141183436627881,0.239138186459806,-0.104106537147525,0.454811063827585,0.147919306451381,-0.241003959879408,-0.429634639782837,0.0979103266552681,-0.367503068667831,0.219769681437275,-0.304102969063837,0.213223021440277,0.0934597824753541,0.334598657187572,0.489461141620187,-0.286103356003482
stable,0.0556976760836685,0.0325570613295089,0.208517010589152,0.17064631644932,0.280577819437535,-0.010974988013142,0.269992466783841,-0.0859169252564883,-0.218124394013952,-0.0528258616813611,-0.13739381033482,0.0717518947586211,0.131009068369041,0.0485631577090715,-0.0700086257998151,-0.0272729228292634,0.311576339329251,0.19913161065599,-0.149300197613575,0.0095002725092544,-0.0596561229625245,0.0702632082657493,0.0451557887290366,0.0426860283430523,-0.125060531725992,0.216461846324832,-0.189182714167131,-0.0461803279212111,0.249261071463401,-0.0331422905347358,0.0350842580035393,0.0035920965010481,0.308976183046081,-0.232087621337603,0.22506331854277,-0.172263846507268
stable,0.161971876823038,-0.0350947447307222,-0.239050716700836,-0.108871622067078,-0.0629392859958708,0.0483731655244854,-0.14645348144029,0.206108233268434,-0.129501673747217,0.377420289847662,-0.0066082107485518,0.0554933704648054,-0.186177602225263,0.0055136517370208,0.0045990906835332,-0.100231148658902,-0.0273394041384488,-0.0496525795818167,-0.0849164652508909,0.160989316540957,-0.274851167711506,0.132583353073339,-0.158570486838106,-0.121584334992704,0.0048385165388355,-0.269104947184252,-0.217973812947078,-0.106976786419864,-0.229331112677532,0.158330775271759,-0.129256533671024,0.0448323485498301,-0.0133475628665355,-0.128123403668484,0.18967099116653,-0.0159201051113347
stable,-0.0389477616733172,-0.0321836572047127,-0.122259382904066,0.0404161259885659,-0.249958935238397,-0.146114285140319,-0.0778955233466345,0.0373831111734621,-0.0885832898379527,0.0070288914762723,0.082204330107774,-0.121103948688788,-0.0725997831932786,-0.247238850523264,-0.0680021178783197,-0.024673334805408,-0.0424140643191502,0.0091471875376146,0.142335052394515,-0.0678817601475616,-0.0609732264020473,0.110368039105167,0.187493272974949,0.162194077969599,0.120357730758088,-0.029896860320309,0.025178837274592,-0.201310340465978,0.122740813827098,-0.0930365258760019,0.140168613240869,-0.163012510538754,-0.0286451399204249,0.158703703777615,-0.208748448226828,-0.108827460151463
