group,ARNTL,ASCL2,ATF1,BCL6,DUX4,E2F2,E2F6,ETV1,FOXG1,GATA2,GATA4,HNF4A,HNF4G,HOXA1,HOXB13,HSF2,JUN,JUNB,LHX2,MAFF,MNT,MYB,MYC,NFAT5,OTX2,PAX5,SETDB1,SIX5,SPIB,STAT5A,TCF21,TFDP1,ZBTB33,ZFX
progressive,-0.403925247652796,0.36200313218813,0.0123014701749599,0.0402225702431256,0.194962116128148,-0.0716236914792076,-0.0387658171960909,0.0612645587002939,0.262053687016581,0.26496719311065,-0.0568942995591897,0.017238244389911,-0.0925847492115406,0.116054659413767,0.481537812769813,-0.0848153996273554,0.0632068960963402,0.14794136499886,0.140010153965005,0.23575120144512,0.0500151879481924,-0.201193781940463,-0.184764844798905,-0.534061853187899,0.0988973457486911,-0.22636323736423,0.297177621595085,-0.0431360763371951,-0.462033508084515,0.0281638922426714,0.223854384894337,-0.033586250806634,0.268123491379226,0.351320276509876
progressive,-0.329092418295638,0.181579936042727,-0.118998471508147,-0.140696275874877,-0.216625013058077,0.144416675372051,0.203576458617259,0.0290299785582405,-0.0155740811067829,-0.0131436011433006,0.19423472557326,0.0295866806727811,-0.0238159880220551,-0.11115032950316,-0.0808847438126466,0.0940962354577204,-0.266348016556803,0.0190636528979278,0.185368226041674,0.0955355140953133,0.203101225104846,0.0730637580083685,0.13030902910357,0.0997583033056093,-0.118699753300345,-0.218118604097088,-0.0960650600091446,-0.0622691682264222,-0.0471295863309881,-0.291182362105457,-0.4773381179677,0.0399739274440879,-0.0595807043562016,-0.125203663370222
progressive,-0.0475927760793961,0.0693597897376461,-0.101644250401755,0.256765567597027,-0.0015921183414547,-0.125441928520126,0.0388241113437593,-0.0337678898774225,0.102766376956907,0.156927507966412,0.146215420340869,-0.123874966712781,-0.04919844024691,0.0026159570277604,-0.0436702918762618,0.0936213317686261,0.0065644040641748,0.211984598613831,0.112675551868776,-0.0771307398800914,0.0601986991958783,0.0755799040561503,0.0690912921139732,-0.118857286346779,-0.0902787379286915,-0.0388990971665868,-0.101162728537319,-0.124053158829393,-0.141250230050847,-0.202020514728472,0.0931303762038981,-0.0186130131942226,0.1294574596475,0.0524300873210266
progressive,-0.0349186931182936,-0.496183365116398,0.449099449879473,-0.506208409269714,-0.0621778019396712,-0.421389777275924,-0.471177075205878,-0.462391081453533,0.464756541309934,0.0802003532265324,-0.550025737085896,-0.420038085929409,-0.548786686684924,0.43490669074107,0.12232806685957,0.468248410621763,-0.621552737505626,-0.451577550681416,0.684181103227469,-0.599137189342592,-0.417559985127466,-0.137309312616774,0.466671437384163,0.0776096114790461,0.438849123835071,-0.433442358449012,0.537072028348464,0.679112260678039,-0.403930430716777,0.425670133206553,-0.152515840265063,-0.414743961488894,0.493705264314454,0.403592507880148
progressive,0.0373928158841429,0.126333456819928,0.0452960293359964,0.150396972404676,0.0641693748926616,0.0080211718615827,-0.0737240060807233,-0.130108125931261,-0.0213504721609775,0.359301316035013,0.150396972404676,-0.0686517944623696,-0.199349712442276,0.0378646495230595,0.288762187016977,0.0806835522547436,-0.117958409729157,-0.0123856330215615,0.163490355884612,0.153110015828446,0.14131417485553,-0.114065782208095,-0.0108521736950825,-0.171747444565653,-0.0892945161649721,-0.091417767540097,-0.0424650275024966,0.0004718336389166,-0.0416393186343925,0.145442719196051,-0.0522555755100167,0.0644052917121199,-0.045767862974913,-0.0306691865295809
stable,0.131331022819123,0.0511423905394948,-0.0969137411189901,0.0673403951101413,0.166962536941053,0.0858403143033836,0.0897728341731182,-0.016745588506823,0.0956682948592005,0.0104766916775241,0.0165612714996756,0.006861677272975,-0.0103031088409079,-0.12683326412747,0.119611850902614,-0.0695322844847924,-0.0707120545696214,-0.093885433877422,0.0962761878850719,-0.0967590843198894,-0.0052638394937736,-0.0619550900024622,-0.123384629366154,-0.0176010736503413,-8.75682332807328e-06,-0.23471916363745,-0.0966088059324528,-0.135182047736272,-0.0291396007759373,0.126188083982911,-0.071595928769413,0.0455092108359968,-0.201290273060702,-0.0189660081768333
stable,0.156066579950674,0.188955337761003,0.080239575282701,0.131883514802205,0.244131793007504,-0.0842147533484369,-0.0549182355489035,0.0497468152106239,-0.0044231101942214,0.0347929085055377,-0.112399345511377,0.378924231749991,-0.209827218351845,0.338230915324521,-0.152435694815068,0.110574241662371,-0.142800762561175,-0.0216307303143935,-0.0168036029062439,-0.208623949692972,-0.115181794497734,0.0903786507557137,0.0216886980016092,-0.0014000074760899,0.224078486424012,0.189378677537336,-0.315753505457461,-0.0196229404208291,0.0989174667422548,0.0715567183764116,0.123660886200477,0.116759218228636,0.121951717725903,-0.136775636283899
stable,0.068162804130832,0.15944391097437,0.0172380204460017,-0.0705961373105374,0.165561631539228,-0.0963197112809223,0.111980813926079,-0.152430474898543,0.235620667044285,0.0026707714778596,-0.267381723809807,-0.0029393223805997,-0.128486869411563,0.13758321248913,0.110988485590344,0.0096334448830462,0.0016178554384582,0.0167926189487744,0.156886127376321,0.0040348135631184,-0.230403574506909,-0.0014115297448896,-0.0740479989140495,0.099923860896354,-0.0037613501438649,-0.190885654166512,-0.113043554998507,-0.232023067450872,-0.0131688192672885,-0.145587339395186,-0.0173362707762725,0.0237323672768978,-0.0535136798874643,0.0419692660806521
stable,-0.130506186179119,0.0425751097950737,0.179049502565676,0.0468987171979451,-0.108758660262626,0.0241104730517568,-0.159211562407827,-0.104582568059171,0.158649141932657,-0.0449509757767225,-0.0218115192718408,-0.0055995688120851,-0.189330500781662,0.0278824757578266,-0.175327072177129,0.221347608259197,-0.0033039198533372,-0.0381163051625941,-0.0878048923030772,0.0377026016399929,-0.0286287644652641,0.0507079742517292,0.0526704371490647,-0.186763556048834,0.0446033686774853,0.0303025061678141,-0.158136594213298,-0.153232239599687,-0.0028142054438674,-0.0692053587684401,-0.0759153474930409,-0.122157907469954,-0.0521759157269866,0.0472015589922676
stable,-0.159405748750914,-0.165051312473065,-0.157912931420538,-0.0398175095211291,-0.521807512299732,0.34394511291871,0.200878928402097,0.104334360326667,0.0332219711341936,0.401106445605485,-0.0952146035447314,0.230518137943388,-0.0350133519306452,-0.142903331716936,0.0171809703659678,-0.113861249107796,0.0208723004919893,0.140324829055377,-0.179056653245323,0.0382432657909141,0.0272778439459678,-0.454033605500646,-0.0045870205242473,-0.190184927889947,-0.0701352723944088,-0.116602604569033,-0.165539870872097,0.0058084165218279,0.129467975743549,0.0201123207601613,-0.175121043919785,-0.229649589678441,0.129793681342904,0.107564274186936
