group,ATF2,BACH1,BARX2,BCL6,CEBPD,DUX4,E2F6,EGR1,ESR1,FOSL2,FOXA2,GATA1,GMEB1,GTF2B,HNF4G,HSF2,JUNB,KMT2A,LHX2,MEIS1,MNT,MYC,OTX2,PAX5,RXRA,SPI1,STAT4,TCF12,TCF3,USF1,YY1,ZBTB33,ZBTB7A,ZFX,ZKSCAN1
progressive,0.0072103138725479,0.173354354808069,-0.167908266670293,0.18823521535354,-0.0415743629672447,-0.224747017516655,-0.202962664965553,0.126717431036694,0.211937204572873,0.0273838516223365,-0.221755504314215,-0.112373508758328,-0.17419811494209,-0.11314056342562,0.291480773571089,-0.110302461156638,-0.0594467367151562,-0.0726400769925845,-0.0567620453796331,0.193911419891503,-0.0258497422877518,-0.101558037949506,0.283733521431436,-0.0455630472371649,0.0655831740534949,-0.113293974359078,-0.0944244295436869,0.311500900387419,0.003298335069357,0.327148815600182,-0.118970178897042,0.049858553374002,0.072486666059126,0.01802578468137,-0.0671172833880796
progressive,-0.0517269392242468,0.0134651009983591,-0.488346253096088,-0.209552231191731,-0.419845426195517,-0.243112781782518,0.274054408554839,0.218597099794045,0.274424890460866,0.144130236682626,-0.0841249431443975,0.0741602573960862,0.169846791056153,-0.125465613761751,0.0540520325655195,-0.0577440763876502,0.21944026551121,-0.491872218822413,0.121939648035425,0.213244275013862,-0.0861434307703375,0.494721096927379,-0.294252060052378,0.0363327772669197,-0.272853536169786,0.0694589697609854,-0.118707512786293,-0.0059277104964313,0.517716525577329,-0.0186390724445977,-0.12480130137853,-0.179555972041687,0.245923334173068,-0.248759437039895,-0.276813859992833
progressive,-0.142106079858658,0.155720556120114,0.21736665069007,-0.0246442306408162,-0.109267137496626,0.0605178405088681,-0.205372286856679,-0.110895339700463,-0.0322513935044892,-0.0309454725583373,0.0038366339442789,-0.177884615600011,-0.0012279509168005,0.249810426766981,-0.0786702187058635,-0.0435265377489529,-0.0551496964426064,-0.156868225643057,0.254850819346226,-0.181028456556219,-0.0797380691078497,0.157620497744427,0.0224137638920788,0.0501110759094828,0.022457448681251,0.0879407165138713,-0.187955307800157,0.106806381797561,-0.154945863783031,0.0712590595523386,0.0180405081548826,0.137384809672272,0.103026453329174,0.186894853764591,-0.218496137478896
progressive,0.484492186665541,0.163400810008686,0.479440817538928,-0.528856385081878,-0.451548474970241,0.476805320603304,-0.627028645933871,0.54708523888661,-0.453634910044277,-0.454842846139771,-0.61527872209588,-0.489982805281424,0.529076009826513,0.45769796782003,-0.487676745462753,0.501403292002461,-0.643610314153838,0.143744395363824,0.455940969862948,-0.485590310388717,-0.570694898934908,0.44924241515157,0.55367398122567,-0.416628140573223,0.611325476692444,-0.47230301333828,-0.573659832987485,0.534896065559349,-0.131994471525834,0.2418068438435,0.4854804980164,0.61341191176648,0.49250848984473,0.477244570092575,-0.609568478735362
progressive,0.0569883798422579,0.0921773211817491,-0.0243445506122267,0.0639597738812137,-0.167534771031414,-0.114751359022177,-0.215006644725256,-0.161891261571307,-0.136882768669656,-0.117075157035163,0.190440780016555,0.0879723533487281,0.0968249172077196,-0.0874190681075412,-0.136218826380232,0.0521194697198125,0.0707098538236947,0.109218506610308,0.161669947474832,0.198740058634359,-0.0459226750185185,0.137436053910843,-0.0326438292300312,-0.0015491986753235,0.239572509433958,-0.103906968294913,0.0518981556233377,0.0941691480500222,-0.079230446537974,0.312827475367112,0.0831034432262828,0.186567783328246,0.116189900649264,0.0947224332912092,0.214674673580544
stable,-0.0606175589987364,0.142961618863004,0.105191153265068,-0.0349683814305437,-0.2231492916334,-0.0284688107639315,0.188439322994313,-0.185300190313025,-0.274113277496858,-0.153819108927686,-0.122657660989945,0.0823314674317133,0.0408576210044257,0.243129463235359,0.226635519982217,0.23465180896136,-0.0059141565148933,0.0240877159314799,-0.0685600348891847,-0.294657563284834,-0.0858320297197146,-0.0939337864857678,0.0603048915776582,-0.0407278117794793,-0.363025228672447,-0.0329029545675686,-0.176777390828699,0.273537642574676,0.0408209154031509,-0.127648952953078,0.334548380185608,-0.149701651406581,0.288581178729269,-0.0376099790638947,-0.079563677548724
stable,-0.265312940266348,0.45039470279504,0.208638734767623,0.215244666942081,-0.162707843675683,0.145859246781499,0.0340640064303705,-0.16973015776809,-0.276304101052864,0.321190732731534,-0.0734600146433762,-0.0009071177498192,-0.204048619814986,0.277958062560276,-0.202497101477863,0.0866437897359221,-0.0142429052886008,-0.219887655789061,0.0256058356447154,0.240701794758957,0.0164256057394409,0.126894041804404,0.175524806126225,0.524946893818436,-0.317051698190009,0.133627201787124,-0.28702758774927,0.0897286510089868,0.352544952076834,-0.452182501347507,0.0895782908719494,0.152817120815177,0.281474176534075,-0.291069136048101,0.190554210593176
stable,0.0448732780391821,-0.276671795170178,0.0427101846892347,0.0801606863409532,-0.0648990341968361,0.0866920438550955,0.167946744267852,0.0732880338385988,0.0488379102310164,-0.0140710157468839,-0.109094397533405,0.0015054381671823,0.0862572433906608,0.0781923960664694,0.0263420510764845,-0.0563012056581764,-0.0157743738387373,-0.232252018690675,0.205521919887867,0.0061698030060818,0.0163229392992426,0.10194434545159,-0.096648818648189,-0.0009444053098473,-0.107034160207302,0.0837107775882012,0.0993495684864158,0.0004176577937938,-0.102360444820781,-0.0835455845802081,0.250777011954958,-0.228687901621994,0.11271461788782,-0.191399476129061,0.111259049307956
stable,-0.0105994259673901,0.152845168686889,0.175731297265999,-0.116115050021777,0.0464732804306856,-0.0276819541839882,-0.0906271293790383,-0.154624843814123,-0.178783890623547,-0.159323679707133,-0.369592783807856,0.037234292995739,0.0972172646534733,0.115561519979785,-0.126203701766904,0.364493937091343,-0.0042500432617633,-0.224754144530846,0.0211170706688561,-0.143095120077869,-0.133254681648617,0.148998579670351,0.122245201544365,-0.106274324640715,-0.146032071855882,0.125725640051011,-0.164640322847633,0.138072315591075,-0.0970023377475884,0.143277334477384,-0.0537340220856986,-0.164122661781924,0.214656310327791,0.0696053267111886,-0.0512097070108399
stable,0.0109068363078516,-0.113091773805412,-0.0642533845602545,-0.0595270888268522,-0.0160936429075854,0.072445630498152,-0.17446090609759,0.100876117140618,-0.0100342894032235,0.163578307203756,-0.0769053146773624,-0.0111734478620435,-0.0073681738613041,-0.0973132172800536,-0.0303210049358274,-0.138177497313471,0.100706455242496,-0.0296908321713738,-0.0483051661367738,-0.0790139696968803,-0.054485706711223,0.114230932264232,0.0795229553912468,0.123974372699246,-0.0999066205799205,-0.0622174417827889,0.0999308579939379,0.07103986048514,-0.211907710754548,-0.0087012316322638,-0.0612964200501259,-0.0031993386503031,-0.0902601298009762,-0.159021673368476,0.100488318516339
stable,0.0245340450052289,0.0589398186910712,0.0422719752906384,0.0025228538480246,-0.201105467694507,-0.145397169662704,-0.197647173655642,0.212855163424914,-0.104698434693025,-0.0839061504511582,-0.272638295621365,-0.0108638622163535,-0.0255757852177559,0.180022630060031,-0.156331898560182,0.0702643143347325,-0.119559177724788,-0.0959463995741749,0.134965594201208,-0.228523786621495,0.237275821740344,0.0113599289842235,0.275529656211236,-0.032995526731469,0.136467967841043,0.134838034175185,-0.0793848561954285,0.190220345473817,0.0601303789339592,0.0126993092574726,0.134363227411652,0.055616171346342,0.227141886339571,-0.0254694851960695,-0.163305179982812
