group,ASCL1,ATF3,BATF,E2F6,ELK3,ESRRA,ETV7,FOS,FOXK1,FOXP1,FOXP2,GMEB1,GMEB2,GTF2B,GTF2I,HINFP,HNF4G,HOXA4,HOXB13,JUNB,KMT2A,LHX2,MEIS1,NFE2,NRF1,POU2F2,RELA,SMAD3,STAT4,TP63,VEZF1,ZBTB33
progressive,0.365925229574667,-0.243007965611068,-0.105117560729591,0.139265489251486,0.56959050348825,0.0650109332709899,-0.0449958163297451,0.0482807401025448,0.0046600081428089,0.14889107984155,0.467299505074789,0.0923598335189504,0.0307866111729835,0.15500256593048,0.0305574304446486,0.027043325943514,-0.266842761357894,0.159509786921066,0.0283420167374116,-0.223909571583163,-0.290906737833055,0.0048891888711437,0.221923338604261,-0.0988532874884382,-0.525511410071844,0.322686465495489,0.154696991626034,0.0834981786900023,0.157676341094387,-0.26287029540009,0.226659740323181,0.236208937337134
progressive,0.345491902706176,-0.136103647111828,-0.0048164678883809,0.26165205608529,-0.121359619081173,-0.123486038414873,-0.183153877308698,0.224977727456474,-0.266007372792868,0.0422337623084892,-0.0208927104413545,0.27166928451272,-0.15563852352082,-0.183640647999545,0.168678854133511,0.345389424665998,-0.0982252015109176,0.206698207039667,0.0864017976253442,0.314415437022101,-0.37432666126135,0.160134747533644,0.15641991857718,-0.0737585694183442,-0.270375499255469,0.0836733198055964,-0.215716274575359,0.0229935102650101,-0.122051345852376,0.214537777113308,0.203278002448716,-0.320384782862488
progressive,-0.0423660560231389,0.105010474630124,-0.360783679251331,-0.235587734709101,0.156085141731013,0.157745521340465,-0.186179983539764,-0.125237392514141,0.0551640977988617,-0.163953643174025,-0.196954610686759,0.107431451438403,-0.0433565010661981,0.271807494815963,-0.296411749162022,0.303128396855036,-0.0227219473768042,0.377563956042572,0.147469730916632,-0.0776060598960247,-0.185056120627939,0.230024324928413,-0.198362688263115,-0.367382365554899,0.0501235168883422,0.0663994203071117,0.112717951855732,-0.0374411295648523,-0.273620670566762,-0.0609789637356673,-0.0552930555890178,0.228227912921355
progressive,0.0659826941221626,-0.332767963201788,-0.297416170344324,-0.477139415399199,-0.0009880935891837,-0.367570815176373,0.451229405727268,0.0331560293259453,-0.452327287493028,0.479444967107295,-0.267883150845386,0.100895334273323,-0.389748026844721,0.246913609119374,-0.0239338224935631,0.0776202408392162,-0.716038487628526,0.616570399650691,0.278422815796679,-0.451229405727268,0.486251834055005,0.542134015932178,-0.560798005950094,-0.511393326490904,-0.295000830459652,-0.126146614885798,0.288852692571397,-0.558163089712271,-0.562225252245582,-0.310041810650561,-0.0116375467170536,0.54235359228533
progressive,0.174169616314833,-0.451414661350858,0.108981372204675,0.0498105044739159,-0.202807870564937,0.0596165993144184,-0.0680854994039432,0.0319812411275478,-0.0478047123474495,-0.109649969580164,0.160574803013228,-0.0115890211751393,0.0985066799886838,-0.239915024904566,-0.005014480316166,-0.0699798586344948,0.0954979917989842,-0.190884550702054,0.174726780794407,0.128259263197936,0.152774500299192,-0.0207265186401529,-0.0421216346557947,0.0287496871460186,-0.21818561020118,-0.0941607970480066,-0.0210608173278973,0.0741028757833425,0.415310403074462,-0.0851347324789077,0.325049757383474,0.277133612140109
stable,-0.241417651135123,-0.0339682260315176,0.35585227584326,0.240474835974859,-0.115510236386719,-0.332455883010208,-0.0773805178506491,0.127911799659331,-0.198750250158923,-0.0273909869943402,0.0946320292937764,0.142289931452326,0.102096316977483,0.266738857954228,-0.0537664082685322,0.481404897879582,0.282754947205793,0.327866980966336,-0.0942738932655229,0.0484985455766235,-0.136472695047174,-0.171669255439972,-0.289776713561086,0.0761849479878464,0.129476471627429,-0.31544482286611,-0.271552029646861,0.102985237881068,-0.116789924084388,0.151244936950425,0.14905559978891,-0.183189253104576
stable,-0.029173052707262,-0.0850658273027918,0.0579984541030346,0.0278846009272395,-0.0163297258207203,-0.0080075136200888,0.205456982180626,-0.0209645274283973,-0.145252342740698,0.122210145626101,0.0711400032046454,-0.0261858876469285,-0.27807985827788,0.116847088664498,0.0423656785418405,-0.0421267712424757,-0.0481011013631429,0.184731362051593,-0.187578478005403,-0.141072288820088,-0.146412278870028,-0.0384558370149947,-0.0211836630891939,-0.0752541516633619,-0.267241705069455,-0.275209675412408,-0.16864548643988,0.189033341076707,-0.156912666586248,-0.126105158424021,0.363676224548917,0.0020150594974009
stable,0.188060290602648,0.153410480804607,0.189385973747285,0.196431388393903,-0.293918890440983,0.175875519821362,-0.32530428329366,0.096508799349924,-0.391274135366825,0.108371485141844,0.064515023739555,0.293607697214542,0.133489446414005,0.29932587275039,0.0295586886134705,-0.039110764699068,0.088190604407164,0.207148883112521,0.316979864486371,0.0370257700819152,-0.299226290917929,0.229781966471553,-0.0374069817843051,-0.0794336270151225,-0.0967842053553241,-0.197354076310299,0.123893803276706,-0.0036829718349257,0.0584405319594324,0.0655077301319009,-0.112544586308414,-0.0476763582568484
stable,-0.0265283569819997,-0.0887664555850302,0.350632551354587,-0.0124319920754508,0.103331077405023,0.175130089172284,-0.241760242993406,0.235732150784333,0.443479081695817,0.15915754818528,0.198776204639382,0.150134443542052,0.301897482339298,0.259759798320881,-0.0064253664119211,-0.0197108683381604,-0.0751151637227388,0.233005899500376,0.0889190111686889,0.0855630745488049,-0.122090834665326,0.0233341350052061,-0.0803203716859977,-0.162279642569049,-0.0567017333971954,-0.223885766071295,-0.16854329433788,-0.0757491423677745,-0.16191871838332,-0.0195279733701343,0.187101838511294,-0.0241570192510199
stable,-0.210743934863062,0.284429443144887,-0.183525459663581,0.114307935331982,-0.109695043794182,0.0314932490329398,-0.0746515588656573,0.190674233983942,0.102739479590588,0.0568037743293516,-0.0599675899914031,0.159760615301301,0.123847684847328,-0.0787331225823496,-0.171473978630271,0.343575890140032,-0.0404292169333906,0.208932590018376,0.0858818969027102,-0.0048302529191625,0.0654499270546526,-0.245618360939416,-0.182317896433791,0.0197074319101832,0.0792644504034575,0.125006945547927,0.0133798005860803,-0.133991215977569,-0.138555804986178,0.326814912510538,0.0004588740273204,-0.291554066200652
