group,ARNT,ARNTL,BACH1,CEBPA,CEBPB,CTCFL,E2F2,E2F7,ELF1,ELK1,ETS2,ETV6,ETV7,FOS,FOXH1,FOXK1,GATA3,GTF2B,HNF4A,HOXA4,HOXA6,JUN,JUND,MAFK,MXI1,MYBL2,MYOD1,NANOG,NFIC,NKX2-1,NR2C2,NRF1,PBX1,PBX3,PGR,POU2F2,RFX2,RUNX1,SIX5,SPIB,TBP,TEAD4,TFAP4,TFDP1,ZBTB7B,ZNF76
progressive,0.100336237683348,-0.102527315162879,-0.0423860160695469,-0.0165464126902509,-0.190472631927501,0.0399682754024783,-0.0027955126462981,0.149673258170717,-0.561822487510073,-0.122775893249579,0.261569318418487,0.040874928152629,0.0198708061074703,-0.0254618314000665,-0.0859053480767823,0.123078110832962,-0.248800625520531,0.313324079572925,-0.158739785672225,0.121793686103582,0.0587057655722602,-0.321408399928436,0.345963578578352,0.234294181518119,0.0120887033353432,-0.13599791252261,-0.114691572894068,0.0785765716797305,-0.127309157000333,-0.114918236081606,-0.110838298705928,0.0434437776113894,-0.342639185161133,0.140153404294135,0.271844716253529,-0.205507956700834,0.120055934999127,-0.144535559253197,0.333345994472087,-0.161081971943448,-0.0302973127342038,-0.408371509547061,-0.118393738290517,-0.294208817423914,-0.0874164359937002,-0.0239507434831486
progressive,0.193826857024853,0.0430909146101871,-0.130082675852603,0.299320502895784,0.260215972456583,0.2520407211091,0.0211974396393725,-0.103367574313071,0.0032903488395443,0.0238044083353192,0.119085317615818,0.218301990315926,0.216340436200043,0.0116680831925382,0.106404819395728,0.166883962104122,0.0016957951711498,0.101684434329766,-0.0473936784772836,0.26578425510812,0.145509349834928,0.18036173715841,0.281666515852844,0.231374799359192,-0.291233837863211,0.209658497018199,0.0173502625346744,0.137916237128287,-0.186891814086121,-0.237120254640551,-0.109226926285029,-0.347321630389599,0.0252091341860478,0.319758631264492,0.118439903035754,0.0728685716080638,0.373783628172242,-0.178640631611571,0.120869699101879,-0.0732355720555514,-0.252635514937787,-0.391146545894761,-0.165390649938483,-0.190878198257108,0.247750612429848,-0.0686417388680337
progressive,-0.145513881029128,-0.0277026362780618,0.511816632853273,-0.258473318650189,-0.189505563353861,-0.244860400687985,0.22099665778702,0.266563771135827,0.436096297781136,-0.402300566261365,-0.0424156390369637,0.233836057101649,0.340905900627128,0.396382654969818,-0.290883573957728,0.240909386521466,-0.490666059990415,0.0098111430717079,0.272957947050294,0.216687928555817,0.486476875245954,0.274323677758314,0.447578385013573,-0.232506832616534,-0.317112338452374,0.141002262915495,0.211190489357846,-0.110013301246434,-0.471817981291231,-0.411601846739807,-0.433017606316215,-0.370125420213284,-0.43384309084503,0.191162348916608,0.293296887850471,-0.213042127842006,-0.246032656067909,-0.474148945716794,0.422325798450044,0.153807528529044,0.502629386488305,-0.272589134706111,-0.35665676688457,-0.387289008417454,0.157931889854637,-0.364992124848811
progressive,-0.0629240537801476,-0.0231998250458979,-0.0471656820508584,-0.0972860588009586,0.0380827316791154,0.244473628077999,-0.246771723955187,-0.0981615238970302,-0.180455242927762,0.177281681954503,-0.0944407972387258,0.250054718065456,0.109542570145961,0.114685927585382,-0.0437732548035809,0.0292186475813902,-0.0300941126774619,0.176077917447404,-0.288356316018589,0.454475817998179,0.117750055421633,-0.248084921599295,0.258371636478136,-0.135478223617083,0.110855767790069,-0.142153644974629,0.191945722313702,-0.0361129352129542,-0.0579995626147447,0.0593127602588521,-0.0126942438930385,0.0214488948537546,-0.164149705513428,0.0291092144443813,0.181549574297852,-0.0048150580283939,0.0948785297867616,-0.222805866950227,0.265703656657736,-0.12530094187525,0.0405996938303213,0.151236595346372,0.0794484574684993,-0.486101994593766,0.0613919898620222,-0.106916174857746
progressive,-0.150268144127419,-0.073328227651399,0.0532997714421363,-0.0770493615919177,-0.230053633616777,-0.0055817009107781,-0.179489990072081,0.0554886737600885,0.0576775760780407,0.12597132839815,0.186713367721323,0.362372778736988,0.130786913497644,-0.0793477090257676,-0.33982708486208,-0.0626026062934332,0.0945605801355354,0.0999233908145183,-0.498413057797718,-0.0510014240082865,0.0226551389908054,0.102002848016573,0.199409001165446,0.103753969870935,0.0288935105969692,-0.212870750420852,-0.291671233867132,0.112619024258641,-0.17587830124746,-0.0662142951180543,-0.104301195450423,-0.0782532578667915,0.105833427072989,0.189230605386968,-0.487030765744366,-0.154974284111016,0.159242643631023,0.0327240896533855,0.167998252902832,-0.0122578529805324,-0.120170737255576,-0.0226551389908054,-0.139761413001249,0.0212323524841364,0.31191858030819,-0.156397070617685
stable,0.243119484355197,0.373476528401184,0.281631372132559,-0.0723206021212065,0.139519985726839,-0.156571782597604,-0.0427748037429779,-0.0130052854067411,-0.0810740112511031,0.0723252574116525,0.251662474356932,-0.24062278558482,-0.236456300635587,0.179884014060245,0.54556120185638,0.0651297744816082,0.210998778327098,0.250752032553979,0.0540975341742105,0.206437790764634,0.414977777686416,-0.312722859947181,0.327858672278642,0.454016511333974,-0.0405733833951802,-0.199366936610246,-0.252428735164355,-0.467409116905828,-0.253661722091072,-0.126457905776656,-0.325771772075817,-0.0030514763832503,0.266650115443908,0.353205398674514,0.0459361449807556,-0.219996257684667,0.184568167307082,-0.15665757295011,-0.0716509053384645,-0.271162554977434,-0.142918081735874,-0.116296736815868,0.022767961505346,-0.138462436745791,-0.247199513910433,0.105657536030417
stable,-0.305588364097306,-0.241564645487561,0.336080153080978,-0.291570850756928,-0.476284866231549,-0.123230868450365,-0.0452882356562109,-0.0781431177446257,-0.116322354255412,-0.381628033181242,0.0797059143667476,0.253631538859002,0.333863315390923,0.0663720218410938,0.257613301440918,0.0892289495141674,-0.0955705185622939,0.30159016832273,0.110398188300891,0.297895986612393,0.157942701309545,-0.0546255757265542,0.0185695077076521,-0.372690019692577,0.0843039216734742,-0.052186889935567,-0.408563679272935,-0.258014271341862,0.126257862538639,0.019701754682039,-0.247521677827405,-0.312730229628055,0.0682618389971822,0.0453884781314469,-0.424226155198743,-0.382014213208791,-0.0116872866209577,-0.204210355248389,-0.0249768095264251,0.0902198710316643,0.140916270392821,0.406979519500353,0.120539111492388,0.207965339771574,0.0510924393043018,-0.3125823308941
stable,-0.155783680236444,-0.148286103127484,-0.0621345226843657,-0.0078557860670093,0.147402210893336,0.0551548754108543,-0.0918084907416674,0.126850941105322,-0.114895135622369,-0.309331268189305,0.0905059127123962,-0.0504671451936081,-0.0709905025952797,0.0414483430290352,-0.0888621832945064,0.036687730469675,-0.0576096147207784,0.0093041287805084,0.0099088971512415,0.0789145189400128,0.149666215563259,-0.123402210704014,0.0931498359741907,0.299814695134975,-0.19616049776759,-0.255885251097804,0.0579197523467954,-0.182140726383494,-0.0417662340957026,-0.172985463663474,-0.114333786519278,-0.226039156658063,0.0225842219265542,-0.0509168447513326,0.121172321172952,0.0461314211818911,0.265256059467906,-0.208973833786481,-0.0066865672169254,0.0656266723533166,-0.073448343281464,-0.204115527874925,-0.0235177361808653,0.0667012992274653,-0.0530350847370284,-0.288779998401292
stable,-0.029648832675655,-0.106183925943968,0.344827902738783,-0.192432999825828,0.240523696974654,-0.316843304555785,-0.188120717378639,-0.197142860501155,0.197352067135201,0.127957684340528,0.471931921264264,0.195931003245826,-0.0477950108284016,0.332910545297364,0.336716507732553,0.339959067854502,-0.251189524961381,0.157235482058122,-0.0574225117555701,0.199631363423721,-0.155523013020916,0.0069706052159444,0.306430065752046,0.197628345473203,-0.316169162578139,-0.0021671295665833,0.062114962329019,-0.118150374164453,-0.288825884049574,-0.219451765471842,0.098544886980501,0.094188936572863,-0.0530722695780561,0.0055646681363988,0.217111105709488,0.0969968149708673,-0.0649453882360132,-0.189574889002732,-0.0565149031658513,-0.0454249536809094,-0.219908423881763,-0.22909210991679,-0.241597415060982,-0.346170193052445,0.0192675599606099,-0.0733056620756498
stable,0.152924521465489,-0.132875538042082,0.116284103855765,0.126272579429582,0.116932394337719,-0.105359208696902,-0.121830589090264,-0.253121417065346,-0.119357480955401,0.0978678520165387,0.123487331433037,0.237994639153074,-0.0272762217592708,-0.0481175602161785,0.0380330416079974,0.0984200994641296,-0.0927535604366754,0.0128937773633173,-0.0394016548476791,0.138229937207854,-0.172445268199897,0.0664857905382227,0.172613343510034,-0.0662696937109045,-0.0720322757727223,-0.242028446596347,-0.077026513559631,0.0129177881219082,-0.0694871353620861,0.238690951152211,0.0784191375579037,0.0230983497644529,0.171965053028079,0.125768353499173,0.0771945888697674,0.149034778573762,-0.103270272699493,0.0053784099243632,0.146033433749899,-0.0904485276119483,-0.0765462983878129,0.0407462573287699,-0.182865937428351,-0.261933365468209,0.0204331555608622,-0.0834373861034033
