group,ASCL2,BACH1,E2F2,E2F6,E2F7,EGR1,ELK1,ETV1,FOXD2,FOXO3,GATA2,GTF2B,HOXA1,HSF2,JUNB,JUND,LHX2,MAF,MAFK,MEF2C,MNT,MYBL2,MYC,NKX2-1,PAX5,SIX5,SRF,THAP1,USF1,ZBTB33,ZFX
progressive,-0.196234562766814,0.0904218083337281,0.0238559664540049,0.0581008215250763,-0.0861892981564046,0.17930452205752,-0.196619336419298,-0.0669506155322072,-0.184691353192296,0.188923863369619,-0.160450613085807,-0.0723374466669825,0.0065411520922271,0.0692592574471109,-0.0784938251067256,-0.0538683113477529,0.0734917676244343,-0.0534835376952689,0.110814811915377,0.163528802305678,-0.133131683759446,-0.0388621389008789,0.0623333317023998,-0.113123453830281,0.142366251419061,0.123127568794864,0.16468312326313,-0.0534835376952689,0.123897116099832,0.0965781867734713,-0.0854197508514367
progressive,0.309800964443862,0.165285118962751,0.187232790939802,0.0632799992036339,0.0240835192499864,0.0627791798430837,0.0625435001440013,0.117029700575622,-0.0294157724417265,0.0574174666889583,0.175330966136139,0.0052733332669694,0.0555025691339136,0.0966139466426059,0.123982251698554,0.0300491616330105,0.19355195287145,-0.0658135559687701,-0.0733111163958301,0.102284989401777,-0.0707922896118866,-0.0565189378362066,0.172900519239352,-0.111918397101772,-0.173416068581095,-0.0636924386770282,0.0686417123577593,-0.206470146377406,-0.143882456289827,0.20732448528658,-0.0433208746875902
progressive,-0.002591913102764,0.0168168407506456,-0.125349510913395,-0.113288912728888,-0.0019827315010479,0.141260986574537,0.0803861343180628,0.134554821533968,-0.0618635522735855,-0.0639721884142772,0.144375219381048,0.026328177566991,0.0588201049420014,-0.190843464004747,-0.0623550314923122,0.0296581297235105,0.091153072583051,-0.118064020485331,-0.063279179749554,0.0946766800191789,-0.181411114919983,-0.14814596081017,0.137452022629405,-0.102746060115695,-0.1265855909912,-0.0278356703174879,0.0841995274817876,0.0237589847151595,0.15588118097059,0.0623620034104683,0.091320234573666
progressive,-0.5891732447821,0.455672070798236,-0.531319005930752,-0.535123733437417,-0.770233512599277,0.498866918373903,0.551573584716234,-0.485662275850772,0.463057718311174,-0.550566450964469,0.529192834677028,0.611777802321698,0.629122883602083,0.564330612238581,-0.527178567173499,0.565673457240934,0.469995750823328,-0.474919515831953,-0.556721157225251,0.600251716051507,-0.721555381264004,-0.510728715894683,0.51755484465664,-0.482528970845283,-0.559183039729564,0.661127356158148,0.548664087211137,0.466750542067643,0.475143323332345,0.459364894554705,0.623303888591889
progressive,0.186061650292749,0.0820467551193075,0.169069718759165,0.0780415141149626,0.0401737809829745,-0.0940624781323422,-0.009466933282997,0.0310709605185543,0.322846699138104,-0.0387173297086673,0.0428439416525378,-0.251601957636575,-0.286192675401371,0.087387076458434,0.244198330325513,-0.077313288477809,0.116273360065528,-0.0150499965011748,0.129745534352869,-0.104379007992018,0.0004854837581024,-0.109962071210196,-0.0890862696117925,0.170647540972998,0.0893290114908437,-0.283401143792283,0.10073787980625,0.11675884382363,0.130352389050497,0.314714846189888,0.0842314320307684
stable,0.0989609897067191,-0.0795216159596198,-0.01839533416831,-0.0236175715084662,0.18209807315436,-0.0591881803703687,-0.06598643898904,0.168902228656946,-0.106044613914244,-0.012593894104654,-0.0266623078187808,-0.0052267868740082,0.0117114414178486,-0.103853464282846,-0.0160747581428476,-0.0259764263704762,-0.11842499368881,-0.101764914483834,0.0769718375563045,0.0097036850648289,-0.0074932391346798,0.121561505078553,-0.0702344485629631,-0.0601992750488506,-0.0303504109679557,-0.195717808702395,-0.0261635847803178,0.0713134724882693,-0.200952125839331,-0.179730746746557,-0.0356470096545201
stable,-0.0079742679406293,0.114895122240177,0.0859195373365786,-0.0690101568883867,-0.0587710410399861,-0.0645212691432545,-0.0167702620263387,0.143598035036944,0.031767227902121,0.246096778433849,0.0890932922671245,0.122381548248175,0.145729329259736,-0.0986423807431328,-0.156866222657163,-0.0594443742017559,-0.100543665841794,-0.180824269812587,-0.229860731147427,-0.0936155684335014,-0.112353892400991,-0.160034412850835,-0.0172117311516864,-0.0403257932145341,0.18881708687613,0.0316021407081885,0.0067741396881084,0.0230380106589013,-0.141648522218707,-0.0545900687352225,-0.170514667297114
stable,0.0356943712020881,-0.16373390480844,0.017381250817516,0.192117439899213,0.0198083697953317,-0.0892416600675834,0.0140648433073426,0.0955665814524177,0.164891781405819,0.0869946916211845,-0.0132410640591366,0.0531673350174162,-0.0644103659099299,-0.114508590964845,-0.101762122001053,0.111981570328698,0.158517728057871,-0.0819586654020323,0.078299971882167,-0.0681968025338908,0.0824499850331691,-0.0353357078713582,0.0546740485529024,-0.0264297206909519,-0.132767666189992,0.118412944300279,0.0262593965521578,-0.0020799197718124,-0.001103831437954,-0.112114226629105,-0.194547834341236
stable,0.111797846864519,-0.124516916783234,-0.139550653767786,0.0889105707582404,-0.11209339396742,-0.162346644683261,-0.13377377741904,0.11444421358407,-0.125240570342019,0.0204249861246202,-0.0214589490778873,-0.106994377946427,-0.147701246348698,-0.0576154164177605,-0.0110632830914553,-0.0420176996405176,-0.0612406134505878,0.138394675955523,-0.0368427632628168,-0.0013849439674151,0.0443926209577101,0.113879631248865,0.227867418878914,-0.0529469170227061,-0.0473285093550259,-0.063715556825031,-0.201952969184516,-0.111335094214106,0.213538656635226,-0.0902412858994353,-0.221047842710454
stable,-0.107954452629809,-0.110907349966424,0.100543259314381,0.0499966049052506,0.0299632229744843,0.0681482385332715,0.0834627747202301,-0.0862130222396272,-0.257017868181132,0.0518494032341076,0.0048635956132496,-0.0904686684012206,-0.0233336789540428,-0.125903436440611,-0.0449303594747822,0.0594053464189775,-0.101295958635479,-0.0092929416181733,0.0108851901820349,-0.0780201796292127,0.126974585474481,0.0669323396299591,0.0835785746157837,-0.0666428398910752,0.0792650285064135,-0.110762600096982,-0.168923097638759,-0.155837709441207,-0.151871563018497,0.115510395814679,-0.15757470787451
