group,AHR,ASCL2,ATF1,ATF2,BCL6,CEBPA,E2F2,E2F6,EHF,ETV1,GATA4,GMEB2,GTF2B,HIF1A,HNF4A,HNF4G,HSF2,JUN,JUNB,LHX2,MAFF,MNT,MYC,OTX2,PAX5,SIX5,STAT4,STAT5A,TFDP1,USF1,VEZF1,ZNF143
progressive,-0.0584176316724173,-0.113398932069986,0.0905433333582062,-0.197069602878497,-0.143287022693084,0.0189397793520696,0.111720723772968,-0.108204477817309,0.0415556340214186,-0.0751197999617951,-0.330047631747036,0.108843795263793,0.168540061829176,0.0095897616972504,-0.0580180582683652,0.0596163518845736,0.0613744748624028,-0.0159030214812736,-0.182525130971,0.178449482249669,-0.100053180374646,-0.0185402059480175,0.125306219510739,0.054182153589465,0.127863489296673,0.13681393354744,0.139610947375804,-0.0229355133925906,0.0084709561659045,-0.0018380376586396,0.149360538434676,-0.0135854957377715
progressive,-0.0496308093769642,0.285621097432527,0.0908539217170013,-0.0195956818062563,-0.175666064323206,0.0845314404793756,0.117761225588757,0.0449791741323686,0.146138873934379,0.18737535304236,0.140671865845185,0.0119498905421508,0.0969090675957421,0.0435890302661676,-0.0651629937281714,0.0613668316320072,-0.025530526773499,-0.150910810090473,0.0390977962369029,0.0860151517211863,-0.0260250971874359,-0.302195889683385,0.102376075684936,-0.0042639989742126,-0.132518137399198,-0.0405414071748808,-0.207198269903669,0.025530526773499,-0.0203843211149665,-0.108578256011064,0.0266132349769824,-0.312341266553063
progressive,0.127472297728522,0.0569229200046224,-0.0108129726249965,-0.0825771887970857,0.143518615467829,-0.0464749135084074,-0.151837705658391,-0.0724251136217786,0.089810880804221,0.190253597031128,-0.0735102743001317,-0.148176327453643,0.122832240286465,0.071354440752876,-0.203075070889787,-0.0837953523162963,-0.121015643151754,-0.0740882033110005,0.0990155482434916,0.191564308360435,-0.261822979875032,0.0309422400735547,0.088360833165444,-0.0302020159294967,0.193902466635366,-0.0804018798338473,-0.126260467677924,-0.213649350916459,0.0604006276196144,-0.182463272301332,0.0352725117321146,-0.0248761230050895
progressive,0.402550798958763,-0.420471813937451,0.413191401602359,0.412967388915125,-0.457433907330993,-0.417783661690648,-0.416887610941713,-0.553759362841437,-0.56731213041907,-0.486331543984127,-0.48028320142882,-0.401430735522596,0.423944010589571,-0.420471813937451,-0.405686976580034,-0.585009132710523,0.618723042139179,-0.575040568128629,-0.441753019224642,0.662069497118879,-0.519709434381932,-0.456873875612909,0.407591084421519,0.478827118961801,-0.470762662221392,0.67215006804439,-0.413191401602359,0.481963296583072,-0.427976238959776,0.520381472443632,-0.402102773584296,-0.0579072796498833
progressive,0.0131857673440745,0.137409575480356,-0.103288510861917,-0.0249835591782465,0.168523359827339,0.0756446652896908,0.0927630299118227,-0.0957703101832783,-0.242895714232952,-0.0082121884335902,0.0567913312801807,-0.0748350129089143,-0.263484017629841,0.181015139416462,-0.0892930911370662,-0.157419555748118,-0.11797791834172,0.16632573193666,0.0848978353557081,0.0703240925017309,0.133823972079774,0.0242895714232952,-0.0452248686976592,-0.223348392468491,0.0962329686865792,-0.28187469313605,-0.104445157120169,0.0731000435215361,0.110112723785605,0.226818331243247,0.0279908394497021,0.25770078633858
stable,-0.180584194962801,0.192544674635777,0.0865900409340391,-0.124872264494183,-0.255639692885016,-0.11109037996193,-0.0922415339719066,0.260289629073042,0.192881775863841,0.170071955633938,-0.24953051635411,0.0055722651986404,0.279370588961117,-0.234155024405419,0.151753615913607,0.108332582802474,0.185357637466107,-0.135216579791222,-0.0431804255431464,-0.193123218874772,-0.141298047464473,-0.0329915026337655,0.146791363304867,-0.0067482903833706,-0.125826897298648,-0.0168173272302304,-0.0928720149139452,0.1389341616533,-0.0497841842971362,0.00756131560876,-0.0352057049174003,-0.089062255847002
stable,-0.0290209748514049,0.0974041893178469,-0.0512752935325658,-0.189816043922216,0.0821259832910948,-0.271313657760817,-0.190916988748073,-0.0488327885808609,-0.0191107403733678,-0.106268872420385,0.058642622430125,-0.0326977151188898,0.238138174132593,-0.177172488878097,0.196056462314063,-0.0544171407950352,0.130496582770535,-0.0118593915124948,-0.14305358554847,0.0557240800144095,-0.030919931571476,-0.15111852571147,0.200811643818197,0.225901414739537,0.273243773296714,0.0080164708939371,-0.260451348354759,-0.0018920325387763,0.119977020338564,-0.206825295272643,0.223143859538924,-0.150711730060407
stable,-0.145719556886039,-0.0524158667005808,-0.0720937660689182,0.0623812768923561,0.0011051198499123,0.0636233285020973,-0.0008473659490581,-0.0053806126803313,-0.161772792023614,0.15732975915764,-0.186220749519634,0.0135949073081784,-0.001412813569057,0.224386047426739,0.052963593739896,-0.0033588555205062,-0.141365126923483,0.0759391320772868,-0.0123141926133092,0.104119688250052,-0.0154732888606534,-0.0339091366192497,0.1501964199515,-0.0439663716382043,-0.0223005453095289,-0.186430174564078,-0.0036746040490526,0.0920165316430672,-0.0790966173627507,0.0483353002576829,-0.0139493189218529,0.0579044138268948
stable,0.0483141001111617,0.0324819776300997,-0.0308156880109048,0.128466424552371,0.160383487914562,-0.220569679271983,-0.0859692223541086,-0.181157869271482,0.220582423927555,-0.233553223039049,0.0198034164347425,0.0865785947228501,0.188439217025797,-0.0320688136796981,-0.016920160402098,-0.134777696546526,0.199993877432114,0.14639133803328,-0.150780834522123,0.0999942712300068,-0.0804104778133759,-0.18589058229875,0.010538051833951,0.0751095902574705,-0.0437577375505281,0.0199350124132062,-0.039996582220115,0.0286239036398721,-0.178593526015475,0.014111001204174,0.0608975209707377,-0.0288008468811847
stable,-0.0551820061786235,0.0716043309482003,0.0314220469375337,0.0056654524661002,-0.351208137017454,0.171361218644246,-0.0906721973979824,0.0349161585906351,0.16487215414563,-0.0683847566392711,0.200936377993712,0.245985460378342,-0.247308231218444,0.116353918048278,0.399801246935943,-0.0002745373441722,0.0059399898102724,0.0576029263954152,-0.224147262546458,-0.0008236120325167,0.0834343946879866,-0.197092855175301,0.260760561082885,-0.170837101896281,0.323030622329228,-0.195820000215957,0.210395437397465,-0.166319714687629,-0.0381357328995643,-0.0177201376693002,0.255469477722474,-0.467362391542697
