group,AR,ARNT,ARNTL,CTCFL,DUX4,E2F1,E2F3,E2F7,ELK3,ELK4,ETS2,ETV5,ETV7,FOXD2,FOXH1,FOXP3,GMEB1,GTF2B,HEY1,HNF4A,HOXA1,KLF1,KLF9,MAFK,MYOD1,NFATC1,NR2C2,NR2F2,NRF1,ONECUT1,PAX5,PBX3,POU2F2,REST,SETDB1,SMAD3,SP1,STAT1,STAT4,TFAP2C,USF1,VDR
progressive,0.127325620342233,-0.197654897469419,-0.31804115454744,0.353595644979809,0.431020226118717,-0.129430820433624,-0.101205545134243,-0.157734066106759,0.418077144075355,0.155239014146593,0.182372704213401,0.182450674587156,0.24209801050988,0.266892589364032,0.0142685783972007,0.518736896593312,0.336442162753666,0.207713075683839,0.0646374398430566,0.222605417071081,0.19991603830832,-0.375583290378774,0.243501477237474,-0.383614238875559,-0.0002339111212655,0.116253827268996,-0.393126624473693,-0.361158771234063,-0.0038985186877597,0.132237753888811,-0.237809639953344,-0.147208065649808,0.0074851558804987,0.0419480610802949,0.355544904323689,0.0075631262542539,-0.255508914795774,-0.389150135412178,0.127091709220968,-0.44216998956571,-0.389228105785933,-0.172626407494002
progressive,-0.134704333850069,0.0916037139068884,-0.0184849356192565,0.044795513753542,0.0998398385166144,0.0853802756969668,-0.402868313908222,-0.160564705815977,0.0149494930617053,0.075621394929494,-0.102117352074288,0.336105387409446,-0.06459134380425,0.0076667462203076,0.296195934718587,0.0766012554136093,0.200434434433155,-0.0885582015913948,0.101137491590172,-0.0890613731913459,0.0237417547029562,-0.0231591349556444,-0.0591359043521485,-0.189708934539461,0.0001853790105083,-0.169820414983499,-0.0883330985072062,0.206578424495716,-0.0871016522231153,0.263913504174356,-0.0320176033863625,0.11893387659897,-0.113981608746819,-0.383588896815358,0.115080641451976,-0.0383734551752186,-0.0712120227509751,0.281961474983128,0.0330107052283713,-0.166523316868029,0.115292503178271,-0.0138107362828685
progressive,0.027512919016648,0.138480075935518,0.116442751013694,-0.237690990546447,0.223725427603414,-0.180971968790569,-0.017259030459676,-0.0536747021016758,-0.032874313791558,-0.132052296871142,0.100020291483933,0.0550571190582966,0.0737079193438776,-0.207235061526918,0.149414287488483,0.0594908506721971,-0.0743604195186383,0.122531626108718,0.0749520081497421,0.0074531364818578,-0.0589761284794113,-0.0490765486176718,0.216759819257432,0.0845150419083346,-0.155151840518802,-0.0112686355765259,-0.136615789721916,0.178496759442974,-0.0271046937808365,-0.0972308571666082,-0.093899428004047,0.182930333865794,0.187735743789312,0.0299738239759269,-0.0318560299726951,0.0862057105736295,-0.277564708766274,0.0978569492398609,0.0582880245249388,0.0394882856906743,0.016187930437797,-0.0733875639220124
progressive,-0.215294045266349,-0.355291534387189,0.0339285380236497,-0.143717229169945,0.129627304741519,-0.369945055792752,0.0619956674850743,-0.0869066538745314,-0.0538798710143009,-0.124667651342713,0.135714152094599,0.145408020101356,0.231638357603323,0.0875829702470959,0.135488713303744,0.0650390911616143,0.133234325395196,-0.0250237057848845,0.210108953076688,0.127936513810108,0.0740566427958069,0.228933092113065,0.0800307707534595,-0.162766806997177,0.214955887080067,-0.432729759045819,0.037310119886472,-0.156341801457815,-0.0247982669940297,0.366901632116212,-0.202444034187624,-0.055007064968575,-0.136277749071736,0.228594933926783,-0.148000566196186,-0.474999532331096,0.0015780715359837,0.0999821037441107,-0.352248110710649,0.202444034187624,0.0078903576799185,-0.234456342489008
progressive,0.0215263264458483,-0.0486335523406201,-0.514695604279303,0.0818911572199201,0.140433653480058,-0.136561192637947,0.0618454775666434,-0.326767357529834,-0.52836311313381,0.46822607417398,0.348179788068561,-0.479843456700311,0.221755331164373,-0.0648067711517866,-0.0939641233747345,0.177335927387226,0.422439919511382,0.0766519454923591,0.351368873467946,-0.122438100154957,0.213554825851669,-0.377564932105751,0.390093481889049,0.318794644031372,-0.38257635201907,0.400116321715687,0.0648067711517866,0.232005962805253,-0.125171601925858,-0.317883476774405,-0.313555432303811,0.365719757765179,0.26230227409941,0.0714127337647982,0.298293380749612,-0.0636678120805776,0.182575139114787,0.104214755015615,0.160023749504851,-0.204443153281998,0.0641233957090612,-0.03838292069974
stable,0.0583477399272736,0.156228921801957,0.264573450396814,-0.0570485323549471,-0.0439837525863509,0.140094248013606,0.0559164069094387,0.0121329333913589,-0.2153322350909,-0.200449854189021,0.0421134753145635,0.165285651011136,0.0215423458091174,-0.23790245148807,0.227585473100666,-0.0606015653325449,0.0735675773414456,0.17080443676156,0.146144870714501,0.15332268047292,0.113403907085254,0.0597197887223754,-0.0577831175676816,0.175439525417599,-0.0123724452086203,0.0217681398819766,-0.21457734761645,0.0602307747013551,-0.0823503631949145,0.104013150799883,-0.0487380484412439,0.257082601711139,-0.0596116928964866,0.109938804849274,0.0248933164116717,-0.169674917687488,0.110987663586262,0.0030844348288207,-0.0471488477522562,-0.0713683485588949,-0.106006750593845,0.0519875077352224
stable,-0.125981604350368,-0.323853899384747,-0.0033833306282487,-0.231258106684674,0.0837408231600073,-0.258095919228293,-0.0711330009090482,-0.135302714132302,-0.285994836467946,-0.0589557227360325,-0.0917991166503353,-0.0278565408540283,-0.0341299409818583,0.0843629085009729,0.192643049048334,-0.281494464314639,-0.114485738458192,0.23847395762879,0.314844679801009,0.36861353293662,0.364887801112526,-0.0332586824934215,0.142447372748569,-0.399414385063829,-0.146035805083239,-0.0511211765618011,-0.194133002766886,0.403158762497597,-0.0141655781865106,0.0230578389459259,0.36630317239238,-0.105861296455922,-0.0475513898368052,0.0940230293679017,0.0023476517635894,-0.0260072353853813,-0.324389536899039,-0.215575453892812,-0.167639286474537,0.109941294863836,-0.37783463444848,-0.150159874932202
stable,0.162368861348302,-0.0120133069809016,0.120112485521319,-0.210753021281795,0.0956726023988446,-0.0926562125479658,0.0340495786631484,0.361059490040074,-0.404402082894722,0.0567239632639802,0.0939910244347327,0.129411833339803,-0.0791117512438098,0.0182994317619981,0.187098507905271,0.0869226967211773,0.203605523230946,0.296804844292745,0.0243147939895511,-0.101338031735561,0.208406412484418,-0.122139246156031,0.273037909037264,0.159092792791101,0.307233161121032,0.173340286690423,0.0183801855060373,-0.204696490478849,0.0952102476290511,-0.138351747826974,0.198826801671916,0.177656653479659,0.0060343631085034,0.0772908334860614,-0.167507016238644,-0.0175124786093016,0.0841865698643172,0.171093432518036,0.0441358796343285,-0.0476019570010338,0.122425842777033,-0.112081446506276
stable,-0.0151377226004064,-0.154271060270545,0.0107313752812662,-0.209564027756296,0.0173386999680317,0.0479491529001595,-0.0673242547594187,-0.160418627843531,-0.0010237648852073,-0.0533848290441005,0.194508885733015,0.0226235640650958,-0.109447962905165,-0.367517830359899,0.200847969963588,0.0325572461120071,0.0033087870245873,0.0389168290673981,-0.0030642665213985,-0.0353684998013635,-0.0357814026869877,-0.038813749765455,0.2167986134225,0.0422080457564269,0.131532117668615,-0.0162610527204451,0.186616291000147,0.0344489855738032,0.0534524748360006,0.0496575751942955,0.0907197422333837,-0.130356662219753,0.113090879144289,-0.0281910177257254,-0.0944446533717809,0.0108854085563288,-0.204150900209655,0.0072448350286122,-0.036436483364393,0.160130474340372,0.0113114891936219,0.171744173305599
stable,0.386263621364874,0.0327853755231216,-0.180070057192061,0.130492780811207,0.043688883212318,0.021108392460092,-0.0882759958910229,-0.261958643544333,-0.204047793780889,-0.243744546031487,-0.364955622356696,0.186756876552941,-0.453655782162402,0.0329101296156753,0.370669359795657,0.133412026576964,-0.0675917673456136,-0.379476998729951,-0.229747136846958,0.14730963248745,-0.430701029132515,0.209512023034743,0.118641142018602,-0.0315877362346057,0.257317791301334,-0.113725830771985,0.111105994828356,-0.182091073491432,-0.414907161015212,0.202151531574072,0.131341108640572,-0.230021595850577,0.433695127353804,0.0101300323153633,-0.139774485297205,-0.060256226703454,0.35539945886708,0.133212420028878,0.0111779666928147,0.261235069807521,-0.109933306358351,0.381323359299746
