group,ARNTL,BATF,CTCF,E2F8,ETV6,FOS,FOXG1,FOXH1,GLI2,HEY1,HNF4A,IRF2,JUN,KLF3,MYBL2,NFAT5,NFATC1,NFYB,NR2C2,NR2F2,PAX5,PGR,RARG,RUNX2,SP4,STAT4,STAT5A,TP73,XBP1,ZNF76
progressive,-0.414899794028105,0.0425857065232068,0.364076706316102,0.0684635172389511,0.0590604689007978,0.159618688318735,-0.139180657633327,0.120996250103345,0.284655917873187,0.0169410292373341,0.336333828161385,-0.0644225377878439,0.119364316094244,-0.168633180940436,-0.533797843262605,-0.113147424631002,0.0100247374844775,-0.407672657702086,-0.310922284305384,0.142055969935077,0.28652098531216,0.0613918031995135,-0.412568459729389,0.0990817076954174,0.216425534064108,-0.0703285846779237,0.196453770238443,0.003419290304783,0.086414791339062,-0.0524550217211033
progressive,0.0093106320604641,0.0642667026346245,-0.189778691093166,-0.0920818917289082,0.0602597593105529,0.171624255320673,-0.151213482530742,0.138959238384309,0.092133761545401,0.0053555585528853,0.0797109404953666,-0.0633200784836303,-0.234879496533687,0.114463717545567,-0.225698539014455,-0.0123320488711719,-0.198972616066521,-0.123100041991624,-0.0741090003141403,0.260036357532713,0.0170392347178968,0.344687898049022,0.173815755067495,0.0627884128645787,-0.132008682974269,0.0164686667364756,-0.12530450919257,0.0873747058821833,-0.119300577933524,0.0379816731268796
progressive,-0.192709738159702,-0.1179612415042,0.111593907906251,0.0263289617215501,0.119165061627768,0.127186773816859,0.0412952879731644,-0.0118889474305044,-0.0063098386391632,0.0320260905701844,-0.0146930698055972,-0.0298710396622585,0.0295387343396498,-0.0869258512306221,-0.0233967188234314,2.10555862583515e-05,-0.057332496680125,-0.0927693591364915,-0.108758240999715,0.191306317294076,-0.12711016566907,0.0512859694130265,-0.0177327661199348,-0.0503446837026209,-0.226783659309264,0.0691380764203888,-0.0584966918996643,0.0706758334802607,0.154418406391359,-0.192840111863545
progressive,0.343113651697308,-0.0369677289248067,0.538467069518517,0.338797060595309,-0.105701141087396,0.258110011534878,-0.0077477276189714,-0.126066596542979,-0.453684793002343,0.131268642230002,-0.277368648759178,-0.227008419235864,-0.467409339070236,0.134367733277591,0.0252354556732213,-0.405538199941592,-0.254125465902264,0.212509100406075,-0.199116599807567,-0.475157066689207,-0.226676373766479,0.419484109655741,-0.251469102147188,-0.160710007182094,0.0353075015778843,-0.416052973138768,0.45512365670301,0.422029791587689,-0.42191910976456,-0.069618866747615
progressive,-0.392256256409282,-0.215757814681102,-0.107991398380531,0.41329208088549,-0.245680431315707,-0.462113192236688,0.563242637178456,-0.315762349223073,-0.330611166500396,0.513634088547399,-0.172223782208951,-0.0408342475126382,-0.221607348760047,0.427465951922934,-0.195396936444773,0.0302600897545446,0.545019088701741,0.028460233114869,0.448501776399142,-0.0447714339119284,-0.477974428873828,-0.138813943334974,0.174586094048525,-0.252317402674511,0.285164786348589,0.247142814835444,-0.0707568641472436,0.0334098388739767,0.421391435764029,-0.18853498300601
stable,0.317687760666953,0.258636312147292,0.107456056654856,-0.272648543236548,-0.0677727114468722,0.200242440673586,-0.329899208953669,0.492074808470007,0.359012135259553,0.187160139785521,0.24977507866816,0.116868771398574,-0.248442716192812,-0.0019491542975567,0.231724703930953,-0.0016846600890874,-0.292273959305336,-0.297820478736423,-0.132840454715633,0.113148373098399,0.0273068590391391,-0.0894211288130207,-0.131922719431841,-0.2326298378001,-0.0992926434490931,-0.154260962625509,0.0797271179746403,0.0318524467499585,-0.11945748136415,0.0428873565058656
stable,0.0547136188942177,-0.0044741185893793,0.239821852866782,-0.0690843665169569,0.090368435935936,-0.110680530043894,-0.0612647661811516,0.146749742105562,0.120150972329094,0.190960300229908,0.338299628745968,0.261693824163658,-0.101328005040794,0.128016055045138,-0.218938702206942,0.089571652015463,0.0922079455366899,-0.103059704555057,-0.277494739965005,0.30304741499599,0.403934072495211,-0.165148207178304,0.0412289354198269,-0.122211155700634,-0.0845264768742012,-0.413288282030913,0.0256621696500773,0.0464088731692025,-0.0058318518661262,-0.139066588910472
stable,-0.0997027680395557,0.0826021449552656,0.0250059249240838,0.107903830425793,-0.0573004594847377,-0.173498170766132,0.130498048340842,-0.110623883536441,-0.223723975052153,0.146923771029257,0.0659294307466817,0.129780671696275,-0.151978444623537,-0.0100228214967813,-0.0806120540443524,0.102452711843727,0.431086728386125,0.0912499945499613,0.0626603327918377,-0.297837163046716,0.0121592194865205,0.227280967581461,0.0416267237176004,0.0166538358758321,0.0163596485237841,0.181466400381765,0.0788217588217284,-0.103199979181817,-0.0603540298073327,-0.0874711816108202
stable,0.0433882500026937,0.302362202110603,0.0028498367242101,-0.0688595165633517,0.0120018126338419,0.332850154519754,-0.0099198300773196,0.0910490827392856,-0.0456422828706481,9.70317412959031e-05,0.0755335624825762,-0.295151150673878,0.126609043571817,0.149310995271191,-0.0766762198539563,-0.353681565964534,-0.148613814968805,-0.0036101600701854,0.166976854773813,0.0985958350361953,0.062400099062934,0.139624910313948,0.192988602615839,0.073247958092827,0.318156652417664,0.0116568430700108,0.0524029332395665,-0.0020205773948663,0.0781925218410729,0.116711805959635
stable,-0.404421885579232,-0.41511705195289,0.0590103934882284,-0.282686460398404,0.403100571318616,-0.0245315704234967,0.228537506170929,-0.0493373758822155,-0.0188972869725717,-0.302805339800601,0.414369138220467,0.401180926072062,0.339453112689361,-0.13043615493469,0.0891014559894078,0.13435023680104,0.192886951592067,-0.227864383811748,-0.107375481518293,-0.109020891729625,0.354810274661794,0.0927911637360313,0.187676485922849,-0.411178039628792,-0.469988989455041,0.224897659339801,-0.141455417259065,0.187601694549607,-0.0791791338059203,-0.59788223769949
