group,ARNT,ASCL2,CEBPB,CLOCK,E2F3,E2F6,E2F7,EHF,ELK1,ESR1,ETV1,ETV7,GATA4,GLI2,HIF1A,HNF4A,HNF4G,HOXB13,HSF2,JUN,JUNB,LHX2,MEIS1,MNT,MYC,PBX1,POU2F1,RXRG,SIX5,STAT4,STAT5A,STAT5B,USF1,ZBTB7B
progressive,0.007550451704426,0.0638706577853997,0.319969652331442,-0.101083598328642,-0.101468825456419,-0.204709695700612,-0.369972133516875,-0.0778929252364767,0.030818170222147,-0.0323590787332544,-0.154861305366289,-0.0493090723554353,0.0675688382120574,0.204632650275056,0.11310268471528,0.164183801858488,0.143227446107428,0.0200318106443956,-0.0805124697053591,0.0892186027931157,-0.154167896536291,0.0265036263910465,0.0022343173411056,-0.0506188445898765,-0.0329754421376973,0.0176434024521792,0.088448148537562,0.100313144073089,0.0204170377721724,-0.0807436059820252,0.0013868176599966,0.0557038426765308,-0.0553956609743093,0.0766601984275908
progressive,0.0464132511466817,0.348941741026023,0.147226073462791,-0.21961737041615,-0.149811017624742,0.0715939509929557,0.0364207058042124,0.0341444116914492,0.413809693030418,-0.0815993567541412,-0.153643422402163,0.0522004395689613,0.233120810068135,-0.132243685658445,-0.209701987585977,0.0979063676862533,0.206744091281257,0.176740734416417,0.0918876917270826,-0.219823137115608,0.159855004642076,0.176303480180067,0.111268342732361,0.026852554279377,0.29126276308397,0.134597142283505,0.109326419506218,0.110586740540404,0.0192391863994004,-0.0547210816373319,-0.0484837785599862,0.138326663711197,-0.0449085821568891,-0.0865891992160178
progressive,0.198144787072921,0.169591820080427,0.252440570408765,0.0289234871302536,-0.0209368568888568,-0.188437653284719,0.207927614375313,0.206381877199192,-0.103022499311648,0.147886531277379,0.112845989694547,-0.0302303383533333,-0.154774641068697,-0.105181577715392,0.134231066383538,-0.165834536009584,-0.0223312841961425,0.082573599388886,-0.14909994229079,-0.199875861477467,-0.110971321375722,0.22766317429941,-0.179743007053302,-0.107720589721453,0.0884113362865518,0.100489660069231,0.139588407950573,-0.0363094303094979,-0.0494058742957864,-0.132657243132835,-0.199448243275996,0.0857906894812923,0.123372712175643,-0.19242363824859
progressive,-0.424582556607621,-0.46906053173444,-0.183650994072025,-0.457361610237063,0.406151236890056,-0.440585798278561,-0.413656205397807,-0.495769390247319,0.199543868559028,0.071738669559385,-0.450518844832937,0.434074134426248,-0.494113882488256,-0.496762694902756,-0.526561834565885,-0.430542384540247,-0.626995971949024,0.166323346193836,0.400963979244993,-0.570267239405142,-0.55746464606839,0.517070256747259,-0.0490030296682568,-0.411448861719057,0.409572619592119,0.436612579656811,0.496873062086694,0.133102823828643,0.539805896638387,-0.499080405765444,0.518173928586634,-0.423920353503996,0.247222492020034,-0.44820113397025
progressive,-0.210997540900561,0.36894046604601,-0.517116014232359,-0.358063159887012,0.232863146138547,-0.114322707589468,-0.146066682706543,0.0811358245125251,0.339971313928679,-0.451852177278371,-0.14273689510685,0.069370574993609,0.30967024677147,-0.102002493470603,0.188022006462678,-0.18180640294325,-0.181695410023261,0.419997209241306,0.105221288150306,0.118651431469069,0.0942329890713184,0.244517402737473,-0.0778060369128318,0.3050085441319,0.0379595786365028,-0.0889053289118093,-0.0635989431541407,0.473162817916408,-0.0768071006329238,0.0327429113969834,0.101336535950664,-0.148841505706287,0.421884088881132,-0.0254173786776583
stable,0.371037279021089,0.30818275405075,0.0692688197487177,-0.19246056002853,0.0364244534399937,0.336844550754783,0.310353868116806,0.247251254222547,0.173016892999819,-0.367472378264903,0.149250484780475,0.0473030049219467,-0.32555771425069,0.116328305098539,-0.360537983738109,0.0715790302591169,0.125726252206258,-0.0606225310112517,0.0883152219566755,-0.301915619278706,-0.0577213957996177,0.0700161775525764,-0.268010491390076,-0.144923980594246,-0.109304001855546,0.199591436682502,-0.15768443305218,0.140740335847956,-0.182194570472487,-0.193587711602161,0.189985180890016,0.288052877896612,-0.209347405942618,-0.231228150190385
stable,-0.246066216387154,0.124336045717696,-0.143623167973588,-0.304900642094597,0.167387687497478,0.0660005820901005,-0.244796432489602,0.0915868933938981,0.0254570121601827,-0.172103790876765,-0.0083596869391027,0.0793996202675282,0.0583255175396254,0.120644389399358,-0.0708045425797931,0.232189765987148,-0.173837725546268,-0.133433400847935,0.206205611164535,-0.0790515071885649,-0.125103552172744,-0.0432936632537274,0.4006267657655,-0.0142643478308506,0.198061422798124,-0.0657287223522435,0.161343781374145,0.170147726909258,0.170278683734201,-0.17564459819422,0.175218574092822,-0.177579112304459,-0.168097175106031,-0.0236667163255146
stable,-0.155196952533933,0.0543596566220017,-0.121780450651671,-0.0153356981411393,-0.0507109798165563,0.147411858064731,0.124935133510878,-0.183659445505974,0.0206195574395135,0.16049175473618,-0.0095390856327453,-0.0250029720763896,-0.0210525837784631,-0.0108412911935577,0.0237773668426839,-0.035752030223023,-0.0120840924190629,0.235097346794053,-0.0228050116700245,-0.08257202607696,0.0768660833435085,-0.0122576156090391,-0.120343803700427,-0.0894097777252111,0.143367673447898,0.0131221050149565,-0.110312287393424,-0.0221453108937186,-0.0989910717014641,0.159725751465114,0.0130001698003786,0.0645584430310529,-0.044742407390168,-0.0612443064297058
stable,-0.174355671498843,0.201350538096515,0.0281173286191571,-0.0697355407277897,-0.111159967128819,-0.160791246998418,-0.0779153677030133,0.1102859188334,0.0433200186417204,-0.139048145586316,-0.0894390044399892,-0.0563893407853325,-0.0616462812568611,-0.284816687507214,0.19922608321005,0.0643239167092428,-0.192829717279723,-0.169090105550715,0.0699319140783724,0.0982476286593187,0.102406833475613,-0.134976633115449,-0.007771554416179,-0.049499885109399,0.133599432018391,0.0701507136681139,0.0853094137600195,-0.0612408838566831,-0.269037528131915,-0.0438113832920071,0.0108876515957036,-0.125071135788546,0.0369966817466029,0.0957094384119629
stable,0.259905846135004,0.0770415235903404,-0.121002796509166,-0.074272692036337,0.228015707271789,0.0835992825340327,-0.0762885957116202,0.0621772699846379,-0.0668891412256613,-0.0236565081894677,-0.0134555498326131,-0.0281012114735258,0.0490860400933411,-0.0282955154422278,0.0707752205997011,0.0615457820863564,-0.15473882307505,0.291091633111674,0.0133826858443498,-0.0226364123537822,0.0064363189632535,-0.174290659925688,-0.228501467193544,-0.281109266719609,0.163579653650991,-0.109878894300977,0.0671320211865388,-0.0336145865854449,0.0964233444683643,0.0568824868375086,0.0781101954182014,-0.0010929598239487,0.211159837986891,0.104924143099076
