group,CEBPA,E2F6,ESRRA,ETV1,FOSL1,FOXG1,GATA1,GATA4,HIF1A,HINFP,HNF4A,HNF4G,HOXA4,IRF2,JUN,LHX2,MAFF,MEF2A,MITF,MYOD1,NFAT5,NR2C2,PBX1,REST,RUNX2,RXRA,SETDB1,SIX5,SP1,SRF,STAT5A,USF1
progressive,0.260537026343517,-0.0704845705197192,0.200442920564878,0.0365992489387321,0.454311439686507,0.585432901456414,-0.444618841980275,-0.239988719206305,0.0854499413781415,0.169271526341636,-0.202148817761175,-0.248440664406139,0.263018331356312,0.453691113433308,0.179972154209316,0.217734514872796,-0.066840153782176,0.0990971189485162,-0.16733300680039,0.0612572175033864,-0.59310943883975,-0.133370144437753,-0.448263258717818,0.0455939796101154,-0.42050365888717,0.269221593888301,-0.0787814341562538,0.27488207094874,-0.121739027190274,-0.211686333904107,0.205793234498718,-0.117551824981182
progressive,-0.0490003904360748,0.195655223906139,-0.149092025664528,0.0807608529281485,0.275043552808983,-0.103324121717954,0.144794871005867,0.0016932072087858,-0.0284894940205555,0.399147944816581,-0.0170860000159298,0.284484465730698,0.137662877005224,-0.0149566636776082,-0.195757842524853,-0.0619175090667364,0.279687045305805,0.193718297477906,-0.466863405840675,-0.100040325919096,-0.275210308064394,-0.0476278664107712,0.177414764429673,-0.416990757145529,0.177927857523244,-0.249709581313892,-0.0132762837961616,-0.228993447660944,-0.0704348544200227,-0.0533360270767537,-0.20281287256146,0.127093159277652
progressive,-0.168543379917422,-0.150667132994231,0.0222869665207663,0.100512921395796,0.113879963630545,-0.0189137939522061,-0.0578735335552689,-0.116626991429108,0.239354858727604,0.215822354599788,-0.164438515121355,-0.0344795604654353,0.279630138736743,-0.0029279330363996,-0.143213852717063,0.107879125020518,-0.231856565564145,0.189655044455438,-0.133324211165166,-0.210801011917145,-0.0241074273375507,0.0478784221542864,-0.0150493600556735,0.0632346459209871,0.0660497363079599,-0.0196394327225916,-0.163756957936165,0.0034131409072499,-0.44230383828178,0.0984178819726348,-0.159164712233357,0.119804047508603
progressive,-0.511336834039388,-0.424600105041805,-0.0610369574427432,-0.483975439323675,-0.0854074304688839,0.240492258817052,-0.141016418919441,-0.430581948420949,-0.6016183591135,0.484086214201067,-0.532716385375956,-0.560520879601235,0.4220522828618,-0.183443196960404,-0.591427070393477,0.547227894314249,-0.47145787817843,0.481316842266278,-0.175799730420387,0.150875383007289,-0.0299092168957181,-0.417953612398312,0.361679974683406,0.121963140008095,0.154087854451644,0.065246402783622,0.474891899377568,0.404439077356543,0.0929401221315092,0.0428698775505292,0.491951230495867,0.218448058216134
progressive,0.0871929247026694,0.131528310144705,0.111520546458043,0.0569539182216915,-0.0744607114475208,-0.0276243555446528,0.026260189838744,-0.0644568296041898,0.0644568296041898,-0.183821328871208,-0.457222872430426,-0.109360617423687,0.0920811851488425,-0.0176204737013217,0.0418344149812025,-0.0011368047549239,0.129709422536826,0.277948762578914,0.0920811851488425,-0.148239340042087,0.0492236458882084,-0.0544529477608587,0.158584263311895,0.0376282373879838,0.0190983198827229,-0.051951977300026,-0.0768480014328612,0.078780569516232,0.0917401437223653,0.418344149812025,-0.121751789252358,0.0592275277315395
stable,-0.327459906523722,0.426505177501519,-0.443033023166175,-0.0065115376648814,-0.0710563420735163,-0.254086069968283,-0.0210128402239902,-0.383629708610718,-0.290261698866239,0.356151866755619,0.223574213598205,0.189948354689876,0.309519928286385,0.100943941155758,-0.323026573706229,0.0439212482236894,-0.334879503838933,-0.0251723523210186,-0.131310793942339,-0.201253373607542,-0.033076598822746,-0.351553297296467,0.109705664662408,0.0900415600955241,-0.366957533797837,-0.404106237906349,-0.0551039245829995,-0.0405173734054998,0.125980057551816,-0.0892880810095559,0.267162830345704,-0.172104146261174
stable,-0.329463855730353,-0.0713972744631085,-0.312268543293895,-0.106427297847012,0.362864498052317,-0.130108415022853,-0.158762817222792,0.118973198134389,-0.291011464337251,-0.0949965886962907,0.321674212251856,-0.213013193235914,0.191140088037615,0.173292021507695,-0.0516310124002282,0.125110088281615,-0.110253672226077,0.11605333391581,-0.191186832576277,-0.435462105490358,0.0488330178717326,-0.256519003147963,-0.0774206421592971,-0.103539153136811,-0.254627518779953,-0.367550638053204,-0.331331967829032,0.143933112332204,-0.217918030899828,-0.0707845871170716,0.0412336914435036,-0.37970421810538
stable,-0.0396729268187294,0.0129648854495004,0.0275727863361494,0.0077465426400301,0.0466522048335647,0.0906488564868958,0.0775063052532827,0.021175245844515,0.0705411776106334,-0.10424421963046,-0.0314342656793428,-0.0513344057635443,0.0627553283811978,0.188638611611157,0.0222648245028346,0.150115009466644,-0.156257843258931,-0.129430309857909,-0.0139003822773505,0.0118360002017752,-0.108475180914065,0.0186784912854795,-0.162551614354535,0.131746254105679,0.074116504982955,-0.112566210739386,-0.189820953820474,-0.136503923687318,0.125444621692194,-0.0528532123781717,-0.0728272488504555,0.0111394874375103
stable,-0.243223978303001,-0.0344623619798083,0.0658434753727525,-0.13960283681613,0.115646903927753,0.120243430446166,0.0668031610518238,-0.0196276432968635,0.12116198260081,-0.0186905520889567,-0.053182460684903,-0.265003600141917,0.14727713584892,-0.11922146513504,0.0593623382210653,-0.105378006456255,-0.0902730231374591,-0.017394556396785,0.225211260348976,-0.103900096303939,-0.284435424688689,0.0485717402038354,0.0584327785035466,-0.100621580603448,0.0937036170092492,0.0444636018698215,-0.189221454183914,-0.173488460435832,-0.178141183459449,-0.301253242725369,-0.184518617781946,0.133558815779661
stable,0.173740144299178,0.196943065840754,0.0341060895310189,0.213359071577667,-0.272897719250351,0.186015396350212,-0.0367767531509048,-0.0516736658196257,-0.0090655554069518,0.300412904985505,0.126991280200626,-0.0815164941592673,0.303181574609791,0.000931057041795,0.0718384012248186,0.222522632989019,0.0565004615363001,-0.176508813923463,0.0182536183194031,0.0770327194579911,-0.0435391674544689,0.0733819957941104,0.223282179523115,0.0066644082991646,-0.110011739938416,-0.0376833086915999,-0.218920912327338,0.0076444683431594,0.136571367130675,-0.287574118409173,-0.0157054622050166,-0.0284952457791487
