group,BCL6,E2F6,EGR1,ELK4,ESRRA,FOXA2,FOXO3,GATA1,GATA4,GLIS1,GMEB1,HNF4G,HOXA1,HOXB13,HSF2,JUN,JUNB,JUND,LHX2,MAFF,MNT,MYC,ONECUT1,PAX5,RXRA,SIX5,SPI1,STAT4,ZBTB33,ZFX,ZKSCAN1
progressive,0.0610904339382065,-0.158220381734298,0.234833164924728,-0.0785338660186755,0.10197107652327,-0.261267264641386,0.252122910378938,-0.281400212681399,-0.115802872886638,0.056172461897898,0.0500249968475125,-0.145003331875969,0.0615514938169854,0.0477196974536179,0.196257821733559,0.0156760358784832,0.0444922783021655,0.163676256966515,0.213163350622119,-0.230529939389458,-0.331117836276392,0.0062243083635153,-0.288316110863083,0.155838239027274,-0.044261748362776,0.149921303916278,-0.14054641971444,-0.0248972334540615,0.378145943911842,0.0326584080801733,0.0779959628267668
progressive,0.0550857435343208,0.27682035750826,0.0810372493771564,0.069105226333231,-0.107761888462579,-0.047109585581632,0.113251134484946,0.124706392029276,-0.0713601982907762,-0.105197663207999,0.0553821112773125,-0.018671167808475,-0.178129899092035,-0.0186969389165613,-0.132927375508784,-0.292630932319164,0.120183562560143,-0.0880856474387408,0.0247918059789551,-0.0374969622654675,0.0955979254458774,0.210305127537696,-0.141341642298939,0.0062108370487819,-0.179663280023166,-0.177627362484354,0.143931638661605,0.0430764071661367,-0.0929563868670386,-0.208166125566539,-0.0948634488654198
progressive,0.0596022522153302,-0.150540004297937,0.0048964197038722,-0.135191912324354,0.128306863983068,0.0161674147478717,0.116330382032823,-0.155786718117608,-0.0588830801227619,0.188446648545239,-0.0648456224951608,-0.0825956979384735,-0.0693059823985008,-0.0476429545047274,0.004213482252361,-0.0935597093711139,-0.0740017897119713,0.232883770397301,0.163371499366345,-0.208526937986831,-0.0790662417319901,0.341015248445188,-0.122374802252932,-0.0553821606400295,0.0287954204264803,-0.0667667582818495,0.173811197098024,-0.104781484398399,0.127470667996099,0.119982849402723,-0.0908019110570132
progressive,-0.453317695445229,-0.583902581682276,0.508423849483881,0.418250142875178,-0.481260411937555,-0.4631143450521,-0.454764927773517,-0.47636208713412,-0.536477891539921,-0.132811397511336,0.461444461596384,-0.564531933595962,0.484154876594131,0.0964079381767113,0.473690273604973,-0.51666194119875,-0.576109792222264,0.495064781838147,0.526124614114478,-0.488273922451566,-0.547387796783937,0.526458590805621,0.0631215946260916,-0.529798357717054,0.450311905224939,0.548501052421081,-0.521226289311042,-0.489832480343568,0.582232698226559,0.534251380265632,-0.483264272084415
progressive,-0.0694275130401868,-0.0445278233876481,-0.0798584641108449,0.508200422593031,0.257745436133036,-0.0803071071676474,-0.0358914445442,-0.0343211938453912,0.0475561640210649,-0.2334065503015,0.134256434748148,-0.0318536570329775,0.163193911911909,0.279392463623757,-0.0450886272086512,-0.267279101090089,-0.267952065675293,-0.0093093434286518,0.0181700438005012,0.207048770714354,-0.0145808993460812,0.281187035850967,-0.497881632286574,-0.0013459291704075,-0.12023633922307,-0.0440791803308456,-0.03948058899862,0.258642722246641,0.0846813769714718,-0.235425444057112,0.363625197538426
stable,-0.0603655203917383,0.189665841656471,-0.282678161493011,-0.264097937170165,-0.177056988861421,-0.0216816291105665,0.0143868098082867,-0.054883609971115,-0.105499178465369,-0.0319353467409096,0.0181159987345706,0.149938117548173,0.0290140992672443,-0.0181162686331684,0.187200722813146,-0.143455962923974,-0.125996492528636,0.126363554621692,0.0920660553525316,-0.0133339353781331,0.0556649664118468,0.0048815209897396,-0.114711492355966,0.0273231845518091,-0.299916045139526,-0.0615345861682598,-0.0095677703439458,0.0613206915294757,-0.153935180832808,-0.0985503691655134,-0.0223922721186657
stable,0.0787601939959309,0.0297435951031299,-0.260803146544975,-0.193191556186695,-0.133108587824276,0.05613740654515,0.0379233774499478,-0.282705965463383,0.178397797182345,-0.0372436868774281,-0.14832694365541,-0.168395437152178,0.195596486039586,0.0661766880385159,0.163593968688032,0.0442134521803282,-0.106202910642457,-0.0238613347162614,0.0621102923416878,-0.12653321087827,0.0510137144021801,0.222539084684603,0.0956735806375459,0.230077776170427,-0.155769974986583,0.145294348928142,0.188410226702476,-0.151317582174496,0.217636921320825,-0.159527572991204,-0.116827900802019
stable,0.0471836907386556,0.164277899011344,0.037635398283027,-0.0855486037753058,-0.184466392614309,-0.195999973600316,0.0445051268484628,0.0232058170439765,-0.139110427824256,-0.107175643749886,0.140630906738395,-0.0174500559316974,0.101366311359803,0.256114825425332,-0.0171097207550612,0.125914561600512,0.0284368947589413,0.138235955495399,0.198724230639224,-0.330432368371641,-0.130605199659985,-0.0319993847328978,-0.0712293163434984,0.042582863350795,-0.108177741769982,-0.043681074545774,-0.0206659082257466,-0.170038387001076,-0.137169256816775,-0.0304710276896701,0.136726505961984
stable,-0.0786467997517134,-0.0099388046478329,-0.220818898247618,0.031560543102504,-0.0511376809635795,-0.197470466113705,-0.13186162753778,0.0195161136819034,0.0736407829202936,0.0632294767708708,0.181745988097696,-0.142448741441485,0.0039683151941642,-0.29645488123551,0.207138149051216,-0.0741992994553832,0.0709063185107238,0.185408601213341,0.0180666441309008,-0.0665175176629306,-0.0760381613877699,0.149360456211051,-0.198377111061405,-0.277668442381708,-0.0883842246082783,-0.0953848603246383,0.142699521758749,-0.118082367880715,-0.0985956039230801,0.0279766802371241,-0.136831901635685
stable,-0.0949280083150987,0.153698818227424,-0.232256538210608,0.173461148285772,-0.0956899887029206,0.278737341867742,-0.012904506567951,0.215394649628485,-0.114985298523571,-0.544496437130002,0.0303071554253021,0.0649158130399212,-0.214558929203132,0.510821819990777,0.0773287193576646,0.0242358923352375,-0.0981234099414485,0.0080868241159159,-0.149348156013086,-0.0660956536404196,-0.125112263677849,-0.144309253448458,0.197402080470885,-0.0547888478856435,0.133764428081504,0.108004574970622,-0.0653336732525977,-0.112797677410147,-0.268143356475767,0.0754360583943651,-0.0329617967764235
