group,CD11a,CD127,CD150,CD197,CD2,CD223,CD224,CD226,CD26,CD278,CD279,CD28,CD3,CD305,CD326,CD38,CD45RA,CD45RO,CD49d,CD49f,CD54,CD58,CD62L,CD7,CD82,CD95,CD96,CD99,ITGB7,TCR
healthy,-0.367920336271013,-0.268798337951758,-0.315641015009184,0.296109222828999,-0.420096474961239,-0.0902275237051487,-0.530327041201997,-0.623529635059283,-0.144593728426861,-0.19795618735287,-0.392415604279006,-0.315676050316651,0.459238385077172,0.152713564875612,-0.0607099750548699,0.404533480912711,0.738976538290374,-0.363031059777931,-0.273982516952185,-0.444840097345578,-0.305894316314933,-0.411554581237987,0.272507311436843,0.446870935486513,-0.487374623544887,-0.708344424068528,-0.362056622349329,-0.598941547593929,0.161535779962006,0.512465353397791
healthy,-0.359918298175291,0.198023860486838,-0.385301164748657,0.556012365376875,-0.275599807042126,-0.127481198802842,-0.316023224916224,-0.606319309188599,0.248709589259387,0.0066499080378685,-0.60397077826131,0.206855286227575,0.58700847126339,0.126769963901299,-0.0712889116466643,0.339752563576051,0.452226687700379,-0.257700913699237,-0.419533445697544,-0.229014752927564,-0.474816430812673,-0.454740418305894,0.61651733226967,0.593088135390398,-0.172627603948989,-0.58247308303012,-0.291186233169131,-0.387518978157181,0.248377799980865,0.618569603278502
healthy,-0.138146903968243,0.0345526543473589,-0.152046076447066,0.391796637663805,-0.195818022715442,0.0052759927763085,-0.408768829022546,-0.368647439220553,-0.0290174692103629,0.126716217376486,-0.205980435349598,0.0079147031587305,0.514005912056167,0.334301468736641,0.0533592281355551,0.4026176148125,0.680782075711359,-0.0751777984425056,-0.163457819179558,-0.346439310432309,-0.206407456079669,-0.179361203687388,0.560813796009937,0.362685293560484,-0.217684825976566,-0.521079937128589,-0.182486052655944,-0.392512999074255,0.102387501017121,0.478200894610129
healthy,-0.159640094902943,0.0352030426276686,-0.279934318212409,0.36930802557382,-0.331735982290028,0.025468254756996,-0.426497120309802,-0.424177962967147,-0.0517295771407447,-0.1838434922838,-0.26968845023724,-0.300595320215178,0.513687943163155,0.286752204396706,-0.0693916486964417,0.391834281125998,0.652218204087243,-0.125821795904518,-0.228052545018149,-0.328213888852516,-0.353348988626781,-0.39685085693807,0.419340833976994,0.500457188889003,-0.376785324577886,-0.668317169489647,-0.252963615072702,-0.603814301751256,0.201975877095555,0.626209610182926
healthy,-0.248389927041528,-0.0189011403291113,-0.304008261766063,0.339109767037797,-0.232267464607291,-0.0903154388023641,-0.500744724237121,-0.41866083347008,0.124363035969488,-0.185309738804022,-0.373783287622935,-0.253856290541959,0.53244296154638,0.350354558489155,-0.0700068532401799,0.307158918014721,0.57719829815032,-0.11720687949618,-0.0926823400581413,-0.301910432128653,-0.373181675671739,-0.356570670198595,0.478525312866736,0.452569961692489,-0.329417704192013,-0.653850897388994,-0.300988683738744,-0.354919522514055,0.206860832414013,0.56328344163785
healthy,-0.216899013166188,-0.0301757667959796,-0.235512630784564,0.296090853311042,-0.208790312936922,-0.134248259056578,-0.414197005336425,-0.342284431915084,-0.0922996615253907,-0.057479609455733,-0.176875106026976,-0.0532267179814779,0.380305581311389,0.358158414745214,-0.0815745730125586,0.463962215471669,0.638831583478936,-0.533521960220408,-0.270273076205465,-0.33105819427156,-0.344153971433755,-0.373396614256772,0.464321941693702,0.520606539863826,-0.337488490145533,-0.473237778917749,-0.108360980020744,-0.318154627971258,0.160365119958377,0.526551253106887
healthy,0.0926546787849225,0.259170267746135,0.0833605350333982,0.167981881468847,0.0943491773011615,0.0713337136700907,0.0188352685582632,0.106759715203931,0.177807681338811,-0.19125496358523,-0.0754009133884474,-0.0129442346040066,0.0142155473511062,0.221570641340438,0.0353575938091618,-0.0966866349698455,0.297123272354581,-0.136900942286485,0.177811274797373,-0.0431934387137963,0.0446204657795414,-0.0781200272432217,-0.280814200879442,0.17763472197183,-0.143505528424277,-0.103509627663809,0.235746497031054,-0.0966924468750748,0.207492042560215,-0.10349030913347
healthy,-0.1021457542798,0.116083030767831,0.0199427255446248,0.3422717711742,-0.105352889575899,0.105303817846418,-0.182073829569784,-0.110602537069833,0.0949945539459585,-0.0517781788168498,-0.149713119506665,-0.0190368001714658,0.376324780077735,0.333940263616125,0.199207373119847,0.394828571672674,0.601153014608088,-0.34331533422703,-0.0521512643147093,-0.089712024683007,-0.0871796271753092,-0.0219426170544192,0.329029856122084,0.432724619843339,-0.154071763938884,-0.283354485537715,0.0658750893872515,-0.18103217522513,0.23722628795733,0.43358581388272
healthy,-0.0192705059441255,0.14066763959233,0.0066362085270093,0.400300900095551,0.0578352649880101,0.182677637590452,-0.129104894022237,-0.0218828427152759,0.19726121956673,0.0840762670923278,0.0849152822120089,0.138977493391643,0.437886962595096,0.342550741235162,0.304815472345317,0.435046243287979,0.68946423177939,-0.134731318546232,0.0646426480488082,0.0205626145243031,-0.0310885470504391,-0.0063700069198571,0.365587234527543,0.331814381108922,0.0033050451570749,-0.238907115461671,0.241473217080694,-0.0867242776808507,0.246780389243179,0.447226525016616
healthy,-0.199231655867447,-0.150549758575115,-0.181991477266388,0.268942803008327,-0.235805980926179,0.0155624238173586,-0.39451207486372,-0.457044161305505,0.0074822218639362,-0.194180339462733,-0.224644034160046,-0.23307521515601,0.369916713590327,0.247249506804672,0.0071691112442967,0.309965755499399,0.672444422543053,-0.328974496087323,-0.198135912493695,-0.434324983227778,-0.307687548960624,-0.188669821080519,0.581865945124874,0.402214091375564,-0.385270992993465,-0.596690606444181,-0.241710516149329,-0.586313000787647,0.0984618380052874,0.406014497758318
