group,B7,CD107a,CD11a,CD127,CD138,CD150,CD197,CD2,CD224,CD226,CD244,CD254,CD26,CD279,CD28,CD3,CD30,CD305,CD326,CD4,CD45RA,CD45RO,CD49d,CD49f,CD5,CD52,CD54,CD57,CD58,CD62L,CD7,CD82,CD95,CD96,CD99,TCR
healthy,-0.0433436949021739,-0.0343897586362325,-0.0589786297815922,0.199530073367424,0.0385376293307756,-0.0420311461072579,0.258101035589129,0.0635586053011685,-0.14255471943088,-0.151787775607623,-0.132813208996454,0.0427363366621317,0.162278543733656,-0.150796281068859,0.123495515100474,0.466737380135495,0.0602818668479174,0.152211692967695,-0.0018798270204031,0.341981415123365,0.235376634937073,-0.11099012799971,-0.0350167821222475,-0.0303165605887379,0.251927047139909,0.174335859971916,-0.181365112968423,-0.0003282178492728,-0.147352607676724,0.436113599054594,0.458379700507169,-0.0554739394658405,-0.221697110149906,-0.0164358016493103,-0.103984453745044,0.468179298478631
healthy,-0.12446127458604,-0.22611516063731,-0.506097191353836,-0.11535110911981,-0.0964927535481817,-0.479099046049132,0.458134836667716,-0.571586848138664,-0.382885997397266,-0.787222914394411,-0.385284827481138,-0.172280628811392,0.0752799818889985,-0.676612662850546,0.0374708068370551,0.320295798346391,-0.0519940448900505,0.0503258222898808,-0.120527212346094,-0.0912370094279215,0.36812191642382,-0.282735526993439,-0.584785493656626,-0.414408362480252,-0.229540787224015,-0.0793372122786656,-0.496848364675156,-0.507900761644571,-0.499859137860069,0.456860151128801,0.49551327806776,-0.246219564083688,-0.634398813336213,-0.484818586976699,-0.617180602825132,0.383512811791497
healthy,-0.169456936925345,-0.125768591766714,-0.357872107852848,-0.279389443388196,-0.0021673385285096,-0.285442413015639,0.333311671176758,-0.483465068335504,-0.497565654193769,-0.58347558024964,-0.0801348786242679,-0.0798424692720381,-0.36016008522355,-0.382091927421676,-0.172226276673965,0.430638039101991,-0.088832897281458,0.272327007138997,-0.0916799206563235,-0.126930673935619,0.568985678802278,-0.190217978365564,-0.43089159819717,-0.518823307581252,-0.0405207316095519,-0.248264956704791,-0.431249233566036,0.0366376387694157,-0.317464289230391,0.715835995803635,0.458383990058563,-0.275925464487793,-0.648254690388272,-0.40733509187803,-0.555772165949795,0.485266552225029
healthy,-0.0852081500231008,-0.228738423869139,-0.416828447127491,-0.365753577829187,-0.112348145321973,-0.429049811617566,0.153682490420791,-0.715307608215925,-0.508426616871259,-0.751563677669995,-0.176776303719664,-0.184678385159693,-0.357829964453856,-0.368301849417327,-0.460677829157723,0.195563991173876,-0.21318182675401,-0.0095277016025055,-0.159428095496205,-0.0348601610378374,0.419747244372741,-0.182866676595001,-0.480869411422548,-0.570144154817621,-0.266058164991218,-0.323817602728953,-0.489511396465458,-0.113490128508296,-0.472503564807494,0.295594403841394,0.123541676178496,-0.463782075386208,-0.697613109156865,-0.528387750665813,-0.754380120744806,0.309127123376192
healthy,-0.103088422367275,-0.161504116151365,-0.23429705456276,-0.270027808465176,-0.0732686580927987,-0.202186778843869,-0.188307774221517,-0.295375927562048,-0.284606134512287,-0.263106153310417,-0.0516778024900888,-0.111282217471984,-0.0603679179229127,-0.0956172277400457,-0.382931610636482,-0.305192857005204,-0.160347838833729,0.0062454089497609,-0.0555893324294974,-0.437338368259309,0.059719351802182,-0.18033543114866,0.0109621764205258,-0.530750153519662,-0.427221387989804,-0.428073299388629,-0.0609399306252655,-0.106313887068947,-0.179016739398382,-0.462967174917504,-0.176843714524416,-0.472365734005145,-0.241562452250345,-0.234877306274608,-0.400628454516605,-0.276440089449995
healthy,-0.167257201599695,-0.174765122178725,-0.276123466054608,-0.175929389702508,-0.0803755558575687,-0.376225520445693,0.273880859146846,-0.276662402705785,-0.302770894232384,-0.392466162589984,-0.234825142069789,-0.134717677858409,-0.13378900711676,-0.280381441962574,-0.116244934807837,0.218159552368488,-0.1218821712173,0.252484782106473,-0.0972023848910453,0.0557451672012196,0.404229299254063,-0.329255649779123,-0.345184351362313,-0.217039165896674,0.0553112744347715,-0.0311800317618498,-0.460057152393421,-0.0743552071597158,-0.399399212391176,0.518262190983692,0.319770069953598,-0.293830035932791,-0.335838036665555,-0.171913832801049,-0.342215350855749,0.354023565587953
healthy,-0.0501215776566122,-0.170751175324496,-0.0648565746795807,0.0650914986358613,-0.0373893827425356,-0.205494338940518,0.303168799178994,-0.157458542182719,-0.34816747137519,-0.344700822436873,-0.113383229674586,-0.0620433767551295,0.067475934629544,-0.273804406300987,0.131665110855229,0.482242508289883,-0.184805940147112,0.276146299508978,-0.0519132212520481,0.418502624720564,0.547420233014764,-0.350711633514431,-0.185937002114075,-0.137745192799806,0.365953813254522,0.185888889874384,-0.183952482373776,-0.133838538673264,-0.30134511279952,0.53095296254757,0.4542918990025,-0.181745515240142,-0.471040894582438,-0.104315292116902,-0.114669188120281,0.518660383774014
healthy,-0.0793293741783997,-0.137915981303762,-0.273062344298965,-0.178446308325062,-0.035741546550177,-0.268389469980365,0.0917212361883887,-0.347696950268053,-0.391984451901669,-0.448186934618099,-0.221110343797381,-0.0747714263691476,-0.281088213314699,-0.182155311246011,-0.306186176521207,0.113712853959917,-0.037454607712084,0.0636690240203225,-0.0295632688592315,0.0090928495603341,0.356289859512138,-0.610877865433806,-0.236747201374804,-0.490646864146256,-0.156113873165668,-0.175793974407832,-0.249359047061389,-0.0013476056561472,-0.391388526370372,0.150107664418004,0.209543862398008,-0.263355929817854,-0.486697122559862,-0.185206646041924,-0.387273656981104,0.128586495924181
healthy,-0.143562100528616,-0.193131856915575,-0.253741841691383,-0.39290521054708,-0.125842334361737,-0.0032065087596278,-0.435604493618954,-0.443119981907665,0.0354011181737143,-0.157087217805305,-0.0598799908201884,-0.152778035423216,-0.306266155766836,-0.0544758576734839,-0.490255756623408,-0.60448955498645,-0.137814277727848,-0.402407992400296,-0.104811056232252,-0.52017684283829,-0.56574743605955,-0.11863257747576,-0.243134066362346,-0.192245759169403,-0.570672049798778,-0.453953381056993,-0.0453221980175014,-0.0361083644993168,-0.0736994393726408,-0.368000473812508,-0.570845294987326,-0.144128750137478,0.0469469178513612,-0.240457772513261,-0.221872386183868,-0.52740146721145
healthy,-0.151228362729364,-0.0956621341315992,-0.135601256808865,-0.322767361691824,-0.145602537339736,-0.136655984034413,-0.147607181609644,-0.267971040232733,-0.215649877416017,-0.191037701495175,-0.0424897580896274,-0.168994507552983,-0.221131670611961,-0.110783984878657,-0.245702141214469,-0.27787862428722,-0.091364131825199,-0.0729463162905009,-0.158345973654245,-0.346750752325345,0.0846170774278907,-0.154967848799912,-0.0532289184621283,-0.286382858786882,-0.313461592862139,-0.239533331749967,-0.128548377846651,-0.0688129801264693,-0.166491639842214,-0.185376132720074,-0.089740683740617,-0.232660869975369,-0.202805778843557,-0.259251701595204,-0.203979132695838,-0.212467815887942
