group,CD107a,CD11a,CD138,CD150,CD197,CD1c,CD2,CD224,CD226,CD244,CD26,CD279,CD28,CD326,CD38,CD45RA,CD45RO,CD49d,CD49f,CD5,CD52,CD54,CD57,CD58,CD62L,CD7,CD82,CD95,CD96,CD99
healthy,-0.157427653362872,-0.359765700721245,-0.0262978146413372,-0.322147810011048,0.267149090478374,-0.0537141215642865,-0.385856869963449,-0.524762631255103,-0.592601824804352,-0.178154967217244,-0.12066203062389,-0.389948508136762,-0.277638906878724,-0.0799264064856642,0.389383940873513,0.679168464997815,-0.381145003079998,-0.268732943550794,-0.43980869504159,-0.21226759438868,-0.21361636888679,-0.32942921807235,-0.0608681848782749,-0.419790737143487,0.369517691290107,0.477941374152866,-0.452279296735981,-0.698818001830918,-0.345674490832753,-0.577078640129404
healthy,-0.197422108557852,-0.378711944594003,-0.0881896197633315,-0.389624580581382,0.55025626340674,0.0334670864364513,-0.293155567001304,-0.302960336961195,-0.619151643732714,-0.381633758271814,0.261972791551438,-0.615222967994078,0.223109705041398,-0.0705658245707127,0.341379023735357,0.433143908172403,-0.262594609045513,-0.421470757025098,-0.229215001181484,0.0806015536527339,0.151349274728938,-0.486694260103907,-0.353195382268438,-0.458568761159657,0.646663462222518,0.601489327856206,-0.15708080075105,-0.579368285418997,-0.297097125582339,-0.398882685820692
healthy,-0.148143360917182,-0.359963981200987,-0.0275969200664759,-0.332945298343442,0.349382987084662,0.0368454816510979,-0.497983157890057,-0.581140853068848,-0.630892348993291,-0.103372437209954,-0.330694245859743,-0.391892883743852,-0.303503070306525,-0.0884947345006483,0.364180611902682,0.728252654174116,-0.255309813901118,-0.474639351707279,-0.533951942485118,-0.0908478645555329,-0.276597932049738,-0.434308762628542,0.0177708969871844,-0.376384750699887,0.600864090183984,0.467090154596704,-0.36888537600635,-0.741999538607517,-0.450472570202883,-0.627696334556242
healthy,-0.168494142769625,-0.310759286954193,-0.0722417146551536,-0.419451335930154,0.292567213396831,-0.012340490370141,-0.521238371517223,-0.51269093245311,-0.638141227925851,-0.170393686626208,-0.192033995977012,-0.390852414377071,-0.401285477127621,-0.139750436444571,0.363425586535717,0.661314504611423,-0.253391624379953,-0.299791155786416,-0.463674508584595,-0.0536220355776532,-0.159320102162522,-0.489069514797934,-0.0029902221206632,-0.521912504861463,0.371112709666723,0.436652926266416,-0.505382554907679,-0.783401245590849,-0.446105830718521,-0.754875890001665
healthy,-0.111065956911454,-0.207477975435917,-0.0225792555194464,-0.277202448202652,0.349821759796804,-0.0149886666843657,-0.187701469943616,-0.429012075068884,-0.369407217783048,-0.116493017952795,0.0915295477338899,-0.350577512337392,-0.182266704921743,-0.0667599982296503,0.271410618318313,0.524475795371853,-0.0707480021726285,-0.121665364981127,-0.181480225397596,0.0257712078450189,0.0207216290337328,-0.365375845813023,-0.0093432677424456,-0.326944066032398,0.581021817720919,0.437911459496519,-0.204176773309286,-0.581013974180356,-0.267331951267913,-0.273217268029388
healthy,-0.210550674506926,-0.463054067767045,-0.172989642855547,-0.372846590515805,0.0540727688848927,-0.115957559448254,-0.519643642137672,-0.55371265818222,-0.599642148735525,-0.241324882191032,-0.378620970130459,-0.340840889089692,-0.443083552149955,-0.156012967697218,0.232686846279036,0.417240207970539,-0.637086638552237,-0.566999094304122,-0.543397499575963,-0.2380758132004,-0.351465017435325,-0.469177119688252,-0.0420179731407065,-0.597162345507907,0.399015672089209,0.223316335616244,-0.541206976220158,-0.566237328575985,-0.30051712908067,-0.655794668830085
healthy,-0.197181573547426,-0.154437327170004,0.0034077179849529,-0.153759268387545,0.280506301451175,0.0605425797881552,-0.265378757722512,-0.396460841748703,-0.28681493260057,-0.135619120757185,-0.107899186971291,-0.164851799190869,0.088374994436131,-0.0567423020497925,0.291287065855233,0.348732732533667,-0.237787740517751,-0.186014912296179,-0.187276043643529,0.318605932774439,0.0954408529722148,-0.253945742935694,-0.160485389071994,-0.28098489925402,0.343599433517512,0.350880509953722,-0.257567737140796,-0.33531776778836,-0.190281739336494,-0.210744894986007
healthy,0.0487467436609468,-0.0972810623179099,0.124487303417234,-0.0429281406516478,0.276846920815333,0.0081668212684963,-0.132068327812602,-0.273754026828862,-0.246551264918862,-0.100155069180289,0.0031365475308377,-0.119336412294821,-0.0812536358632124,0.148069788791221,0.445985438590554,0.624931268574195,-0.359693951791549,-0.0479928418682128,-0.223469697226241,0.0884728470026565,0.0212715201821318,-0.136440174484577,0.0945356715138278,-0.157705641462077,0.379855640708941,0.408961815247318,-0.167356483759357,-0.331775031208163,-0.0105768215008318,-0.174011446483066
healthy,0.0078265944338362,-0.297738150183945,0.126710202705448,-0.10106619417537,0.131958128593537,-0.0162780057893032,-0.37988974635941,-0.245220498993189,-0.322432016215275,-0.0697021833210062,-0.0362551595469859,-0.0005712550683537,-0.326309571893137,0.26761090157379,0.26440679541445,0.492784066215437,-0.479829600770378,-0.227514681509769,-0.254786991524611,-0.268176205921674,-0.307645765645571,-0.183372479079156,0.0657800118276775,-0.201463746404471,0.147904690988253,-0.0627084237029575,-0.256754042988469,-0.44215059633739,0.0026484554012868,-0.447471161511399
healthy,-0.238107489829564,-0.177994560641235,-0.228069491247651,-0.291247620538061,0.139582747006648,-0.11093843819459,-0.252826697784704,-0.515390716477231,-0.553305545613293,-0.175427996697807,0.0013866653124831,-0.315195812449987,-0.302349877467448,-0.183092420842012,0.266174179761355,0.666336287355821,-0.395369444963297,-0.24731844679539,-0.506026532080693,-0.114255419515196,-0.296479494872613,-0.374814407077962,-0.104261211898326,-0.329122112835052,0.661268941481229,0.410105275298924,-0.435006374349985,-0.67575323680461,-0.350042986377539,-0.643336983430485
