group,B7,CD11a,CD11b,CD127,CD150,CD1c,CD2,CD224,CD226,CD26,CD278,CD279,CD28,CD30,CD305,CD326,CD336,CD38,CD4,CD45RA,CD45RO,CD47,CD49d,CD49f,CD5,CD52,CD54,CD57,CD58,CD62L,CD7,CD82,CD95,CD96,CD99,Podoplanin
healthy,-0.0343333542679989,-0.111414911207634,-0.106496329797814,-0.284033661261807,-0.0487909998865138,-0.0190472641653655,-0.243088443219117,-0.0130804256336379,-0.0289561147266633,-0.230303238780745,-0.241151775206368,0.0004089537204266,-0.226952037909081,-0.134806230797781,-0.16168147257406,-0.0562133445445958,-0.0887896132464142,-0.142463335948853,-0.423901483665308,-0.151532664943163,-0.0120051793247937,-0.33395175104533,-0.0753880181506392,-0.115368580367948,-0.365764082533276,-0.303082672957745,0.0331141181275944,-0.1157757871394,-0.0093940227964078,-0.334566748092153,-0.389889226954772,-0.102465826409655,0.0197271643985448,-0.105552869431112,-0.103267119928353,-0.0663504958101196
healthy,-0.148883015636389,-0.526709436103124,-0.222455972659149,-0.105290864778011,-0.496739814095432,0.0109503069621393,-0.568755309400854,-0.414622809007686,-0.787595922577865,0.0490158821146569,-0.121336665287907,-0.68640976043917,0.0375664408574956,-0.0741375327336415,0.029512189288168,-0.137532049719804,-0.113557146318162,0.352665767507248,-0.0802816984676843,0.385901666107171,-0.304137279325896,0.121683154475726,-0.591844274945701,-0.399004894354083,-0.219585172709367,-0.0919590268105049,-0.524298453179173,-0.487321958036953,-0.532595113040703,0.562134522335783,0.498329372412378,-0.255637453548162,-0.667000514066977,-0.481685629191123,-0.61365338929257,-0.104454758049836
healthy,-0.145638682572522,-0.387923246661687,-0.0155653850354894,-0.337633397211353,-0.35332308967178,0.0285902692785314,-0.47532490285732,-0.518320033795574,-0.663072650212553,-0.185194643849668,-0.0659301835036247,-0.382214374877448,-0.362101035009877,-0.146927069023647,0.279230890047619,-0.0726366524571796,-0.147803015051513,0.397921705632419,-0.233000346173315,0.667004553136376,-0.356832129962404,-0.0356770814126996,-0.459973447242692,-0.50548293745183,-0.128094222236781,-0.297201554698119,-0.476513058375406,-0.0523842788928313,-0.399675711858446,0.647321390482561,0.353378470559404,-0.377869428877602,-0.738588582397806,-0.451377888272187,-0.638073697993025,-0.202823277806624
healthy,-0.0494753508677396,-0.306633724947411,-0.230685942292312,-0.467146565957287,-0.33237859251412,-0.115959768067178,-0.519965428048981,-0.249192357242956,-0.459990758068369,-0.5090404467742,-0.0322335673128902,-0.224252748257274,-0.21673877295873,-0.211693158178618,-0.20283564086597,-0.109768736861141,-0.166467102132835,0.060450922174759,-0.0350644072064011,-0.0289657459355445,-0.120736989692197,-0.264452479919468,-0.394669296368988,-0.100896501555043,-0.233005570390224,-0.258742160820982,-0.327007957672364,-0.141844701482498,-0.263157370091393,0.194743382196309,-0.328481317285874,-0.100930966142043,-0.318603731620408,-0.400681031601212,-0.360147115773804,-0.115727254185724
healthy,-0.128858090572191,-0.349583103269018,-0.096625348670743,-0.457520939998279,-0.340431115702653,0.0145426353241688,-0.485695212217685,-0.433012987128465,-0.486797761823802,-0.214799534611594,-0.280486208956804,-0.221424328778389,-0.485906708079576,-0.176036985937644,0.0898872058427931,-0.0745116192808153,-0.201559090493401,0.170713013063754,-0.506692783407741,0.2145274894035,-0.229508984962953,-0.4128194701616,-0.200988958213663,-0.636128779276822,-0.487037843588255,-0.506828460838541,-0.194369784085538,-0.123188952276268,-0.278248078784538,-0.133349520857443,-0.076486898956051,-0.514546620486373,-0.403479501967735,-0.371399318095452,-0.522917581644145,-0.165097344686055
healthy,-0.298594469648202,-0.391140011128589,-0.0965051681069096,-0.360710191010924,-0.478973499365719,-0.10965719643083,-0.488785810069413,-0.52077355256305,-0.61652826994589,-0.525319724592923,-0.367447341917378,-0.271491571590272,-0.361101783913153,-0.240384499084841,0.0788946211274692,-0.329062161147396,-0.234462502526898,0.0344400409082466,-0.401169125447724,0.415538993788184,-0.594687523535318,-0.326027599375826,-0.515593255118071,-0.369143198285086,-0.240135245462127,-0.302909478055782,-0.345017519829185,-0.102172293096099,-0.632683321341095,0.0445109506669721,0.217821816847822,-0.52803690863431,-0.565298186560224,-0.42373264756502,-0.489112246821262,-0.306271002756742
healthy,-0.181755267655877,-0.406772230533186,-0.191540600124032,-0.32214593354724,-0.24815733100412,0.0680030857312479,-0.529544019120704,-0.381247976676804,-0.502831963283353,-0.359647957672844,-0.173982743634542,-0.299429021090232,-0.351361041929,-0.416971394753097,-0.0072566151910319,-0.168348090189356,-0.196381194057075,0.0546262249156497,-0.330766380593322,0.354959887008791,-0.580545880365323,-0.411437530586117,-0.404462875846722,-0.453681776261089,-0.224328408441371,-0.358715909877023,-0.367565177512282,-0.152044861533135,-0.492311293767485,-0.0144243204222353,0.0823139418075419,-0.645085218685253,-0.487591660927854,-0.358683432566579,-0.580081958583146,-0.208547939082742
healthy,-0.12018229722705,-0.276605934820563,-0.0802781330473803,-0.397740845018256,-0.185964759493012,-0.123891601629874,-0.425039554876452,-0.410737833027044,-0.567957793954121,-0.407140705767791,-0.0929711658786319,-0.217209981501895,-0.32373936824503,-0.147309869260238,-0.0029116972507899,-0.20789666465086,-0.163658124781237,0.198328903541739,-0.296024469946766,0.372208164317433,-0.639361970069517,-0.306568015336725,-0.380505693314154,-0.447275987328875,-0.222377719954808,-0.257623499689562,-0.247921121270692,0.0287296541073786,-0.382624346378365,0.121585291320481,0.0699215172467754,-0.410877550317304,-0.508005882053123,-0.194607361873154,-0.497312382859611,-0.155491317913767
healthy,-0.248209593436156,-0.270632601457387,-0.140127306040321,-0.396466155585872,-0.108256625491628,-0.0691346146628621,-0.452295745758126,-0.107357318380308,-0.288784622940479,-0.272398335370827,-0.314286487380367,-0.145821601821644,-0.495850831587236,-0.26761204343352,-0.37043478825004,-0.225043436220783,-0.315675238377203,-0.289496532650054,-0.416293525187486,-0.411860700343428,-0.316865440340906,-0.458174218169447,-0.313496327934687,-0.304851893056192,-0.531339062387571,-0.472929096594396,-0.158337230853442,-0.0871348023983928,-0.224346788540272,-0.26894753165236,-0.471526137059952,-0.282747655920725,-0.147262018684057,-0.369429394020336,-0.319816925935444,-0.295188042625731
healthy,-0.176278999053693,-0.147809256171072,-0.146575986532456,-0.440446029993307,-0.162536089200981,-0.113363920629938,-0.29887432516687,-0.248137102206717,-0.264581049626773,-0.270611917027535,-0.208686853743441,-0.153111979796144,-0.251283713270831,-0.117240581606423,-0.0974706468463979,-0.201100438266994,-0.159943040070529,0.0973107559433227,-0.35361615413696,0.0929259736204339,-0.145613272614597,-0.281468179861692,-0.130675629008109,-0.269916298779547,-0.314373902485805,-0.272812919302002,-0.161049903430777,-0.105665130190336,-0.212038478981082,0.0298102756848909,-0.126959855925505,-0.221349052069893,-0.236245624738549,-0.305066951231926,-0.221393854145316,-0.21268249545338
