group,CD101,CD11a,CD11b,CD127,CD138,CD150,CD197,CD1c,CD2,CD224,CD226,CD26,CD278,CD279,CD28,CD3,CD305,CD326,CD38,CD4,CD45,CD45RA,CD47,CD49d,CD49f,CD5,CD52,CD54,CD57,CD58,CD62L,CD7,CD82,CD95,CD96,CD99,Podoplanin,TCR
healthy,-0.097112218335904,-0.100073952605424,-0.0819961707150428,-0.260243079216989,-0.0567991937650415,-0.0096965107448568,-0.162200178240734,-0.0164153890193931,-0.24097860436112,0.0151416345760769,-0.0360998343682827,-0.229723113719196,-0.23275615076068,0.0101238238394647,-0.239427765519468,-0.457583779922235,-0.144976558366745,-0.0258741988714274,-0.14226420337813,-0.426726277441058,-0.277083998618171,-0.121847324434597,-0.29005889424422,-0.0736429413764797,-0.0881065506223016,-0.391323670570555,-0.266902600759889,0.0533989026370258,-0.106167658982116,0.0040302290531294,-0.407893084589236,-0.409072445427045,-0.109165239550178,0.0374664549874604,-0.0949347445498204,-0.100836370945261,-0.0458387205397206,-0.431148753136242
healthy,0.195886426850898,-0.47953244338018,-0.165370670732046,0.0428115854763428,-0.108697809986388,-0.483143470025533,0.527021924500839,0.020332002878386,-0.441538397460959,-0.425204831621343,-0.763117615969169,0.103238312729663,-0.0451675707768829,-0.661792961770354,0.118952351057842,0.502637260227416,0.0591692376925756,-0.120388598017963,0.338631431714064,0.0595672919587018,-0.12869407951343,0.383878455666985,0.236798937274954,-0.598196479229446,-0.352852747539922,-0.032260696648243,0.0336459953983108,-0.548715436638174,-0.411725661711812,-0.534316173828126,0.500387516254877,0.582042425448569,-0.276762566250507,-0.65643675176141,-0.439022415245567,-0.556555711999173,-0.10775445736574,0.568420745791948
healthy,-0.0721941844090755,-0.0779919676094607,-0.168825612160624,-0.241230760014919,-0.201400473602021,0.0683760723202778,-0.232608281711155,-0.0131834809126428,-0.0254771406961658,0.128179651758697,-0.008395165861237,-0.0226345240619527,-0.376779062659257,-0.0466970340590969,-0.257753344353265,-0.52216777725932,-0.197667029544773,-0.0459517255215106,-0.225069076308701,-0.266508829220456,-0.264881065581202,-0.424401804651565,-0.201994625514089,0.0366697259872694,0.10111008810944,-0.357592674436172,-0.112053932753679,0.106032675318358,-0.21515968882629,-0.0048925273066794,-0.531068840687691,-0.441910733555094,-0.0913493903510896,0.173777848731904,-0.0947906552856244,0.0138181751843345,-0.140883481516752,-0.500837330855914
healthy,-0.121690225433719,-0.310173893837476,-0.0833079692863972,-0.114367315847156,-0.0938463830497114,-0.422316584087126,0.286483957790428,-0.0522192162816022,-0.522507994900999,-0.584882642991226,-0.635117132217361,-0.274317525637023,-0.20211608923146,-0.375366842436352,-0.407338084483499,0.402819621298547,0.157947675367742,-0.168104069422845,0.316700337517714,0.0912392606912741,-0.117736089375713,0.613541633285666,-0.11836097326639,-0.315165165772754,-0.489473207508957,-0.0881946824335704,-0.209377278867897,-0.51273792348159,-0.0316934755229999,-0.537139735512238,0.458721669366513,0.398187542321387,-0.493039492218378,-0.795992375061062,-0.445498386420988,-0.766682365572558,-0.162250624717047,0.514178145124112
healthy,-0.216687022231344,-0.421174490830876,-0.177833968352054,-0.541492576617541,-0.177753169838477,-0.395258392029489,-0.119220263833668,0.0003913507056404,-0.565885144778639,-0.479984263936856,-0.586513296397655,-0.399577019114819,-0.237133451107271,-0.212048968171353,-0.52537656820601,-0.180362672524117,-0.0121159468500291,-0.132231016720116,0.113857662580835,-0.550976492242901,-0.440704378048292,0.160397810670521,-0.460276314493668,-0.335215028926305,-0.584458515451309,-0.548034905052924,-0.538450784810638,-0.298962640404274,-0.17182836659498,-0.369329533667832,-0.0058606712977052,-0.0852502081305761,-0.493464224736244,-0.438504570009487,-0.465839597858273,-0.536609425734716,-0.214082217047325,-0.0983181187595449
healthy,-0.14561886384586,-0.318907760170141,-0.0876547450863951,-0.4577322638944,-0.239321209787123,-0.364791175834147,0.03861787341611,-0.16335224396857,-0.42845404164477,-0.385853527758399,-0.498841360713435,-0.427660451588631,-0.0268292618995182,-0.114995452317367,-0.30079037034277,0.0675080734959237,-0.0542409167282039,-0.124957370199348,0.327023078968331,-0.330375842515939,-0.212468799119158,0.190329308772735,-0.375338542795295,-0.325003741864727,-0.339950922063396,-0.16486027442363,-0.170575050469991,-0.390500551373632,-0.116714309710212,-0.445047004594451,0.116103419353477,0.10236457975055,-0.430542515978087,-0.394049934626601,-0.319496429849272,-0.401391082496779,-0.152201574181934,0.138505852343002
healthy,0.107078240064246,-0.0009773341544851,0.015463130504484,-0.403168485177556,-0.18493436730941,0.0354302094834999,-0.31477299100814,0.000350119736473,-0.0669830109493845,0.152610379004186,0.0140176383691447,-0.334997728105638,-0.0459191685489644,0.0611126857529287,-0.0243490835832044,-0.121812535060341,-0.443812758703353,-0.0377246871468717,-0.0623451455697052,0.174787502388703,-0.147224439789673,-0.492973893294625,-0.152797531690264,-0.187225349259473,0.0907906222711716,-0.0476041286043697,-0.0577041161481527,0.0216136466735898,-0.0756018215514968,0.109627369419589,-0.0889621430737144,-0.476409520138715,0.121971128786258,0.217524202023789,-0.260981661358241,0.127638423446334,-0.0560459727949911,0.0065901313419367
healthy,-0.008841317804738,-0.163305394880884,-0.0990658782229686,-0.0718231950989394,-0.269323747089091,-0.303899072655639,-0.0693501476886443,-0.112329465256067,-0.233612621886193,-0.261181472100247,-0.303772651332236,-0.258229176317191,-0.160177964820626,-0.172849782237709,-0.210123591926378,-0.124075508901161,-0.103930280783336,-0.307421312976007,-0.0058137266332342,-0.279304289526911,-0.167085050092749,0.0300059307999749,-0.269339642511751,-0.259075429174342,-0.28177477347502,-0.268692893226942,-0.231430567027949,-0.164835206399999,-0.0887589793165985,-0.269614200160214,-0.0096717868933842,-0.0377323268961322,-0.320755018203219,-0.316348940686445,-0.181647457416978,-0.348873279302977,-0.28766422680967,-0.0932791113088746
healthy,-0.21111916186757,-0.432425981537864,-0.109012755761409,-0.487376340309238,-0.128390534512925,-0.147587269783359,-0.35288026289807,-0.0376038133640799,-0.619146205033939,-0.1892697728153,-0.392238073623791,-0.378450429548085,-0.372473979855591,-0.162817626618445,-0.606671060412353,-0.490176493943054,-0.294992937756124,-0.106432016631317,-0.168449295469288,-0.544308559543988,-0.594929895797608,-0.156639377150176,-0.520089115485816,-0.414138295499619,-0.3837855091923,-0.579355151292968,-0.580282957512407,-0.250764347113927,-0.0503197120157585,-0.288599120474977,-0.232442347032368,-0.47962380063898,-0.342001723433655,-0.320616045818408,-0.301779738864265,-0.507519043358857,-0.213419375820937,-0.371538755664993
healthy,-0.14958650645492,-0.06762229549117,-0.203054355416825,-0.251693548170359,-0.28975636572432,-0.215249199387453,-0.27535939419561,-0.16085639427239,-0.180857272641649,-0.207780281862607,-0.160805497489847,-0.246918285307513,-0.125104099082182,-0.128009715815831,-0.213816781319253,-0.196473412889409,-0.087387714505168,-0.313215117345679,-0.016276488273193,-0.255892307799166,-0.198648579497857,-0.0185790579123305,-0.24014299209652,-0.133982493295237,-0.188646312101968,-0.245951174237246,-0.16884129131596,-0.0933045673828182,-0.155263569320738,-0.237863096541726,-0.121398036797426,-0.106642161933218,-0.13735432423975,-0.122202427924148,-0.267710276418054,-0.0989031119738866,-0.257472865587558,-0.147791169290284
