group,CD11a,CD138,CD150,CD1c,CD2,CD224,CD226,CD244,CD278,CD279,CD28,CD30,CD326,CD336,CD4,CD45,CD45RA,CD45RO,CD49d,CD49f,CD52,CD58,CD62L,CD7,CD70,CD82,CD95,CD96,CD99,Podoplanin
healthy,-0.407498960533341,-0.0368005750399785,-0.355302013853553,-0.0667971957330333,-0.482357706915608,-0.563516324136928,-0.663996880051241,-0.184536452375643,-0.219706635149911,-0.427186185052291,-0.360471096071975,-0.0828005333847681,-0.0855873020961567,-0.137546208413193,-0.173449539979586,-0.131146893345794,0.730519513838483,-0.401346473406157,-0.334302068013963,-0.47942903360212,-0.278409193999715,-0.465402379385487,0.331360417936628,0.441320613950086,-0.139086395406228,-0.512193031093036,-0.752042581495606,-0.408345889241284,-0.656410611774744,-0.175356230367106
healthy,-0.414137747232113,-0.104202895777698,-0.41020681995399,0.0229744706660872,-0.351958396939315,-0.309594837984473,-0.6827518008424,-0.411868740145847,-0.0631352276861382,-0.659976572367013,0.211023842474437,-0.0234146992816264,-0.0830647686508271,-0.0122926602615471,0.177273287211202,-0.0822691591249783,0.410970332015855,-0.297806512995504,-0.475280035358927,-0.272371441876047,0.116902333524296,-0.487401762611559,0.566369847850284,0.611691391657315,-0.0625824271001845,-0.178888364472545,-0.601674943699094,-0.362110198308742,-0.462556921303168,-0.0956294067497289
healthy,-0.36807274723643,-0.087840219507826,-0.3504783636495,0.0014326029512921,-0.577551471920521,-0.530921789947367,-0.679829080820827,-0.0811880434782957,-0.0730215080296365,-0.445507702913677,-0.346982175372993,-0.058928179248376,-0.100118217125118,-0.185067579983726,-0.215125116981779,-0.145493998719552,0.597163066612753,-0.27122951403064,-0.447439649027852,-0.597419695252014,-0.271114066233111,-0.393614955562541,0.501024661477021,0.329315400433225,-0.230152159224983,-0.407018930849727,-0.721184255268379,-0.556845873430358,-0.674643206818244,-0.169205929235666
healthy,-0.285767649233623,-0.0529593402723692,-0.378392557519395,-0.0075678962027472,-0.480914343360906,-0.469194131710468,-0.659455325676591,-0.134529123616989,-0.125644903056718,-0.289800115632302,-0.316206552764027,-0.0959708788439626,-0.106734600735558,-0.100354416892608,0.146538719181656,-0.0195611043605516,0.685837491042484,-0.182698211988385,-0.327786631239667,-0.512785591196931,-0.100366158066433,-0.477523598946753,0.345850800839648,0.441424494405043,-0.111545107337935,-0.489435806418348,-0.697795052604341,-0.435870834086856,-0.71821732860181,-0.103993127762573
healthy,-0.322062044694904,-0.074306547155672,-0.386196940272406,-0.0341272396826335,-0.338379094382774,-0.582192788753297,-0.522080024938356,-0.165812371262935,-0.200792022277566,-0.396446439573759,-0.350003634468016,-0.108415061152843,-0.116243126806531,-0.0703558222636199,-0.0608397852313975,-0.0992756497134459,0.572548638963859,-0.133297541180752,-0.2024795887281,-0.353844956396262,-0.123238695986163,-0.436778148901238,0.552533285790639,0.444215832583607,-0.193775994519548,-0.36095771450876,-0.729909560471072,-0.391317750072502,-0.425165164560485,-0.126060591784519
healthy,-0.417394253008636,-0.0155687871974851,-0.400703649226211,-0.0360265822643706,-0.3905341671184,-0.490011758173691,-0.44072613468147,-0.161003496780683,-0.204624427213096,-0.247275999231535,-0.227197320605166,-0.0521902049297969,-0.120687042156168,-0.0165458038000064,-0.123690257563744,-0.209492036792599,0.722326977362954,-0.618044589605589,-0.364808572929032,-0.339111004188806,-0.192935711871706,-0.495618682478598,0.431041355816755,0.497605379295955,-0.185645867375021,-0.437813061383885,-0.578810331889027,-0.240569495284832,-0.49610969648549,-0.0607785273946597
healthy,-0.174796093624743,0.0458769840607719,-0.212848894386249,0.0540846894540534,-0.232047871579841,-0.377878733041318,-0.364235570559281,-0.162167668998341,0.0146074179064061,-0.279160498823234,0.0408906193315012,-0.0294193485778225,0.0152260139552569,-0.0453497897106388,0.14589486762982,0.0180405431906783,0.726429295368289,-0.468894633672411,-0.126934837752771,-0.288106927858203,0.0834093597882488,-0.412676225893857,0.407959410408674,0.650936532242053,0.0638457967187974,-0.378149964341266,-0.607204660360433,-0.0424206037659611,-0.316433157385827,-0.0730548536219431
healthy,-0.0985321847283641,0.0511623826067128,-0.0694314984921113,-0.0122035562702783,-0.12941794000974,-0.308909295647593,-0.219189789919733,-0.124958071115544,-0.0047748583448865,-0.143159695450662,-0.0412929236673216,0.126043038343136,0.0667667297782925,0.0784161208749859,0.163110751594078,0.0263997987359108,0.719190069747541,-0.463709112142813,-0.0592896070189085,-0.246080331368706,0.0218988642831011,-0.188811587489187,0.420300106321281,0.430225135729474,0.0859640995167733,-0.209081364643365,-0.393076372290243,0.0022581043626656,-0.214436884162231,0.170834434205806
healthy,-0.430137387648237,0.215531469109563,-0.0555305197927333,0.0425150671082879,-0.526557325502963,-0.174547580511807,-0.287609955750376,-0.0570261845224001,-0.353715957217581,0.0261114955620683,-0.449711032307699,0.202953742754807,0.338263984433436,0.113562575078129,-0.510667256519429,-0.450673834507792,0.359836738784924,-0.35487041027081,-0.330018931115219,-0.289415257607957,-0.446609036260754,-0.127457049231452,-0.0414979835758731,-0.215399983047838,0.130108515057166,-0.221116807994013,-0.358936838045253,0.0652957599100373,-0.550995291853899,0.23962001641793
healthy,-0.220796747326817,-0.164845028848628,-0.266491294664484,-0.0703986986271057,-0.305340599358087,-0.492701280191785,-0.535086905936184,-0.148326984869433,-0.227947074347078,-0.287035571069241,-0.343553750578785,-0.0710334871541472,-0.11787468288952,-0.149247766886967,-0.124348204391433,-0.187953144233221,0.700569847912042,-0.382475946155835,-0.27436304825731,-0.532042681466334,-0.315562609701431,-0.291913686242257,0.628372537457688,0.403483428594167,-0.120339040493882,-0.430631174227367,-0.678411493446671,-0.330768288498625,-0.660294691398722,-0.110276666204593
