group,B7,CD107a,CD127,CD138,CD197,CD1c,CD2,CD224,CD226,CD26,CD278,CD279,CD28,CD3,CD30,CD305,CD326,CD45RA,CD45RO,CD47,CD49d,CD49f,CD58,CD62L,CD7,CD70,CD82,CD95,CD99,TCR
healthy,-0.0886086627312158,-0.103213440201621,-0.208802147094534,0.0176105736027036,0.307002037766739,-0.0304318911845081,-0.338236416501725,-0.479415383071065,-0.544291411474141,-0.100533678813258,-0.12204692208039,-0.34745999267704,-0.229261495572577,0.497424498553417,-0.008963718983213,0.170983356939771,-0.0359477329611716,0.706141998039103,-0.315533634593964,0.0045710000346108,-0.228676668496149,-0.366673915969276,-0.353087785416487,0.368456404892045,0.469156167712632,-0.0732378572242395,-0.398540232920182,-0.636550497121006,-0.514118202248992,0.546544661462345
healthy,-0.0821282993633957,-0.0741297397681433,0.422292208308225,-0.0108159182030693,0.464978562088858,0.0386906905577144,0.0472723398053878,-0.0541650493396534,-0.248111899166993,0.361608159427706,0.150326702652781,-0.351939886159579,0.370764620890341,0.546494266936085,0.0320405165361011,0.116934536136721,0.0162263575738979,0.280465492477983,-0.0749074953161915,0.426071988372375,-0.131714197946866,0.0803807612548189,-0.190142761989513,0.514506301858693,0.521102331932051,0.0555400689204805,0.0475851153888949,-0.251571906422341,-0.0569400238366556,0.543004431030845
healthy,-0.149381184194838,-0.102712709519613,-0.284312483330852,0.0033930814365137,0.343440262748873,0.0281213821216638,-0.414293921772012,-0.528293721954296,-0.527396603348537,-0.18549196494865,0.0839680870779105,-0.364129758866984,-0.188701384584677,0.538263993629053,-0.0518721232814145,0.221671087010833,-0.0521444823228028,0.693078646237087,-0.228744052002587,-0.0055148831008546,-0.338505451329619,-0.494254449877606,-0.350792944214189,0.641745151757297,0.403408564745544,-0.129473341643906,-0.310081146282499,-0.664066291603279,-0.544337080248096,0.559414039780403
healthy,-0.0362949296156381,-0.111915325794981,-0.0740159572281547,-0.0381553645292668,0.311254938263354,-0.0269678385340983,-0.386223056242759,-0.437341047733009,-0.486265664959634,-0.135420497891131,-0.104526342179748,-0.285500114854529,-0.262019818671977,0.535304682477631,-0.164800576531954,0.183487072046694,-0.0958661555379476,0.612418967264558,-0.118956718256639,0.0122317268030491,-0.226454748150378,-0.409678127108463,-0.447029868048116,0.367214719534913,0.471178651008503,-0.117630098664427,-0.397728064387012,-0.671172000275969,-0.632547559406803,0.625981152631823
healthy,0.0440613449614031,0.027776399025129,0.173244522393939,0.0295281760226096,0.309918655233089,0.0016940341904398,0.0724767027156362,-0.0836842276121981,-0.0622495068579982,0.100122268780495,0.165685907299224,-0.150880333752829,0.134555011272863,0.504187201331755,0.0879717415195228,0.172004721620184,-0.0028365665796944,0.260831050400062,0.065391316882475,0.272220591342117,-0.0562929369542344,0.179781956366472,-0.0856361079480877,0.622347835923677,0.359402855772513,0.0300388197091079,0.151378020366193,-0.193418345790102,0.0707873311058425,0.505174234310556
healthy,-0.0210457618804275,-0.180685557408812,-0.211921534838795,0.0461837664719137,0.29982603807177,-0.0023310056500816,-0.390298211484499,-0.398077287752481,-0.496447218501816,-0.173745913522458,-0.367596109329583,-0.163891912042107,-0.245026754370501,0.0934920008873792,0.0453136911321943,0.266194449716321,-0.113673241253337,0.706139076818935,-0.483056814348205,-0.125986963048312,-0.378083718937268,-0.231191817463375,-0.413867713802113,0.305767552170265,0.293192188313164,-0.106125209381649,-0.440611967274499,-0.510160683210107,-0.445008353580518,0.264683979032376
healthy,0.135415385365273,-0.162167331230854,-0.276324739419582,-0.0461505045513466,0.0314471454017974,0.0431198600771546,-0.521382009596859,-0.313197598756317,-0.336222337191074,-0.217149480889424,-0.230902549483483,-0.316592254112863,-0.213478541582526,0.0811113396811501,0.0163295111531184,-0.0077761813946958,-0.0903562985443705,0.202091367582716,-0.405865679441755,-0.206182819872495,-0.383858461821044,-0.178129870771254,-0.309419913219349,0.284206672143099,0.147484286653006,-0.0818975334711687,-0.262080741650615,-0.371659587844099,-0.412816371079167,0.132123070356836
healthy,-0.0349417675110697,-0.142415445230233,-0.148400979747033,-0.0488180563053127,0.113878078942197,-0.0335759961539811,-0.417004002792701,-0.383317739971534,-0.433879271566691,-0.155973348536923,-0.19801174956253,-0.176224423749151,-0.360739161086412,0.160790559739268,-0.0189815790125276,0.103341169226179,-0.0156864276936525,0.451611082231954,-0.567701938970203,-0.16237044842441,-0.239853644901526,-0.446658798112043,-0.327787263153647,0.19654658822529,0.130620131871848,-0.044499003811104,-0.320885526416325,-0.524682615069248,-0.457883699868599,0.202219917078175
healthy,0.192385684987885,0.15530075469504,0.232826497005887,0.147816612916492,0.390139543308785,-0.0017645420632543,0.221212130057675,-0.119925799766733,0.007919368418589,0.213548918747197,0.217409193862469,0.0439556180485191,0.289907888464118,0.592794020500754,0.12387267156255,0.371705495162204,0.176744447981938,0.688903069225566,-0.107096073258117,0.33778206270667,0.147711288444748,0.0736373397550067,-0.0267916782361343,0.434341635388064,0.435605572650226,0.186413429553437,0.023230757927851,-0.215787074006758,0.0495123990170202,0.589872067238659
healthy,-0.0318307663770447,-0.0688980880872586,-0.0905066332177297,-0.0324640931109732,0.265610726169845,-0.0120894707915738,-0.18191441878367,-0.340169689714476,-0.41009431449096,0.0188867463526356,-0.0972561866716417,-0.194064339368879,-0.165970579303411,0.401880819172509,0.0233021714470677,0.250674956678805,0.0198243573165022,0.606300084030679,-0.281094968993998,0.030672271771149,-0.183822984362627,-0.377965147421736,-0.158745110971189,0.614079658833681,0.403016718126575,0.0155630740319721,-0.312882427737721,-0.532453363317669,-0.517926177848975,0.420909588923371
mild,-0.0396207167991517,-0.0349746425649587,-0.283703150005194,-0.0219318315287508,0.0604560738031172,0.0619077624787862,-0.325832268147716,-0.404748936052141,-0.299651580036356,-0.143708636681145,-0.227138084272565,-0.215799672324472,-0.272079706705139,0.211157382541943,0.0297463944758309,0.177399529105684,0.0107055847011734,0.509925088832685,-0.616317750488178,-0.0784880833592864,-0.274284680110642,-0.295648310914059,-0.216036642503164,0.464680568664277,0.301204371227752,0.042447300199656,-0.313374196896241,-0.51156492732068,-0.413651672773897,0.284090659717943
mild,-0.148492583605523,-0.165309195099312,-0.115535663849032,-0.102335217166354,0.243551817498763,0.0411438476672791,-0.297516139003634,-0.343828278468598,-0.472910978306298,-0.0099118550318362,0.0780384640859048,-0.342921474829233,-0.0177389683211612,0.188313269784689,-0.113619409964594,0.115833635304383,-0.0556931315665964,0.465697885747536,-0.16181881752811,-0.0262860062905479,-0.403622846923157,-0.292034505066478,-0.293749616950571,0.384200657455658,0.359778055251317,-0.11597103601187,-0.287609009118316,-0.471016008950746,-0.363187145741891,0.211660903192807
mild,-0.0100173372317249,-0.182687045307069,-0.0658514610740435,-0.10595063460811,0.35824628881284,-0.0513784596093109,-0.497290216215741,-0.544103947597555,-0.625424921500762,-0.316624087986409,-0.0934816326245025,-0.354784345244519,-0.187611843594255,0.364835446813036,-0.110734888878287,0.337878745485204,0.0225148593958656,0.592803998237354,-0.210428172074431,-0.0153966174129208,-0.509147196783611,-0.430337354809097,-0.417422447999328,0.430697737392147,0.403202325314269,-0.173622621281239,-0.318985585492524,-0.634421231986584,-0.497434624981696,0.390592773367095
mild,-0.0877312199182901,-0.204530060484191,-0.0895737473584962,-0.0101605580041588,0.315435273670833,0.0286236491911233,-0.439002900281851,-0.603066380995527,-0.63327076805238,-0.278876992999491,-0.177683558773645,-0.412758696031379,-0.382424020627607,0.342747197671728,-0.136218614063235,0.19867921065487,-0.0908492537289292,0.735637663156711,-0.238067850752947,-0.0016828896511213,-0.385525430039649,-0.510440576956682,-0.458812747352601,0.578486676069507,0.467749115232837,-0.15916092195605,-0.374909343162362,-0.758845874118532,-0.466806521532312,0.411051461258611
mild,-0.0950501637990159,-0.189718349962969,-0.203850731633492,0.022758190166341,0.312317804778743,0.0426278741821388,-0.475162134327002,-0.50054614728225,-0.609475183079235,-0.111462340180269,0.0256934264754261,-0.397405865396772,-0.25299912742361,0.309432973620753,-0.0566526308258578,0.211346814763026,0.0041674670599954,0.653267922031506,-0.132601359759902,0.0204833273853101,-0.320416827387061,-0.427790812954331,-0.365693336441322,0.360277053260214,0.38274148589599,-0.091301206234024,-0.423064383208739,-0.61021749782487,-0.607107930957547,0.314486588828261
mild,0.199249090920384,0.125661336127807,0.266260914151338,0.25016503193045,0.4671964157154,0.19868634093558,0.0938244888321465,-0.155272007827554,-0.121843615014174,0.219402693314944,0.104671466993135,-0.0054780324083635,0.0803024488752055,0.57429698735655,0.202758222128286,0.397577597860311,0.171718591673253,0.506418146459225,0.163514401398806,0.368881003854191,0.030207481421554,0.0123563885549588,0.0071472040969632,0.434308503575723,0.539029412183091,0.15481033255707,0.0374307101641642,-0.225255248140199,-0.052906532429875,0.563991385977204
mild,-0.0668364949279768,-0.339605612185141,-0.230954933386057,-0.136020811565317,0.140309031099971,-0.133458268516303,-0.424708661274208,-0.572879349855111,-0.666891095099596,-0.0865865123655211,-0.288442792519829,-0.343645134847432,-0.387755937056732,0.418594453286007,-0.173289885992277,0.0863613242547463,-0.0599259135305945,0.408533073226537,-0.285493344931276,-0.0966681564490547,-0.382000956072159,-0.447076688255743,-0.44470558547142,0.311423184314873,0.321509361201942,-0.270648324208289,-0.342788363971258,-0.746467280458226,-0.557141159283619,0.482381336928525
mild,-0.171333311699708,-0.15013638772199,0.195772906624239,-0.0761784537800436,0.165634093597425,-0.0390771450679006,-0.265413492784621,-0.347237709932097,-0.176034333678654,0.0555356985202708,-0.11877735630171,-0.253081530456839,-0.0822112508700382,0.265057112428857,-0.0647215289754187,0.0609334141694417,0.0039700367694819,0.224930032047398,-0.0274476649153221,0.215377826647411,-0.261604172940589,-0.219871821333172,-0.142607648918168,0.0997934073537068,0.2594222461775,-0.0857048920131356,-0.252590311738445,-0.41410975132748,-0.332240789930111,0.34591590615901
mild,0.0855961699630231,-0.207982672995025,-0.0813847710503424,-0.0042359685098915,0.111710480019211,-0.0808710679138422,-0.260928704185853,-0.376827668449471,-0.412090051885059,-0.129891246829642,-0.154799231841197,-0.147364835243493,-0.286114477221969,0.157049031819947,-0.165836921147404,0.14873950269726,0.080042458332477,0.264923841708944,-0.20349688587599,0.0170135863279388,-0.220434981421959,-0.317613239204073,-0.243931817476482,0.271424112998526,0.136263134374231,0.124754546810464,-0.343160151078089,-0.395287788161056,-0.343536062803209,0.25187564652263
mild,-0.000281337438129,-0.219559462877588,-0.055790698570184,-0.0410764543017124,0.371758795038267,0.0971228618622732,-0.486797451595711,-0.519452909256427,-0.543741840415594,-0.0109477925431993,-0.260405305636983,-0.416972255232654,-0.238697074285581,0.402242480558595,-0.110607358504934,0.274557326414318,0.024580533843184,0.747996916280321,-0.475221201548972,0.125324016547422,-0.358260230043972,-0.405288091637371,-0.355117487006625,0.558942728683876,0.635179193701952,-0.11151512599539,-0.363018453762587,-0.661577513959308,-0.384219808821896,0.480363915171504
mild,-0.0519091709425973,-0.162897138857942,-0.213799343838274,-0.13092810114841,0.268525722302164,-0.0674832207196088,-0.456338434397871,-0.439414052312084,-0.490723021618874,-0.215229342031837,-0.203020709413516,-0.272328785249547,-0.192691046759467,0.368859026002797,-0.0294975563975734,0.136256983328373,-0.0695017419015105,0.612447828986765,-0.0945602667772338,-0.0168919130867314,-0.361177313270263,-0.325441590779354,-0.278693438525734,0.630849449725576,0.365679580804744,-0.0930895785584463,-0.237856285150962,-0.558623335562287,-0.450753019236476,0.365864234674092
mild,0.0040017106222736,-0.0839296212723886,-0.159067423815932,0.0673154355997738,0.212026441795971,0.0594046413952815,-0.185956479567027,-0.299506833196918,-0.503457182198218,-0.079088095232979,0.115130691050322,-0.105044123907039,-0.255042492418326,0.360509563112029,0.0489135303830179,0.191995103980115,0.0489058407468441,0.264524363648578,0.137251538706304,-0.0157703931637742,-0.108567015988027,-0.49304638478977,-0.208503040497594,0.170254924194173,0.32485174944083,0.0292780149138961,-0.279133632761253,-0.492256713869229,-0.143654063880614,0.383495104027986
mild,0.129016724243212,-0.0983186445797796,0.0851344026035603,0.110110390322546,0.372429381643864,-0.0979655967516616,-0.0808040108190189,-0.13586345857563,-0.297119234189614,0.0929062092088232,-0.246883925640905,-0.217738985264012,-0.18585387784107,0.403985844958999,0.0608936293453486,0.343548607567402,0.0559904009078182,0.467688069945734,0.0461978088744387,0.22291759369435,-0.1453446785963,-0.352441554305782,-0.229292215428507,0.467700018123334,0.461996467469659,0.105596958945056,-0.222292985314859,-0.435020917144584,-0.0683755113173018,0.496822655593382
mild,0.0688376444894024,-0.0989710906600031,0.327303223277566,0.0368745303826295,0.415254804983668,-0.0212971368002042,0.0176205307062252,-0.17929216975355,-0.262297323140676,0.22700448887662,-0.138590141287173,-0.135525328332756,-0.0099386268743593,0.40613441198422,-0.107040243715685,0.186011134801906,-0.0032076293973877,0.416063678856361,-0.109559495637436,0.249532444640344,-0.303195026551695,-0.167788257330568,-0.165919509225171,0.312123794632371,0.330524757664558,0.0502272128558039,-0.0639887219290737,-0.52505552262995,-0.197726963704454,0.356920358207424
mild,-0.0799676845813557,-0.0715343888487742,-0.510186782738834,-0.051625016426088,0.281941353937805,0.0482457539836422,-0.348714569546838,-0.36357593634135,-0.465412570167344,-0.409070652006283,0.0456969732810142,-0.0615684771038693,-0.390323555666799,0.339127889135528,-0.0401682685982662,0.145710531986361,-0.066298031321296,0.399469657063099,-0.0815530218473588,-0.140924547632974,-0.363122966127304,-0.59630359734086,-0.245512943268023,0.365202814986543,0.123061068603924,0.0495239230133287,-0.281131020112909,-0.540296680385083,-0.372412700479505,0.437643175597878
mild,0.0722679586481896,0.349942639831606,0.20437539788845,0.243734593858696,0.423183275458399,0.253102071595963,0.221996199956018,0.361060885203357,0.23190086465388,0.195197474337516,0.324320069019623,0.281305364529858,0.174106716713644,0.19796599263566,0.421780204831304,0.057209340975469,0.328789333921133,0.137137279702169,0.412207300112418,0.47344871815789,-0.1678752284519,0.177849644557932,0.375177930099066,0.265309151731901,0.138005621132204,0.0306259825255926,0.449049415098426,0.200793070718483,0.387965390082222,0.212428395008993
mild,-0.0994975978735902,-0.365543240289929,-0.186389973580253,-0.124235430449213,-0.0006776202221295,-0.0934195977362318,-0.354912423553624,-0.391687998970295,-0.342908524065041,0.187466725090205,-0.242812022885172,-0.411050195007346,-0.302855072067174,0.0582348255332035,-0.231247301515097,-0.203118322893236,-0.0860548021450594,0.233417532190747,-0.310754043037208,-0.206260001317548,-0.192776006823634,-0.28929333390302,-0.290347894949756,0.0197325271185499,-0.0021818153753247,-0.209308119880143,-0.306377736658524,-0.463828060441808,-0.409578389512082,0.164868916398145
mild,0.146877276591817,0.0286062154853245,-0.0718755589974614,0.0233252943089738,0.376306175566658,-0.0752276895486641,-0.322846495714144,-0.329768015605885,-0.394935730434539,-0.107813613164056,-0.0896835283743679,-0.36589180358274,-0.110739848053691,0.316115922228376,1.35691283533309e-05,0.23544495088009,-0.046533011243914,0.474544917251966,-0.083627084293022,0.0328725695497443,-0.245099264762253,-0.362054535645396,-0.142839624565575,0.600502661380654,0.295192213351352,0.0863258089730147,-0.150624480135765,-0.472273523785813,-0.0277638472090852,0.376957487808388
mild,-0.214175202373646,-0.325782692536649,-0.519040518137086,-0.0816294177679081,0.120600867920092,-0.0997045984852727,-0.650151379773553,-0.581927463876543,-0.6658424211006,-0.597361961590093,-0.051882386542003,-0.296529835926287,-0.55818952115038,0.348800931866446,-0.25144659499817,0.249788199082497,-0.14053869210168,0.686103175529694,-0.290684882079158,-0.25997444721999,-0.4116507660579,-0.675369743992726,-0.527033039234884,0.452714100354062,0.285116417645813,-0.237557654639906,-0.496901693052731,-0.721662558194865,-0.590147048599964,0.336505079928008
mild,-0.0182167630535815,-0.14665898787526,-0.174484119132836,-0.0517338202623913,0.194708598093499,-0.0627932907810912,-0.415327870756998,-0.578984420755011,-0.47927842273212,0.0709807880461095,-0.119780357898492,-0.331982441548723,-0.394900284580899,0.307266831393784,-0.152572785249633,0.165521150676677,-0.0949465394467895,0.621320755480205,-0.422443048678017,-0.14239419513438,-0.229021710122843,-0.449425199898883,-0.440438446191818,0.149440912887319,0.385266196791158,-0.141850301648326,-0.602640999062686,-0.631844392117318,-0.578268875655021,0.336840391780397
mild,-0.0675698713166941,-0.154922317569301,-0.233198132965827,-0.0476408899042267,0.271443852852682,-0.0118958025563985,-0.407439493077238,-0.492553624567858,-0.523840688130392,-0.129832021950611,-0.016130476325222,-0.250369636528535,-0.379187447872142,0.509451697347327,-0.0621368950929483,0.260069724111692,0.034183043142221,0.560298944902267,-0.366360833747231,-0.0045601211447429,-0.103585137430203,-0.466316512922037,-0.295026823047795,0.235546365592574,0.444530878741672,-0.0568142701470411,-0.437727348091598,-0.549275131920935,-0.474274659525331,0.476054596795999
mild,0.0259494499162702,-0.173435317641814,-0.0779980493053965,0.0398790317123669,0.504864562088699,-0.0232186611307538,-0.40971801465527,-0.569405353179061,-0.57579326396895,-0.139590080168295,0.0101379078386118,-0.318556644236633,-0.290547296940048,0.535368827756441,-0.0323814163596312,0.360181727290398,-0.0001142361586841,0.742196083151326,-0.373314074335278,0.132142087134653,-0.326238096015636,-0.398297062174801,-0.410363580930797,0.532717815504946,0.664120207031713,-0.0463838340978698,-0.404811834077353,-0.693977949555123,-0.462166807346504,0.559925419904369
