group,CD11a,CD11b,CD127,CD138,CD1c,CD2,CD224,CD226,CD244,CD26,CD278,CD279,CD3,CD326,CD4,CD45,CD45RA,CD45RO,CD47,CD49d,CD49f,CD5,CD52,CD57,CD58,CD62L,CD7,CD82,CD95,CD99
healthy,0.0058384377408673,-0.0346260160327139,-0.191031481623186,-0.0392038264168764,0.0129259282931062,-0.101044796377771,0.13243708347481,0.132395721215075,0.101833615081811,-0.153387860326811,-0.18672515879522,0.127003776010524,-0.507754724439442,-0.0103784225734921,-0.344820675361822,-0.217174209009944,-0.262967616421011,0.11897509964038,-0.264854362973855,0.0381271504997194,0.0084395603908109,-0.255997928680682,-0.200596250823684,-0.0437359062136217,0.128268243467758,-0.461429009581738,-0.471889919559344,0.022162226539714,0.204470791048127,0.070874461392551
healthy,-0.181438951639278,-0.123273775793344,-0.532897584361842,-0.0344489940286428,0.0065659424327229,-0.394227659965681,-0.185288615746557,-0.186083132734523,0.0673140480553319,-0.374535043431634,-0.186619949644451,-0.0139399861201636,-0.334195253824237,-0.0798267458968016,-0.496848106674532,-0.324285896511312,-0.0029387743227686,-0.0875969196729001,-0.376085459562454,-0.197241563141504,-0.386205494093073,-0.44027176959343,-0.431595673585225,-0.0544324616677055,-0.105889899934415,-0.137534933014546,-0.233401167537196,-0.208813269410616,-0.158209833185965,-0.285940291930651
healthy,-0.39912517937702,-0.11175224894541,-0.327030700247504,-0.175193052203637,-0.0658089405770251,-0.518331015417158,-0.393286192317248,-0.450951863527013,-0.0735917811695492,-0.252626247452953,-0.229636288059424,-0.468651562019781,0.000367689905387,-0.15935747398498,-0.451237202073401,-0.379048985763274,0.161748675631114,-0.262434507217565,-0.296738034799203,-0.13303374857392,-0.445964115764172,-0.55863046720681,-0.383023235760436,-0.17146694350447,-0.300389363186104,-0.0334083187532003,-0.115337444366906,-0.495095729133096,-0.358499757560291,-0.46270943489635
healthy,-0.0822376686854653,-0.0629277388634883,-0.483085809326949,-0.0988365258396591,-0.0058136516419856,-0.30634421393699,0.0269596326008696,-0.258994996830818,0.0675111535507882,-0.433060054988488,-0.0413775536551517,-0.0413375825539555,-0.229756530934189,-0.0140226375688888,-0.389812085803353,-0.220379578941198,0.048360597189772,-0.0945381960360791,-0.334018794946998,-0.0861980931830044,-0.434350999275914,-0.377086245942312,-0.260499368254498,-0.078332714232178,-0.0920790764135134,-0.0719175312366307,-0.0114161891991097,-0.117141787765526,-0.124454014133424,-0.133290752982335
healthy,-0.251158409606438,-0.0818438940796405,-0.361138910621237,-0.0805100323893418,0.0059947536471816,-0.364444513919123,-0.297681982939919,-0.318956087222187,-0.0607210683214501,-0.145964403290123,-0.303070604227846,-0.107685641049142,-0.318051003864592,-0.0557224621758593,-0.484149669477631,-0.368374160210877,0.0950134506348126,-0.179789484396637,-0.395847988457212,-0.0946871668866388,-0.534654287083096,-0.454497568044303,-0.454621952944921,-0.107646372313857,-0.182614899799098,-0.337393798281191,-0.164030735727216,-0.448561579264978,-0.253783802883687,-0.417717399631851
healthy,-0.461581883956953,-0.0970425274687028,-0.432047665098885,-0.265040989764512,-0.148780778106284,-0.594366581690826,-0.610367646875147,-0.581013448938652,-0.292210008714226,-0.453474949971562,-0.328128718462391,-0.251303418306107,-0.036056022912806,-0.28665730987497,-0.492491244220388,-0.359559208542727,0.505708300102169,-0.710807856192494,-0.408507259447754,-0.53829928314222,-0.434442744350563,-0.252370591990648,-0.322500884761433,-0.0989040532668203,-0.672408764402899,0.235519242009579,0.240150258808251,-0.558955294769539,-0.634417406247024,-0.61158389566831
healthy,0.0496173125634038,0.086322066211627,-0.220976456279229,-0.0208765599829866,0.0330141313198646,0.13890355515504,0.193100146376799,0.213916643292287,0.0425378626911705,-0.220903476890441,-0.0037467926765775,0.333081906853024,-0.285831575630225,0.017842944012251,0.14761984936428,-0.0146350329304278,-0.752050099698554,0.473609537191293,-0.0625255214908003,0.080059893776148,0.187766475891194,-0.060622956918834,-0.0051374227690006,0.0373924802955179,0.344506547009465,-0.139267997272692,-0.607033988309658,0.375704521812611,0.542455137027591,0.301126870169904
healthy,-0.0504993591627451,-0.0824821155136808,-0.0694356310656978,-0.120464594872689,-0.1603542504646,-0.0675565376533469,-0.064950955377686,-0.125236396962489,0.010324267706729,-0.0135574235805344,-0.0299879056180883,-0.24267063925492,-0.197704286862317,-0.230845344451393,-0.111431520655767,-0.158869077449678,-0.214593890349677,-0.14290356246785,-0.161348077561401,-0.144717534146268,-0.152014281969524,-0.138666319790753,-0.125451846985376,-0.12006462573237,-0.110142783988245,0.0641351572862327,-0.0622829112404164,-0.109671386910149,-0.083726592359311,-0.163541080664661
healthy,-0.176488946964072,-0.0533896084172176,-0.323663747443269,-0.139980429177303,0.0063203916000572,-0.35043956798543,0.0816645299429538,-0.0832099387697787,-0.0387432694885502,-0.240968883507944,-0.295045836814554,-0.0312510939132246,-0.600462380773659,-0.118230269778871,-0.490176305504098,-0.429966137630825,-0.648628827302665,0.0008654616949622,-0.434296586822574,-0.197063162499181,-0.129145293412329,-0.52060507533378,-0.384111638588528,-0.0310630117873625,-0.017842077723615,-0.409305363032653,-0.526275954432751,-0.0868577964840917,0.1388269419524,-0.141864549699466
healthy,-0.0355409677751125,-0.0570249929581495,-0.316772135416975,-0.0478018023756045,-0.031761224049793,-0.140696982706827,0.0233551513555206,0.0372722359964991,-0.0002409502860033,-0.199141131587584,-0.10454570557029,0.0051706382856842,-0.442924034461559,-0.0882432284609192,-0.292824108722741,-0.167962819140736,-0.216426744006314,0.0663812373802691,-0.217124310747705,0.0608352854649856,-0.0115591442202614,-0.234779060067533,-0.110433832893341,-0.0364860149582112,-0.0228193207656778,-0.297935909611709,-0.327692071061407,-0.0031173526973661,0.110951110571065,0.104834831643954
