group,CD11a,CD127,CD150,CD197,CD2,CD224,CD226,CD244,CD26,CD278,CD279,CD28,CD3,CD305,CD366,CD38,CD4,CD45RA,CD45RO,CD47,CD49d,CD49f,CD54,CD57,CD58,CD62L,CD7,CD82,CD95,CD96,CD99,ITGB7,TCR
healthy,0.296090845886618,0.19375096386286,0.270092404824728,-0.312538058937286,0.327474316858369,0.47630866274439,0.552985797698666,0.1242262174066,0.0794294256288998,0.140130897343533,0.345009889717265,0.247989001105514,-0.499065473989164,-0.174239753411283,0.0466211346710182,-0.400183613773324,0.0279286394839271,-0.707563850391612,0.321741879380053,-0.0223948799828144,0.218638130113884,0.382933605616644,0.267014566575792,-0.0005937255462406,0.356409548000047,-0.274110324245981,-0.469183206280794,0.422275008218332,0.63696492515025,0.300683244349395,0.517101735820526,-0.174526490772463,-0.546568343235007
healthy,0.399257406695309,-0.148376704577121,0.410187991472092,-0.550333110254675,0.344429540804942,0.318312121250783,0.674177653274066,0.389438914022622,-0.298489842965726,0.0736514677533383,0.655882534734205,-0.192099241575687,-0.533261641250951,-0.114346737058843,0.17368419627191,-0.365267362432374,-0.179360643396128,-0.440006398270476,0.315169288300697,-0.294695206718037,0.465901631454864,0.283407597098498,0.498290894604029,0.425694180049333,0.483064460593909,-0.569550154451151,-0.597419226706461,0.189504058480935,0.608928439565855,0.360378074364454,0.457469319603929,-0.267787799594559,-0.569771048656955
healthy,0.262889340791617,0.156036948437674,0.223050892868371,-0.317189372264878,0.42782286884423,0.52031006027301,0.412309896306134,0.0288866647109005,0.162902631400778,-0.146348285745874,0.366784903941183,0.206669256742536,-0.512120201615943,-0.285406214845354,-0.0269159117153868,-0.438671720402361,0.157603731484148,-0.688933419879642,0.0582824176946782,0.0636563784086031,0.263293973595428,0.534810479752722,0.348771227443793,-0.133341312345458,0.281472439765622,-0.427043873528797,-0.400086480732944,0.34074056584675,0.620008623274343,0.237140527901331,0.508247176808104,-0.103282949817731,-0.460123200204432
healthy,0.148927448447069,-0.21224779929498,0.34263026822125,-0.35990721905224,0.293404052339371,0.257834076213839,0.309571156458743,-0.0366013908939005,0.0227395422130767,0.20266106454657,0.330139114820897,0.296759428585371,-0.213192535569227,-0.359411570061879,-0.0281383392692787,-0.399020450840783,0.0550835980978644,-0.594603951383346,0.0274071747771691,-0.0497221160082793,-0.0016763014566034,0.361159166780236,0.207947082582665,-0.0727941355122414,0.279467960323044,-0.271759363200132,-0.503028364181823,0.332321150041603,0.606908177362819,0.0845222841552088,0.549408259755281,-0.285109793607894,-0.299908211603096
healthy,0.133487465680425,-0.100777756282705,0.197750298611912,-0.339527333305579,0.0871262725614547,0.382590342062892,0.270331765601353,0.0605415221057603,-0.216889812926833,0.129802034444383,0.286889133781383,0.129592701169537,-0.557629583593015,-0.324287498395835,0.0147493195354776,-0.25796447918483,-0.166964613815766,-0.522813378578811,0.0736217297910482,-0.158996162463802,-0.0156402917255962,0.17706381537396,0.292341646861894,-0.0198791437807089,0.276710599271303,-0.415939234833902,-0.467472444813254,0.215942279558324,0.527089621913337,0.184873079043496,0.227489458789508,-0.201837353484293,-0.570398380014232
healthy,0.398967520056344,0.0942435662780371,0.209462217100109,-0.272668842858904,0.3690123247567,0.430883499086756,0.338331848663184,0.189681406859682,0.0297308904703911,0.14351723625258,0.352726156925118,0.230651353058653,-0.123077499751856,-0.303265822309323,0.182697909380829,-0.245989568875296,0.130058739781978,-0.547700367419238,0.549585032865376,0.087935683868773,0.35735382735723,0.363201858408089,0.352988170693007,0.031062950610826,0.448372143207198,-0.348309195484522,-0.460573585252378,0.441349363125568,0.452871955461833,0.127946059783979,0.498083082047281,-0.119984800041422,-0.283524959163586
healthy,0.378703577312137,0.0007883532566309,0.213300943297505,-0.222994402597752,0.428758410683935,0.323380640876003,0.310623933404243,0.105787379104184,-0.0731199095552319,0.232707681772019,0.400199244183872,0.153305739955261,-0.156380514003308,-0.142397061498975,0.0485591042812811,-0.174046547764104,-0.0496124860467289,-0.361369133379318,0.512089078734463,0.114896068351051,0.255064225755726,0.210646478572198,0.262041766988729,0.111801892990392,0.355931422256689,-0.149371328320717,-0.20160047481085,0.372093421249279,0.449083038984344,0.14258623570494,0.457346812425973,0.0093693768389599,-0.125187464218617
healthy,0.144673277711992,-0.0161664898367942,0.0094089850438659,-0.248340852063977,0.18093116188286,0.209717137697318,0.157944131709851,0.0195288845352421,-0.0741811443028008,0.115463748166078,0.138733823904624,0.169615710476253,-0.284492089751128,-0.304826533074342,-0.0117565973898945,-0.304118851387714,0.0231358559328981,-0.626742754990197,0.413251483646403,-0.0436581498865297,0.0696552839907955,0.188740134243565,0.0618543495471217,-0.123374317645496,0.0821734999599733,-0.136018369755166,-0.329445708065464,0.188703780101542,0.327807242096043,-0.106240653640669,0.236090772234136,-0.242421224796786,-0.329262986054991
healthy,-0.105013105650946,-0.253179390429223,0.0007458679085642,-0.432858171120579,-0.243695151625753,0.095290887222201,-0.0554223892598968,-0.064538514991519,-0.26985984194974,-0.173196239040651,-0.0777418900942521,-0.295893077026773,-0.533655046023619,-0.398820406056351,-0.0932058967005508,-0.444249656892954,-0.332915262454396,-0.69331734502295,0.0366784244859143,-0.335477889554631,-0.162381517140598,-0.114207260694238,-0.0115386601116426,-0.0708206072733723,-0.0268845263652814,-0.400238458342358,-0.462878061378687,-0.0793866845329701,0.16487191591183,-0.272304708662529,-0.0597681956720781,-0.22385507917744,-0.509812063243517
healthy,0.174665426891652,0.0394515811364867,0.109865495789672,-0.335245593714896,0.171621162273401,0.292623627599833,0.352773064685885,0.0994067652252096,-0.061677291223931,0.137214179571101,0.15013724881397,0.180094571060416,-0.37841407198997,-0.258878833165715,-0.0701595811301894,-0.284294236030755,-0.0169045328872715,-0.612079569105362,0.271063463082142,-0.0509607548064999,0.145744008327131,0.359401636054808,0.242682665333281,-0.0543516654353429,0.0939633636700621,-0.481384141665119,-0.412218549213968,0.312925087994223,0.503047889565015,0.136467535384612,0.504003009700951,-0.139260913601238,-0.403482681490632
