group,CD11a,CD11b,CD127,CD150,CD1c,CD2,CD224,CD226,CD244,CD26,CD269,CD279,CD3,CD30,CD336,CD38,CD4,CD41,CD45RA,CD45RO,CD47,CD49d,CD49f,CD5,CD52,CD57,CD58,CD62L,CD7,CD82,CD95,CD96,CD99,Podoplanin,TCR
healthy,-0.32533278118138,-0.0986978950709607,-0.484429485015025,-0.209295601365752,-0.0237736338601285,-0.528742303833276,-0.311069902662875,-0.40702043183707,-0.0223923397251992,-0.356151815287722,-0.0596592591091284,-0.209920930230149,-0.211200667623333,-0.15472778907521,-0.129901252933695,0.111885791840393,-0.552475771401551,-0.0001044926921767,0.320806173003389,-0.16892568990994,-0.370575338100402,-0.233619880251559,-0.372796241594387,-0.578462371754422,-0.456031251102705,-0.127979708146613,-0.223996889256217,-0.191646133739688,-0.158516599266413,-0.393634876628816,-0.379969890303457,-0.32720551640999,-0.473839128653626,-0.107742141327923,-0.156099363171656
healthy,-0.0818057945935262,-0.0675408254740423,-0.568815640108735,-0.0689832634567378,0.0097723536366041,-0.309581439382046,-0.172096531672171,-0.0609823789573314,0.186140077752231,-0.517989061759715,0.056101636760793,0.139443594387168,-0.364123680492159,-0.0452061793701281,-0.139763087535509,-0.0276939723727092,-0.535746575763292,0.0708675446073888,-0.0391715985381585,0.0172408302160427,-0.41277560358372,-0.125417774355364,-0.352713278542923,-0.378161464368987,-0.445744379960972,0.124615579262519,-0.0168873157651426,-0.270581625464185,-0.363788876363057,-0.217518296765963,-0.0565495873520923,-0.213902133527136,-0.192972222871732,0.0433647741000976,-0.329090718094592
healthy,-0.398870726899254,0.0078188085316602,-0.488618640951104,-0.334017658876655,-0.026387796715288,-0.619271642449583,-0.553686649803544,-0.714208409062329,-0.0428147921053506,-0.274346929512413,-0.170682255786396,-0.464801710813085,0.239362631099377,-0.185434591153668,-0.189445485263783,0.410285427779665,-0.416849883594261,-0.0631359822278656,0.543186299039688,-0.321155705467055,-0.244966510257923,-0.438358314293863,-0.686383953302089,-0.346288234274659,-0.471285630499776,-0.0339906664936992,-0.396005789847302,0.457756432981068,0.318650861183281,-0.47743452189285,-0.703502406270983,-0.560642405390564,-0.712038529371031,-0.148502831790212,0.272873680137407
healthy,-0.432131312626378,-0.149780411378297,-0.283600319111636,-0.46907789937404,-0.0709665371259342,-0.63456422677878,-0.585141613383876,-0.760012710590488,-0.207267175845423,-0.323522713678174,-0.23527086039044,-0.450053213536525,0.311979954028027,-0.242486125620925,-0.267903162435061,0.281863568814793,-0.058752315713417,-0.150638817194354,0.538380669888117,-0.340427856392717,-0.134697113955891,-0.471069637081929,-0.534146354598668,-0.194156573608032,-0.271149941322425,-0.108474038434632,-0.589894118447021,0.266320146293065,0.309798243298652,-0.595664114874005,-0.789061479601356,-0.603901156560582,-0.811493682552382,-0.253280499937462,0.434353082217002
healthy,-0.263499828001297,-0.0967266899350968,-0.455436526652429,-0.206509757195978,0.014071670961108,-0.388694858926996,-0.224744523039249,-0.323897033591606,-0.0999080155899508,-0.320451877048026,-0.18133607605387,-0.0556796738400711,-0.32823263915431,-0.13165540677829,-0.166897318499867,0.0546897260252598,-0.47653120557778,-0.030661272365328,0.0098965577967941,-0.160109429412262,-0.421330860060356,-0.212559566642443,-0.493081279344253,-0.42602102414735,-0.461557299167322,-0.105700084788243,-0.133752691871095,-0.197388212196994,-0.20587885255298,-0.333036540943931,-0.129379710704483,-0.240715688829218,-0.350512906173471,-0.126144903152039,-0.270175135560119
healthy,-0.355520796734283,0.0218118357117128,-0.082878690134659,-0.419230602835227,-0.0949716463913741,-0.380705748262831,-0.541868544834445,-0.505324418783296,-0.224208258755616,-0.177960299722641,-0.0493918099842236,-0.322901094467101,0.226946736174449,0.0467566828043024,-0.109905287417659,0.328235225321159,-0.352083411478207,-0.346791913762763,0.834997115068649,-0.672854268541852,-0.156258638323144,-0.419663590935551,-0.392158150964088,-0.120494815296855,-0.133648116443141,0.0752865271290243,-0.542346488780234,0.364673218686463,0.512224685880967,-0.547387952623846,-0.615525602742527,-0.131981392501015,-0.513208714315104,-0.152976742624181,0.349106974372738
healthy,0.156421862706091,0.016749596706687,-0.190976845676252,0.250414947369057,0.016017409567446,0.161059523981267,0.129584908716394,0.317532801033295,0.0956146423825663,-0.105228825429335,-0.0243650747497111,0.265408124009405,-0.142946424770611,-0.142807280921527,0.111289644210631,-0.285049240089148,-0.0952331058176786,0.119986146544989,-0.328296585002477,0.282835272110281,-0.10870521731365,0.154279353035227,0.296951329479495,-0.108819821083423,-0.0230203073191968,0.0364773037301654,0.202042898015123,-0.244482123074178,-0.416837685291069,0.119876559780374,0.345039719494813,0.187821348221385,0.199542583101712,0.0331603586654185,-0.0088416516569914
healthy,-0.0529192757132567,0.0548107125977574,0.279176823127078,0.126174111042041,0.0964927093322076,-0.0120899954911555,0.14596687103096,0.216703588445776,0.157653574971472,0.0598327758335116,0.095760602528514,-0.0270508182438913,-0.111584726273796,0.256983432578617,-0.0235405558911056,-0.0800832470540692,-0.0114053788779587,0.19283667526594,-0.310560661512762,0.203959421292353,-0.0807654032860158,0.0484103269335442,0.0845418312784042,-0.0625009710324111,-0.0821071803882708,-0.0049046985479713,0.190193154349522,-0.194869996321728,-0.0614874222696682,0.0166082460197883,0.113667593230355,-0.0053468095576167,-0.0834044849028247,0.121742917771785,-0.0234531060447809
healthy,0.168720605613039,0.0401726502632114,0.313704932626246,0.0037681486797181,0.0035342426080676,0.314977634342836,-0.082108169461615,0.0771073869217792,0.0473322764258417,0.247672385118818,0.0903825174457337,0.0481916433209941,0.618848657956158,0.114199050941013,0.154447495467922,0.447559380322921,0.527388457437976,0.0629293676734546,0.59376083231015,-0.0139661414564953,0.404845665250134,0.206758782794127,0.138271417288669,0.495580897299048,0.354749925423397,0.0039131913031469,0.0113891175716692,0.442999645097748,0.479519553384736,0.0789211887066335,-0.145759887188525,0.204410022780326,0.147959658140003,0.123052034096396,0.591572953593036
healthy,-0.185690695107655,-0.165499194221011,-0.400198510634036,-0.248920775474218,-0.135610842251111,-0.344570515626681,-0.378041686587597,-0.376184808543853,-0.085688455373584,-0.257396260401023,-0.202736009592424,-0.217998130191749,-0.0980778559786221,-0.138958888301753,-0.207790269828825,0.179255408561151,-0.337385645106863,-0.115764764236362,0.279609158055645,-0.24441140903837,-0.280426866096051,-0.194726121467184,-0.409587767825816,-0.315472005337764,-0.314448732330814,-0.121606660123189,-0.289117159033553,0.165443642123496,0.0409601048855957,-0.328378156992822,-0.404401194546256,-0.371675441040355,-0.380990145956323,-0.233598873755545,-0.0330262278814953
