group,CD11a,CD127,CD144,CD150,CD197,CD2,CD223,CD224,CD226,CD244,CD26,CD269,CD279,CD28,CD3,CD30,CD303,CD336,CD4,CD45,CD45RA,CD45RO,CD49d,CD49f,CD5,CD54,CD57,CD58,CD62L,CD7,CD70,CD82,CD95,CD96,CD99,TCR
healthy,0.0526353604380369,-0.104501735012426,0.0112458042921709,0.0725304336769401,-0.26653408973799,-0.027477654427424,-0.0242140650019113,0.198127910520272,0.217172582814576,0.0651291100124166,-0.152178923176096,0.0365088205515078,0.139002450337136,-0.0474597941045179,-0.511429630998251,-0.0781818229474657,-0.0357432169187304,-0.0104993780713552,-0.270332593383766,-0.186200335508622,-0.404783077723756,0.13436350590365,0.0084546973738203,0.116700776423726,-0.183147732117534,0.135701930294062,-0.0856531263001584,0.137116183286486,-0.286839605482568,-0.462038652679364,-0.0359014205646565,0.135665945770741,0.285533943243703,0.0566175104598003,0.159546415955235,-0.517577448790874
healthy,0.370799282175819,-0.207401739350716,0.119124425226276,0.380574489079084,-0.550490509763007,0.287474518889675,0.132149115891782,0.283753528201999,0.624798465470462,0.391304818082473,-0.331328763299479,0.182826032725635,0.632470392581748,-0.243630837618328,-0.546935010044284,0.0092781511526821,0.109238394158596,-0.0109161010123882,-0.237808488989825,0.0314947383309805,-0.41721754920577,0.282730208111891,0.422955675290627,0.219369990077123,-0.0657047319808051,0.488133407629556,0.405848111741472,0.461079492015253,-0.596557139501423,-0.615502527339231,0.0441841568570921,0.147080326362896,0.572328730654525,0.306314629117557,0.400269209544293,-0.58187741044904
healthy,-0.133998619339311,-0.460524843455504,-0.142942586266409,-0.154667957754409,-0.138125488300945,-0.384619647301982,-0.10878302740671,0.0242337512397121,-0.273206617248985,-0.0473393605897391,-0.418831799069954,-0.165249202545931,-0.0231030763635408,-0.252182260205949,-0.3407387079313,-0.0906203692227584,-0.11257011829631,-0.154799711723368,-0.334913032319227,-0.267156630615895,-0.245071380684569,-0.0525815031015927,-0.313408638809643,-0.145028509562835,-0.286152999607657,-0.102552179346708,-0.238953558361822,-0.0763527585550664,-0.135312979003798,-0.201989338988029,-0.153990741647946,-0.0436006103961257,0.0435480684416154,-0.35681939022136,-0.149246899466512,-0.207620904414779
healthy,-0.169667361197321,-0.416593182095037,-0.178924529510752,-0.258857586351631,-0.0936901119434016,-0.498289445270559,-0.194453723242973,-0.355278252947889,-0.475358587399079,-0.143143120215822,-0.30211655017751,-0.203657401129065,-0.134609082836308,-0.394663211969102,-0.0613249365068933,-0.249574793148275,-0.184979006946314,-0.258940331988591,-0.0313566001291531,-0.307885871850274,0.0460553486322357,-0.265534641341249,-0.226086549128677,-0.185563170170554,-0.481172754929257,-0.289694164827083,-0.180262221129846,-0.330710039899038,0.147044354787033,-0.140976203166231,-0.233901646561609,-0.345825522557773,-0.394496535356813,-0.357270092038503,-0.42984877110544,0.0288913083923324
healthy,-0.1303436614799,-0.359373595456069,-0.119158815676557,-0.0900522160704906,-0.281929817584251,-0.246844360455731,-0.0658365679864439,-0.0464490049865142,-0.133218386814772,-0.0431438581087699,-0.282397779279151,-0.169954022496051,0.0548731808666503,-0.236597724270941,-0.461064568678582,-0.129537202359159,-0.115508473354737,-0.163387312162367,-0.424415927686874,-0.316569220926283,-0.17993409057444,-0.102369008380846,-0.126088120874322,-0.292853588650021,-0.360084383137175,0.0425159087513381,-0.096121508513027,-0.0230374599724152,-0.390837856173863,-0.338798581653389,-0.103668269579578,-0.20078896771516,0.0626919375913861,-0.119234771890492,-0.189767928436632,-0.430131524964064
healthy,-0.186574238342851,-0.520282546743657,-0.189209403783587,-0.118062126771008,-0.387083748961859,-0.229527876977246,-0.0934608886262979,0.0590944967550964,-0.138871225704562,-0.136120470903157,-0.517183949996804,-0.146259210229184,0.147810842658662,-0.172398624951426,-0.345346011681308,-0.269046080481768,-0.0960488592099477,-0.124886971524061,-0.13451346003678,-0.20872467317407,-0.490075320265021,0.0616353290657184,-0.172591820388736,0.0861145790544206,-0.231174629533098,-0.10466089013068,-0.172557927704473,-0.111027293065047,-0.29449751787961,-0.558164238859873,-0.105423729496707,-0.0038532931147694,0.0424537622030162,-0.278303103334866,-0.0115755909173349,-0.2551772019599
healthy,-0.254046055667121,-0.249036120764695,-0.158151494581749,-0.258753760473309,-0.0312521861409146,-0.184675531171019,-0.352843505440303,-0.133424024061228,-0.378383524145677,-0.121309885405296,-0.153375836731041,-0.18610859576537,-0.249483330999876,-0.282701418304807,-0.0935503751197835,-0.313010599686193,-0.326660525408319,-0.195478892668734,-0.345562204781091,-0.192892662843938,-0.0048549927988677,-0.175141016763578,-0.167307981169273,-0.413594984073874,-0.310535626738923,-0.172276605057444,-0.147243782827601,-0.249094951364326,-0.276516105880603,-0.0881486091827037,-0.123941578034322,-0.383872404401639,-0.197043859932593,-0.396257850836291,-0.343822412881478,-0.0128339247400684
healthy,-0.0625776648687979,-0.290281829579344,-0.286253018557493,-0.169753622602755,-0.0859611215999585,-0.18641785868742,-0.353533991672601,-0.244564367611846,-0.373346976976206,-0.153134485099436,-0.483000400314518,-0.201010820775807,-0.0926560391120715,-0.11580788370333,-0.0443047094735228,-0.279840762788752,-0.179842444894899,-0.156632450008893,-0.16943503629956,-0.10224443706145,0.14648758527814,-0.323686420583669,-0.216052823934631,-0.222629800325317,-0.14222731872952,-0.138425613237825,-0.0468023358197532,-0.316737398163812,0.0113117367803737,-0.0373424972125086,-0.130756590868168,-0.254068017542418,-0.24412310838487,-0.0658363969616875,-0.168976620251474,-0.0628771126431333
healthy,0.370906421548498,0.493554403546681,0.0159176757401637,0.0320854308472613,0.298412080205292,0.58261633995061,-0.0141315735138221,0.0606412157813662,0.237293451193356,0.0377021745231857,0.274929904266951,0.0013688048585391,0.0020943609477128,0.59908647563347,0.625926323401648,-0.0204086340774007,-0.0371486483827272,0.0865308948517221,0.736137333103682,0.606092640532401,0.261193271939767,0.234167676348613,0.350048962906154,0.264712153979516,0.688288039469289,0.0700085430852203,-0.0507661814542097,0.0899851954806894,0.354898561883347,0.556606301709167,0.0551757997856049,0.186294980879614,0.0799586651107045,0.145730548828085,0.428944939714941,0.533085149125602
healthy,0.153677656266671,0.0018050177929076,-0.0283391437696781,0.0530612629598586,-0.357521592154896,0.139230040342268,-0.136702062295571,0.212279581734157,0.278550983225106,0.0591717808536338,-0.0717023116101456,-0.0430121293175788,0.0942923089889032,0.128744759232513,-0.387929115206603,-0.122042763948078,-0.142021753912536,-0.0821259721019805,-0.0525382279829199,0.0182602724868673,-0.552346737113873,0.205218979635563,0.116377992327411,0.2934371723679,-0.0324603582436903,0.193942609770907,-0.0894151076068362,0.0226576335009338,-0.463094196847668,-0.386475517155702,-0.136250724649564,0.242319816797732,0.422021751813703,0.0638357432215788,0.427969424352265,-0.404449262296838
