group,CD86,CD11b,CD47,CD52,CD33,CD11c,HLA-ABC,CD45RA,CD123,CD49f,CD44,CD14,CD16,CD32,CD107a,CD95,CD64,CD141,CD1d,CD35,CD58,CD39,CD11a,CD54,CD62,CD41,CD18,CD38,CD45,CD71,CD305,CD99,CD371,CD101,CD88,CD224
healthy,-0.112242166721035,0.470695317326821,0.137564049652594,-0.0144407162688382,0.521140151216901,0.402170338972823,0.12971908596759,-0.275686943244297,-0.310566845415554,0.17060830805799,0.0121886303852567,0.415355052206977,-0.402070248827997,0.340707256094786,0.307730080867423,0.245848738395515,0.456687512268979,-0.105212841954191,0.245739827842198,0.440509837712163,0.442624568812646,0.549278707050947,0.283723652886706,0.0935624993840348,0.188377875228718,0.35679738480766,0.376806317439056,0.600436322675212,0.139612373735794,-0.0696716435323347,0.407308612682391,0.0499363281969953,0.367519181585678,0.215859678370257,0.14826893347909,0.19430933762619
healthy,-0.434778644378013,-0.531642492504659,0.0688604733596391,-0.473638140094357,-0.462604327039948,-0.530021878291873,-0.0130971630498317,0.295299867066985,-0.0978603021374948,0.340171441053584,-0.247702232480433,-0.424996380024141,0.0901980646116661,-0.57280609350944,0.0021745467838588,-0.329784832098319,-0.425329334768532,-0.0137137566260707,-0.62319307214416,-0.410906733652054,-0.22592414307131,-0.635583834445898,-0.482929361624566,-0.0805318625074436,0.492375168427175,0.15156926563834,-0.583200383907398,-0.303810100619005,-0.499311133878936,0.133979949309497,-0.569147258164216,0.0465282616476986,-0.465521432622964,-0.300907936519808,-0.40924332240705,-0.192755762305883
healthy,-0.142261091504427,-0.362305433852333,-0.0826837884165851,0.0705805987145164,-0.344734469906898,-0.328698559969613,0.0553098978019341,0.230065692918763,0.0551443391372608,-0.0996387094538265,0.0070400945884821,-0.25815123126903,0.0546370140322877,-0.332056720633691,-0.377945810853292,-0.0609946205283756,-0.353269215481694,0.0852361622240034,-0.123784528074677,-0.300569319897825,-0.309331606540693,-0.272599988260427,-0.311703886392165,-0.101979908857069,-0.0358529911071431,-0.145367009896943,-0.205976410272376,-0.0812587768939638,-0.119586090506883,0.169851212648142,-0.221191916650503,-0.0446919484531653,-0.242209888206582,-0.268696637231329,-0.180683728453231,-0.207513154589462
healthy,-0.255878523450558,-0.267210754201729,-0.327697359879388,-0.107257755257055,-0.305336474573214,-0.162136213621362,-0.23748560247537,0.265619680099731,0.140157947744124,-0.0449771046373834,-0.165794668151564,-0.0989659935965837,0.37096460177674,-0.197422472695417,-0.665179312768224,-0.17217070725965,-0.242356955085021,0.146391580875223,0.0095491516054799,-0.230797849375749,-0.278583858385839,-0.227288012599825,-0.278296664557702,-0.294215074941663,-0.0299794541735066,-0.174592218145761,-0.148345284953808,-0.255004277282842,-0.153123771749179,-0.255932065325086,-0.125652565256526,0.0953369283690661,-0.169168916891689,0.0751651418912584,-0.142817705403332,-0.162853838872446
healthy,-0.151839078307719,-0.268050733596566,-0.0391414184701577,-0.0788556131187872,-0.246387469051835,-0.23471574695477,-0.131244404251418,-0.0810573496974228,-0.112993080340001,-0.144850951349785,-0.108613976639885,-0.239989031743622,-0.0260590483165562,-0.3261167077532,0.0484745852678721,-0.0709461848397673,-0.210296105187678,0.0760038832209192,0.0114544403794776,-0.297206012956991,-0.0959135057428758,-0.165929000052459,-0.172052187413801,-0.263344208078094,-0.0710220712433786,-0.216371879101891,-0.247843024884034,-0.178577892740015,-0.162922358756078,-0.0582269027128888,-0.25865710733905,-0.04620003956081,-0.231886992473975,-0.10637067429259,-0.25000976800284,-0.114275822601077
healthy,-0.649132817746858,-0.641300402430364,-0.171762713151682,-0.326259537371288,-0.526876035666377,-0.589741971119703,-0.17956829384853,0.0023582791669647,-0.0439604446858169,-0.0022291925592706,-0.408995072373023,-0.572172937294237,0.137840522534825,-0.611138729118128,-0.393672659091527,-0.482913717225661,-0.496156288572982,-0.224840618383009,-0.3455134121814,-0.614455929929772,-0.596790200383002,-0.551765879730799,-0.543208853748358,-0.424844375313928,0.155667999455605,-0.0888012075861466,-0.599971593674105,-0.47933059872728,-0.643127971559914,0.248874214722121,-0.560795082437426,-0.235843653125574,-0.516941529235382,-0.175605137040739,-0.629942403381344,-0.568442003275444
healthy,-0.129133461499554,0.382100024153126,0.167824453719593,-0.243030603123045,0.390159555426961,-0.0643876011242125,0.0494379670691253,-0.455661389619099,-0.442350386811064,0.392649073116691,0.0546922844901908,0.452940723550538,-0.473384857851812,-0.155702925545491,0.137972563686745,-0.0197648890689642,0.309289604893544,-0.195337543954935,0.24706947871058,0.29911210863124,0.181381406584612,0.264448947470839,-0.0715699795076014,0.0112910284211006,0.322569894663024,0.352171089680537,0.146879701239451,0.337370004648851,-0.0949675136901711,0.238539065684396,0.193333768842188,0.34279504525011,0.0269725604073604,-0.066504754783846,-0.241172016043471,0.420102133462237
healthy,-0.57993527027651,-0.277005459818528,-0.235035987133649,-0.580441796178382,-0.240987952498048,-0.470103655210038,-0.282681651005209,-0.319351431014608,-0.0578844205373004,0.349949175994875,-0.407682275279323,-0.22031170889262,-0.341639536901504,-0.411867318832397,-0.473771298529061,-0.386056031792033,-0.204056722243912,-0.108017508370068,-0.19645872872935,-0.260738865376743,-0.351466643268665,-0.36117424330087,-0.537835111316412,-0.381374791651361,0.382978047860779,0.255102983190367,-0.491555467609545,-0.22367542288655,-0.550496779836946,-0.226844336452128,-0.315775360337179,0.0217312644890256,-0.279817285731458,-0.328208684842961,-0.699735704772571,-0.191692010971987
healthy,0.100075827807769,-0.283722482477378,-0.0025719121062856,0.275901644490423,-0.36041998351704,-0.0416805731815774,0.029991545508081,0.185419623736588,0.128507308038304,0.0594344398528093,-0.0291293573932807,-0.213798541390855,0.424408640988651,0.255148017690361,-0.348506193844729,-0.42816216094477,-0.4912198061774,0.164272350190941,-0.398165440619631,-0.313676426642406,-0.285426108006377,-0.230571405084653,-0.0535506577343064,0.21310482689741,0.126920836807899,-0.017112097594113,-0.13340475491362,-0.517803815229025,0.158408074788948,-0.262023164320589,-0.0680714035028275,-0.248019524107006,-0.282826536628261,-0.325161184623652,0.522398127362829,-0.307465542698968
healthy,-0.275817842096402,-0.0655225055703343,-0.294344626454108,-0.29615036010633,-0.0547159529777405,-0.122883863850281,-0.190642225521226,-0.0701321840508289,-0.187417194010113,0.13135075518696,-0.36528711778281,0.0181182231663338,-0.277339507089313,-0.238308745049587,-0.0514300992136038,-0.126946909808926,0.047671453095063,-0.0938750366689844,-0.100086853099726,0.0155171858400553,-0.203972003570567,-0.15539271567206,-0.291418871095104,-0.332078860425154,0.130112935362509,0.111760377475164,-0.241588829272537,0.0458649429921721,-0.407830030053179,-0.104468099319403,-0.159166202312862,-0.0467433377622952,-0.0542056554129982,-0.0471929809618853,-0.303762678237797,-0.0024540778363796
