group,CD86,CD11b,CD33,CD11c,CD14,CD32,CD69,CD107a,CD95,CD64,CD35,CD58,CD39,CD11a,CD244,CD235ab,ITGB7,CD54,CD41,CD18,CD38,CD45,CD71,CD36,CD49d,CD305,CD371,IgKappaLight,CD328,CD101,CD88,HLA-F
healthy,-0.236156532398048,-0.526607195499588,-0.494463739297096,-0.540684716645756,-0.349341146206366,-0.557589107299575,0.110480754662045,-0.187085399436339,-0.53455115909866,-0.401277395966629,-0.534553523339528,-0.363994655390838,-0.340404844511102,-0.274762418523261,-0.331832192043922,-0.258596210549496,0.0384281104160421,-0.0856610096965118,-0.169643602571281,-0.441484367035184,-0.345299957279506,-0.426920520367878,0.0042610339928573,-0.472561486035467,0.0610142367001927,-0.446592369961556,-0.580124223602485,-0.135080866764758,0.0182582874218482,-0.333016632637236,-0.599040155475367,0.0719126799856929
healthy,-0.185968881033515,-0.84344866704481,-0.711044485860141,-0.769548658941739,-0.632900673829713,-0.709261810226076,-0.173124231282082,0.023541832573081,-0.604361601821205,-0.368903899910437,-0.723847338141156,-0.451037650537772,-0.474268965884984,-0.7117835444129,-0.44297525087584,0.170556526582491,0.371217740761979,0.0953516794703907,-0.209958709864988,-0.563458532892488,-0.571997168606667,-0.391360731293845,0.0457810029219496,-0.671501499068147,0.308201318386713,-0.744893057295396,-0.768576290414067,0.0026194326099663,-0.577653972633953,-0.568174495438397,-0.604971920740248,-0.351478397549875
healthy,-0.0117315491305462,-0.114992166330858,-0.225504745336125,-0.172486786024712,-0.336709798494828,-0.130480269877897,-0.110064525558253,-0.388917509078021,0.182045757710002,-0.224021730007584,0.0517849674313839,-0.0682072477344416,-0.218327199328098,-0.240756684316453,-0.174984689174836,0.276946500220724,-0.118615247449306,-0.0149699817697434,-0.0769251967502412,-0.0131624545211883,-0.264845207488783,-0.172193527166306,0.159900406623805,-0.19598781256883,-0.0732439675568314,-0.180140670848532,-0.140497559439458,-0.0118500831753764,-0.0563996670452405,0.0172273249322898,-0.12501187847859,-0.0959638555931062
healthy,-0.0708778826397519,-0.512073932751121,-0.37624109529548,-0.491245124512451,-0.247923072360067,-0.489004248567145,-0.211141843093465,-0.52715267002022,-0.315237568528822,-0.318721421840056,-0.581441121447471,-0.484128412841284,-0.415610308029532,-0.476881118757378,-0.47317951354972,0.0,-0.024928695647211,-0.246651464678392,-0.124288225758181,-0.525224279392703,-0.356413066643792,-0.460655447513167,-0.0976068576105305,-0.224441117436106,-0.0307042291668309,-0.368616861686169,-0.394119411941194,-0.198448920052561,-0.507151968949883,-0.0605380220920009,-0.551653796510013,0.135179311879451
healthy,-0.521345189720878,-0.327821786658595,-0.50591633593358,-0.427684192644704,-0.429366869326229,-0.496477516230203,-0.0674884073366977,0.0924324363381228,-0.364758010000573,-0.369548606886001,-0.250047278192394,-0.319008363677726,-0.539856139868861,-0.457185691321238,-0.351713474065026,-0.030824359850418,-0.0734702255118364,-0.57712697527455,-0.103814519924465,-0.575205156614743,-0.269491492737606,-0.518260471592783,-0.0190236449219416,-0.25974966145286,-0.48537798164519,-0.530499788391414,-0.364516608389447,-0.323236648433804,-0.556780678036847,-0.36353013138346,-0.2710614206747,-0.0194044554739526
healthy,-0.482617672082839,-0.497711670480549,-0.410770930324312,-0.442775980430837,-0.565494428671845,-0.40139983746091,-0.295070545692512,0.0195647262499251,-0.21958920990609,-0.395659048186749,-0.39177779531287,-0.423165018714967,-0.313871745781466,-0.371521571948957,-0.293646064377036,0.324977750336456,0.295571509834627,-0.13413977879503,-0.55974037637012,-0.399326054395909,-0.183810939395538,-0.475835947302154,0.261611318045116,-0.531205182683079,0.145747812008477,-0.492933740516731,-0.421360372445356,0.143852234061106,-0.338677750493893,-0.041293326239516,-0.517289020672387,0.0038680618326048
healthy,0.0196390553591666,-0.464876413529927,-0.414070409607627,-0.299281301223049,-0.406823101725572,-0.211133296382167,-0.29742109095873,-0.208808223091212,-0.109095846300706,-0.351668591113607,-0.495037436530015,-0.320357285431951,-0.308861558763647,-0.237504068187949,-0.148193488850721,-0.14579333065625,0.141452731995427,-0.249159428231969,-0.266420142165506,-0.354273139206395,-0.21235440358457,-0.205428192960057,-0.168864882674869,-0.379481219981087,0.004521166772521,-0.289868146643155,-0.247439228612838,-0.0407551149325174,-0.44276445741184,-0.136307200453325,-0.134520754949725,0.124504355399073
healthy,-0.39994127933472,-0.306196711450914,-0.19707453473016,-0.308443137581255,-0.320715618635019,-0.288978028606916,0.232684668778086,-0.0573582846862926,-0.394041831070306,-0.156411738526618,-0.24489190166349,-0.264406692468118,-0.385678528142432,-0.296024204115085,-0.158268984893028,-0.0206355199566951,-0.0157913152816512,-0.119390011450733,0.41942609055199,-0.360849918028318,-0.155687681145666,-0.362019112966378,-0.0774421595382035,-0.0778151127027265,-0.157632953594798,-0.241712724743348,-0.191109323420899,-0.0885456310134908,-0.242608113526565,-0.184962642473891,-0.373620522454323,0.0
healthy,-0.21192133765976,0.109842409358961,0.127787247256319,-0.0496307695382371,0.141754655089294,-0.221814184718849,-0.0162647124501817,0.119517220111849,0.224806401696251,0.263655963215815,0.190286799326041,0.0561429022994525,-0.0603431497479583,-0.0679053797547456,-0.167577857532065,0.0677939849092268,-0.0409007037757525,-0.142823736223537,-0.170957032489475,-0.0308063148922559,0.28199094668832,-0.231494741399455,0.154540227256839,0.0595617958778089,-0.320679632175979,-0.0515972854598359,0.101190131204221,0.218125439126847,-0.0302153236089611,0.14554778779819,-0.329035845422955,0.23195897692247
healthy,-0.164978520498884,-0.630394332995594,-0.449122324677659,-0.457958547847078,-0.396716401277062,-0.382445645518479,-0.270635055735955,-0.158414900418534,-0.247473987393236,-0.338840172899722,-0.609480251608594,-0.304716290274903,-0.36561272519051,-0.288351736152201,-0.222203837970793,0.11795635667002,0.072139169237427,-0.247278846772669,-0.291938532159095,-0.44002934914363,-0.351759546442719,-0.340301219984151,0.050185440748971,-0.437943449454885,0.0218824197213911,-0.403949246706901,-0.427060344620632,0.0179709107803047,-0.366007918854256,-0.123733794430932,-0.528264823429567,0.100056786768209
