group,AR,ARNT,ASCL1,ATF3,BCL11A,BHLHE40,CTCF,CUX1,EHF,ELK1,ELK4,FOXD2,FOXH1,FOXK1,FOXP1,GLI2,GLIS1,GTF2I,HEY1,HIF1A,HINFP,HNF4A,HOXA4,IRF3,KMT2A,MAF,MYB,MYC,MZF1,NFATC1,NFIC,NKX2-1,NRF1,ONECUT1,OTX2,POU2F1,RBPJ,RELA,RFX2,RFX5,RUNX1,SETDB1,SIX5,SRF,STAT3,TBP,TCF4,TP73,USF1,USF2,VEZF1,XBP1,ZBTB7B,ZFX,ZNF143
progressive,-0.251281688751229,-0.0405195905562901,-0.0331250162268598,-0.0935196165192658,-0.0150233659453132,0.0518958587554137,-0.0789312255345073,-0.266438893145944,-0.0408876462921441,0.025228547712174,-0.0729754145361426,-0.0417241366009032,-0.0103724798286127,0.095292975973835,-0.0717039492668288,-0.037842821568261,-0.0186704636915028,0.0643093749373985,-0.0044835880549487,-0.0861250421898355,0.126845390420228,0.0365713562989472,0.444778626973381,-0.0936869145810176,-0.186202742729772,-0.0198415501237655,0.0379766600176625,0.0642759153250481,-0.127748799953688,-0.283670593506381,0.0066919224700726,-0.290329056364103,-0.108141467116375,-0.153412322626416,0.0200423077978677,0.0454046939594432,0.197411712867144,-0.0553421988275011,0.0950922182997329,-0.0755183450747703,-0.0190050598150064,0.102988686814419,-0.001572601780467,-0.0826452425053977,-0.0276710994137506,0.349619489448947,0.0442670671395308,-0.050356716587297,-0.0692279379529019,0.13989463923687,0.0615322271123183,-0.0377089831188596,0.0965309816307985,-0.0254627649986266,-0.0077960896776346
stable,-0.140155796654258,-0.0889635704680412,0.105920493113711,-0.203804529997247,0.0267613992464839,0.0593090469786941,-0.0162336415849542,-0.0041789572396911,0.0499867577516907,0.0150281731504279,-0.252826913001317,-0.306108617807379,-0.144656212143156,0.151567564501107,-0.0186445784540068,-0.0627647231576695,-0.0945890898291639,-0.183472295734903,0.0851864360398587,0.0552908188636064,0.090329768027171,0.0603537862886169,0.286580029168053,0.252666183876713,-0.0818111244231851,0.0139834338405051,0.176962766188461,-0.0147067149012209,0.337129338855856,-0.167077925025346,-0.0376106151572207,-0.0848649777906517,-0.108009971733557,0.0139834338405051,-0.0601126926017116,-0.0784358128065114,0.0741764910045185,0.0901690389025675,-0.0021698431821473,-0.250737434381471,-0.0826147700462026,-0.0612377964739362,0.260541910982285,0.0531209756814591,0.069113523579508,-0.0160729124603507,-0.238280927224699,-0.407126872620683,0.23096775205524,0.0159121833357472,0.0015269266837333,0.195928802891675,0.198098646073822,0.097482214072027,-0.0305385336746663
stable,0.0534508802396302,-0.167228825998431,0.23791601067211,-0.101675859666809,0.130097425488911,-0.212153236491431,-0.208027525323707,-0.155585152258409,0.0095349769209631,-0.0948913568576625,0.126796856554732,-0.14898401439005,-0.208485937675676,-0.177222215271364,-0.0680283930322566,0.0316304522858875,-0.209861174731584,-0.260286533448216,0.0718790567887994,0.233240204682023,0.137890435472391,-0.014119100440657,-0.102684366841142,-0.0254877267694978,-0.0613355726935036,0.215087075544035,-0.0480416144863915,0.137248658179634,-0.05510116470672,0.0845312377031544,-0.246442480418741,0.12083749597913,-0.164661716827403,0.296959521605767,0.221413166001213,-0.214445298251278,-0.043915903318667,0.200967975103378,-0.206102193445435,0.0002750474111816,-0.0888403138116667,0.260469898389004,0.199317690636288,-0.171904631988519,0.15017588650517,-0.170896124814186,0.170896124814186,-0.069953724910528,-0.173188186574033,-0.144949985692719,-0.183731670669329,0.254968950165371,-0.158427308840619,0.150725981327534,0.0988337030845992
stable,-0.489865580599977,-0.454628327603437,0.489797816651907,-0.555528846280068,-0.450020379134659,-0.423185855698832,-0.412750207696011,0.413089027436362,0.416273932995665,-0.419729894347248,0.458694164487653,0.430572126038492,0.440940010093243,0.451307894147994,0.4225759801662,-0.48308918579295,-0.411598220578816,-0.419594366451108,-0.461269194514324,0.443108456431491,0.0719653128506261,0.401162572575995,-0.35982656425313,0.43531560240341,-0.45022367097887,-0.454357271811156,-0.433892559493935,-0.43023330629814,-0.453611868382383,-0.484918812390848,-0.478413473376102,-0.412275860059519,-0.457338885526248,0.413427847176713,0.449274975705886,-0.4100396497732,-0.530998297078631,0.418848963022335,-0.424676662556378,-0.421356229100935,-0.4200687140876,0.421017409360584,0.439516967183767,0.469468632230826,0.446361125938864,-0.459371803968356,-0.51324414268422,0.374666868880519,-0.414173250605486,-0.44019460666447,0.424405606764097,-0.406312632629335,-0.416002877203384,0.423727967283394,0.468655464853983
stable,-0.13253571057711,-0.102309645566964,0.0170676048382927,-0.0869086626735151,-0.283378085239466,0.100006042459955,-0.153337944694948,0.23077914762943,0.262314078041286,-0.0155929498190333,-0.291702469194338,-0.155449580876373,-0.104351475593631,0.294154410380208,0.0900412138682733,-0.219924290564586,-0.276318937839579,-0.0677730505005213,0.231259064943391,-0.0088741074235908,-0.45430718093339,0.222507118290626,0.309686279813828,0.1891834051631,-0.173477020342586,-0.100957151318531,-0.387171111595034,-0.0215090214347605,-0.339327718277877,0.17949780119045,-0.279643455959921,-0.0940899708442282,-0.212428854697462,-0.0049998658345305,0.1678227218072,-0.129289724380871,0.0161950279038197,0.0434281540287234,0.0057153789207984,-0.217123318604927,-0.116698439216425,-0.0574591911350499,0.0499637552679264,0.0217446172070682,0.20294394341974,0.109770178356709,0.148338078860417,-0.13205579326315,0.195614297170167,0.0192490471744753,0.128146648596711,0.216102403591594,0.034763465069406,0.131104684404575,0.0740905075061061
stable,-0.116162343264926,0.0598048268334505,-0.0124532026482846,0.0336377851287769,0.0697261531817196,0.142295218188445,0.0955515270748509,-0.160502578049049,0.143418009307065,0.0088173858675271,-0.241001870778159,-0.0048139816481448,-0.0991543552393215,-0.005836628753037,0.180320489283373,-0.18667551057806,0.161323758961618,-0.206401524952727,0.057503870847443,-0.0115554410193354,-0.0044452160446525,0.141200703026642,0.189738739233267,0.0184842286044405,-0.040332117905272,-0.159697891444624,-0.125911657542556,0.237447347373252,-0.0117616198711282,-0.0689627023476526,-0.0085711494102431,-0.157197825596028,0.116970564363953,-0.0445664424386622,-0.069769745281813,-0.098228317653555,0.0407409411142554,0.142330563134467,-0.218701566168251,0.0584888166765788,0.0166451132464488,-0.0327235291916843,0.0108414731096986,-0.0549767072068971,0.0717137173130021,0.0125686628052885,-0.185119154788241,-0.24947051984494,0.0239120341484942,-0.0575097616717799,0.0423903719285978,-0.0374833152559293,0.0001967535328536,0.132683749200299,0.0771427010219232
stable,0.0485495984373221,-0.0378781089870114,0.0558560143518628,-0.0279805864499278,-0.0557003797008334,-0.359095409685859,0.0241107518837923,0.160795832564851,0.127082002078355,-0.0111173616938002,0.0127199779652107,-0.0169389389106824,-0.10491037381955,-0.334378944565628,-0.21480105647204,-0.0571052979020174,-0.0114706944150561,0.0045176112217712,-0.0906256366602066,0.132529214864383,-0.109882269968651,0.0620687813672782,0.0916015079855799,0.157472822448278,-0.212983916762725,0.172779700694112,-0.0667504399239183,0.0264789223845904,0.0205101232005183,0.313044378348846,0.0304118520795216,-0.0036763428378287,-0.12012891888507,-0.0544468898087591,-0.0339872427112773,0.0220790887365711,-0.216635021549035,-0.12715350989099,0.151983546243053,-0.133433578377121,-0.0711755116234558,0.0790497836971577,0.174319221836727,-0.0931410291281947,0.12335938947941,-0.0286325694474832,0.124108118341118,-0.192978554592572,0.113373533762012,0.0952063430107736,0.0137337063678614,0.0039371360368509,0.0770938347044914,0.139621107341018,0.164152493416782
