group,CD101,CD11a,CD11c,CD123,CD141,CD169,CD195,CD2,CD224,CD226,CD30,CD303,CD305,CD319,CD32,CD336,CD36,CD366,CD4,CD45RA,CD45RO,CD47,CD49f,CD5,CD52,CD54,CD58,CD70,CD95,CD99,CLEC12A,CX3CR1,FCERIA,ITGB7,Podoplanin,TCR
healthy,-0.77732559182364,-0.353809382030083,-0.778424770993534,0.827992080431627,0.138431975326951,-0.306731604989559,-0.231413531338893,-0.319390508312782,-0.308754827888894,-0.230077578713961,-0.192792348808189,0.798901249773478,0.655765662864102,0.318620464603485,-0.76512381018517,-0.202907638276824,-0.256080257193891,-0.661757408046839,0.458581234124031,0.857376650939947,0.0210385746850371,0.301718838197829,-0.146014752993284,-0.0907976846483316,-0.0611039030412622,0.207969472577941,-0.588402176106145,-0.334614911345023,-0.601062331416372,0.192650545546376,-0.707985143404753,-0.420796353533943,-0.67359027079279,-0.377142574996738,-0.50003025067497,0.012624196462633
healthy,-0.171631445972822,-0.216327897247378,-0.210123771422615,-0.201455698670819,-0.0687519920811538,-0.373886594754965,-0.369377745739998,-0.167135251125407,-0.154314997680784,-0.287134301502263,-0.41443152002651,-0.261229548185044,-0.0901283797019857,-0.326194773368313,-0.289822615884933,-0.410732486795558,-0.230314070389555,-0.355615605437966,-0.373296022004205,-0.285076820330719,-0.228544059474535,-0.487421109469174,-0.32801545802898,-0.51140711662675,-0.170638459516416,-0.380416081647083,-0.30707424950161,-0.396456201500612,-0.37115446726324,-0.371120420145341,-0.134384221009397,-0.256548853360818,-0.378734308035521,-0.324387624078779,-0.454152775031102,-0.535839356445052
healthy,-0.754790018345639,-0.430654539555008,-0.647513119980492,0.578303565823648,-0.190665069037488,-0.132576605027041,-0.29698752140341,-0.376704283950132,-0.34321031706055,-0.511137512238729,-0.156739428751967,0.577098163990605,0.530580174042298,0.221036393839377,-0.562114195336338,0.0525050452377843,0.0240829227664879,-0.71906098928755,0.418014930145956,0.530253501788585,-0.207048033785765,0.286037017356621,-0.29517006408359,-0.4099242020148,-0.21872118525391,0.0234872991192679,-0.459750981601549,-0.117779641936136,-0.521686980273101,0.348295071905589,-0.760918036100005,-0.658950312196312,-0.592527900854175,-0.461885738515495,-0.198797870665409,-0.263377148999657
healthy,-0.81675322001131,-0.53403233020275,-0.720940664691757,0.555840273049264,-0.132901851293496,-0.188428281249687,-0.0158511065775721,-0.377310256542911,-0.54995108463508,-0.313535513589566,-0.232711418104736,0.563231540132877,0.304406445881253,0.42196552443765,-0.763194702330907,-0.45597768132868,-0.202785294191005,-0.618656157756288,-0.0197226582974526,0.347472071137012,-0.185292948656514,-0.0684047586211502,-0.295232869897671,-0.330461861143248,-0.5156638763098,0.0059370262063229,-0.480953393649292,-0.11077864718099,-0.740663625995623,-0.179771061085738,-0.824329849390571,-0.38486626782637,-0.658141752212901,-0.307955277003749,-0.259363822062389,-0.249273235383641
healthy,-0.806157169300299,-0.192068051531604,-0.715490520335685,0.811745511928092,0.198310361879363,-0.241068193807563,0.11260351468561,-0.287441424805504,-0.385223617790633,-0.342610992500891,-0.146908531112469,0.685348918979024,0.73225745677222,0.307655737161341,-0.361508384352224,-0.0409236770202617,0.320799166532345,-0.653702056874272,0.441855541233108,0.722376524833259,-0.106666731621147,0.420787583952564,-0.0726210144437062,-0.192397989179486,0.126813927892193,0.0104194102334082,-0.444906940527745,-0.0648568965871732,-0.615739379770241,0.478813352277574,-0.667017796664422,-0.529682732942913,-0.557492625986301,-0.461406707816816,-0.367210117244572,-0.0027455025403254
healthy,-0.587342247099684,-0.203085439775871,-0.654861396098101,0.746407648671099,0.366504357550762,0.0347799124683451,0.234548535914837,-0.278955469270653,-0.221086618838834,-0.167871341801381,-0.0275114381844418,0.799873737612027,0.818754407060557,0.514191818452854,-0.449284917649736,-0.193929662800921,0.149063708036764,-0.661118548038529,0.38779785671285,0.845352291971958,0.0930138177595537,0.263608656760528,-0.229026159269394,-0.240948134168062,-0.328382672184543,0.26580481486046,-0.415232137880243,0.0300968898651654,-0.575983727584441,0.544591767659053,-0.557060615370392,-0.027851799736861,-0.372852738372267,-0.341026753351361,-0.399670420398659,0.0633241610995242
healthy,-0.750038132987739,-0.227056827686321,-0.627159506816135,0.56742495723307,0.190660809336217,0.0058229996872785,0.176278110828757,-0.513286222909447,-0.298630980550744,-0.267070977096921,-0.108481048839817,0.651644563961352,0.608876491507301,0.202561274252238,-0.613251817212858,-0.210231785725857,-0.0884664572025908,-0.606225028605094,0.422530349925022,0.569207251412568,0.000674167383094,0.381057571032756,-0.110572469854064,-0.300407542898913,-0.34478131538545,0.0869518298606195,-0.451056768239642,-0.0088049794353922,-0.684931696965157,0.372525716730047,-0.780605537057945,-0.355539898216044,-0.509599762162748,-0.511262122807905,-0.295087825646005,-0.213066100423683
healthy,-0.804689472564236,-0.303258498433886,-0.781935167355696,0.812311224246732,0.127754135169556,-0.322544962526418,0.121052144044513,-0.344070676749118,-0.489516514818321,-0.288294537889545,-0.128103441688039,0.837920686739516,0.726758587831318,0.38765518065824,-0.62242554144718,-0.404630233026623,-0.125736939088582,-0.677880878559003,0.352511140423795,0.742939693757542,-0.193376766753639,0.272213157543446,-0.342360680145152,-0.18306182160001,-0.234086951326695,-0.10729841147523,-0.414989907498481,-0.0939734211081672,-0.652981471925248,0.228767440796005,-0.719559090193998,-0.404133791893097,-0.505697074804937,-0.316108295637961,-0.165923809710849,-0.101174467110296
healthy,-0.824178682918183,-0.466849148628719,-0.806560367611816,0.765108406604949,0.378219727336818,-0.258386628576279,-0.0680600233511599,-0.563080319409513,-0.612683437784728,-0.289401644307999,-0.0964112141769008,0.749102410857985,0.648575705792168,0.434428859647131,-0.763084619083322,-0.0782867408050539,0.0031081675031031,-0.729248538962725,0.729363633298219,0.7911210186504,-0.345519330559529,0.258736725696611,-0.464846592130374,-0.251174420270199,-0.39758998689712,0.163539878614338,-0.616002387032158,-0.123060129396409,-0.787810922797774,-0.153277352194957,-0.825746039177486,-0.539569451419946,-0.795076984320257,-0.564531791968903,-0.369868397448782,-0.191669653263562
healthy,-0.804430365955784,-0.167722163012688,-0.670591625840498,0.607595192315464,0.247676464733943,-0.381491486887994,-0.318406224447623,0.0464883308841934,-0.145211737233168,-0.394632540691298,-0.271215162492804,0.563924955591057,0.512016359224777,0.0515586128939181,-0.718736143674852,0.0783324180313013,-0.119596423545642,-0.777339880307048,0.375711036794103,0.611503843116809,-0.360884718848967,0.193324153581194,-0.414876879659837,-0.615842168707069,-0.639826114428685,0.0399633370601285,-0.698431246966517,-0.258822516078672,-0.700407344206781,0.21042019492326,-0.763433088210315,-0.430635079078291,-0.383451944110374,-0.575668358172601,-0.510318434890938,-0.119807711307237
mild,0.159846357902774,-0.487309103907147,0.113568670255612,-0.50407548627877,-0.309768204476809,-0.0207076388256685,-0.375132743346741,-0.640574462315422,0.0499235883323006,-0.0065387221778054,0.005858729332987,-0.358584298838375,-0.468470146839675,-0.0821862157763014,0.154921587269591,0.0548893386657202,-0.621541287648062,-0.152853420832377,-0.452352680584038,-0.523345069582737,-0.209499628026554,-0.409637439794627,0.0491013370810606,-0.0273501224472433,-0.141778879219966,-0.443124398122382,0.0107555691530601,0.0052516104803331,0.0763238587724324,-0.55384028442149,-0.443443546254625,0.133125778400937,-0.287176645422297,0.018250543587643,0.0458057405101895,-0.0403788958267231
mild,-0.681288690728183,-0.380002926139094,-0.51642971775439,0.138894087283733,-0.240596992085874,-0.311907051163447,-0.455051279188858,-0.362727608864468,-0.574969953705994,-0.312190844143358,-0.444226836665967,0.184768558307205,0.181070544463608,0.0510151508503958,-0.457931005546075,-0.322913193284761,-0.132024000648147,-0.612122806907991,-0.0401800557847281,0.0615289429500045,-0.0959614939394701,-0.0574229674347774,-0.350497863551137,-0.312691963361486,-0.459023279188603,-0.438531200008895,-0.459977264797551,-0.156652867835886,-0.498281194128245,-0.158521175863239,-0.649953182585061,-0.419734591650947,-0.473636934909528,-0.58361698218631,-0.336097470810846,-0.139665183652095
