group,CD101,CD11a,CD11c,CD123,CD124,CD141,CD154,CD169,CD195,CD2,CD224,CD226,CD26,CD303,CD305,CD319,CD32,CD36,CD366,CD38,CD4,CD45RA,CD49d,CD49f,CD5,CD52,CD54,CD57,CD58,CD95,CD96,CLEC12A,CX3CR1,FCERIA,ITGB7,Ig,Mac,Podoplanin,TCR
healthy,-0.665625231010047,-0.329274091330913,-0.670885365616439,0.718207881492279,0.139579209506439,0.128305661698383,-0.162461712581335,-0.320892094383514,-0.0042181706978228,-0.104720104799788,-0.212847968725822,-0.135743445075426,-0.037536225186942,0.64298132218945,0.678513999478595,0.0957226316642617,-0.548061961509019,-0.0877722668230657,-0.663905028790434,-0.0293470874390355,0.392970356707372,0.79485658563183,0.0625996103154537,0.102849807765342,-0.04304008271656,0.0465136683131671,0.334914131173208,-0.0152506106704915,-0.49646433608956,-0.445044609289974,-0.166242250912122,-0.561124499687052,-0.336613747385394,-0.471658172394125,-0.21332728302738,-0.318684340521649,-0.155361436450114,-0.282610677082145,0.0192869668179116
healthy,-0.774154187792918,-0.324304926605013,-0.750560832229212,0.50373157284509,-0.484764225197136,0.0656647899221438,-0.610427145401586,-0.512891293198948,-0.34683050634848,-0.423227589210074,-0.717454447642911,-0.634121776005751,-0.400834979480641,0.496637749653871,0.40006781112934,-0.207699909494754,-0.748639675847285,-0.000401728554282,-0.705554336900867,-0.365951438276591,0.106656006286916,0.397100962185821,-0.108735934921782,-0.690640469916364,-0.588518683669928,-0.20432076555473,0.0260032024746631,-0.436827007604431,-0.568672015152586,-0.722221318419571,-0.513173927962509,-0.726624548844752,-0.730484704223708,-0.474824153284619,-0.650914885482998,-0.4779718976043,-0.601103716389488,-0.633477150021322,-0.609655538116556
healthy,-0.614714835155766,-0.263939655368292,-0.775210027975436,0.720371972502635,0.0563843759496493,-0.104809966204701,-0.231920005671259,-0.072647464173758,-0.31456278095584,-0.27387982792105,-0.347042811860406,-0.377665111210926,0.288738254923912,0.657315604107692,0.632054393780491,0.137500984112904,-0.72879073232527,0.308701517911831,-0.693567995655364,-0.333957248866654,0.372356806162371,0.6033031699093,-0.188305488540005,-0.180753246656436,-0.357930184488306,-0.37085166590338,-0.153257975124015,-0.287318683035865,-0.476734511307757,-0.411842725583369,-0.172834888471314,-0.578839741916581,-0.520876119538521,-0.737867015507286,-0.558838457864502,-0.0528636056522268,-0.169625420802009,-0.193151035443441,-0.169805870894235
healthy,-0.671710984098899,-0.535471037524982,-0.720524592970067,0.609893486631729,-0.140630694795486,-0.14006598417182,-0.38254153024284,-0.333950879382286,0.137906656815988,-0.370194869057949,-0.542069017930269,-0.593353363789402,0.0905768192378249,0.628250441496559,0.575982538375291,0.177958385231654,-0.684105196077232,0.105833378109099,-0.744988043140781,-0.396405476844655,0.0141580008579653,0.521730990050016,-0.262614057647542,-0.433364989366637,-0.530972405825771,-0.575496218088375,0.121793449924497,-0.483937373457176,-0.708106220883482,-0.717978023982647,-0.332756203282824,-0.618145361294633,-0.593490635179989,-0.528098449502136,-0.513783590545294,-0.46668127003399,-0.375595218019226,-0.601526537913022,-0.531211089095977
healthy,-0.808930619514547,-0.243339966907467,-0.72923843924912,0.761206769551821,0.0360644895864256,0.181386770945814,-0.047509151020673,-0.229275538059035,0.101352385454124,-0.418421266102337,-0.294707474303069,-0.298902373220617,0.249216550246505,0.660854922579391,0.700798728772337,0.35013500420297,-0.250482031007851,0.206149213580016,-0.745906129866101,-0.167949260643375,0.477643892563475,0.653993994845867,0.04705912925176,-0.0996568071772189,-0.25418769678369,0.0072993080535397,0.0181137439442327,-0.0464933181287651,-0.497517513197031,-0.661222215589584,-0.227178796489967,-0.694564997371185,-0.493937130496997,-0.568904773839755,-0.3317280409019,-0.228818392848504,-0.17653707398033,-0.3651176863949,-0.160588631638357
healthy,-0.719497218472951,-0.357578419828768,-0.760537885684453,0.612112189089635,-0.138081583509395,0.229095147077779,-0.314452510295916,-0.089539774652548,-0.216664361100105,-0.333788776105828,-0.473518672046732,-0.273181189269056,0.0680618906088337,0.662186641370338,0.560237866240335,0.346237884843343,-0.733780211524828,-0.176057616703678,-0.611855934847753,-0.162868165929201,0.153955867816519,0.594474319106802,-0.342240181943609,-0.246782934276041,-0.400064826543197,-0.509381937399557,0.0098446227726096,-0.119964693190224,-0.651540212914235,-0.731632509460583,-0.363144735785417,-0.703361761850103,-0.238234493028172,-0.698264495327603,-0.666557708752468,-0.223555272130865,-0.154375483380211,-0.429791545319976,-0.135867931861048
healthy,-0.699730788762639,-0.226715611345542,-0.751272705443942,0.663545318954178,0.209021575865688,0.169559184396214,-0.169269018824433,-0.0699629066904363,0.162870480688478,-0.444205159681765,-0.293771978525329,-0.281927408882158,0.313773044107161,0.680743761290552,0.681175414203774,0.112021069482746,-0.63950838049536,0.0486444327686575,-0.704705876818919,-0.313389692541942,0.511435262338341,0.61361182878052,-0.129905081367195,-0.132573319897526,-0.410610742740216,-0.266785844059137,0.0154441668953209,-0.0955157743402889,-0.521175339029133,-0.602600053684026,0.0325882799450132,-0.632739602668334,-0.352651957838844,-0.526536762261977,-0.624094881153378,-0.262311544480617,-0.164974936368452,-0.349694161587472,-0.142274922118357
healthy,0.694013213451373,0.190590278067288,0.709906866609676,-0.880871563469265,-0.125182038026002,-0.211333826374037,0.0641940489203342,0.196385883872052,-0.164137398621199,0.233298546335771,0.38754245508528,0.240843409613867,-0.131768524516526,-0.824810189045912,-0.740254557179919,-0.376907457228446,0.529372195352766,0.0684365198930393,0.60606152406215,0.246875843006783,-0.48326935956758,-0.748105959689429,0.0623635928497013,0.285898510142472,0.105115977689772,0.0970865766061546,0.0702802682080417,0.0082859107350816,0.296001334076559,0.530096226679377,0.0041084574556736,0.584418239693473,0.322791328728246,0.251552141530716,0.258938953878071,0.0462611976675527,-0.0023240817032521,0.0790009945666242,-0.100146494698606
healthy,-0.73848552647251,-0.441336750057264,-0.804066370923621,0.767781025499819,-0.0783481549640591,0.301253634176315,-0.0549383541978087,-0.254943191704401,0.0607950697516404,-0.564622575457374,-0.540291230304448,-0.427787240339126,0.116964104995366,0.826779915509679,0.652993917998249,0.542487330820912,-0.703337738572239,-0.0794847987912201,-0.656693044134825,-0.195348595142213,0.725447185272418,0.780709182041127,0.130998352105028,-0.583108344344413,-0.263908519509628,-0.415321014175466,0.158685700676245,-0.0788033139453744,-0.614322089334117,-0.73482108355112,-0.135576204017999,-0.723592945154713,-0.461323973646863,-0.740438920841583,-0.492769789315481,-0.244294963538233,-0.141066799735644,-0.326217364105662,-0.148159377816505
healthy,-0.667079455579453,-0.260694537188236,-0.523196486603745,0.277747319192516,-0.382403437476429,0.384331908045821,-0.173488805177082,-0.258708301639594,-0.310892213251219,-0.233182504315536,-0.164499119956347,-0.38249565919753,-0.0195481829545826,0.244857317851101,0.0530178172038554,0.127695345912894,-0.595244548533233,-0.162243210236336,-0.338623040105299,-0.224245005291546,-0.0139424017560312,0.235024429352725,-0.0453544650021991,-0.416346120490859,-0.609563717811704,-0.514294110992806,-0.100274978770139,-0.176750859354814,-0.445057135290967,-0.547423634814247,0.0606080636817839,-0.49807452980524,-0.39420952709099,-0.107292803592422,-0.646913530738254,-0.0509960505321111,-0.299235325282811,-0.415848990617454,-0.0504850104250622
