group,B7,CD101,CD107a,CD11a,CD11c,CD123,CD141,CD144,CD154,CD169,CD195,CD2,CD224,CD226,CD26,CD303,CD305,CD319,CD32,CD326,CD366,CD38,CD4,CD45RA,CD49f,CD58,CD85j,CD95,CD99,CLEC12A,CX3CR1,FCERIA,ITGB7,TCR
healthy,-0.240315071946639,-0.771647876388094,-0.358528494472634,-0.393846780391913,-0.78592752020589,0.76048610707431,-0.0388077799753777,0.135520369821962,-0.283037841809883,-0.445788795816388,-0.187122739011753,-0.139994857082513,-0.456926846632328,-0.301904123130478,0.0838129430011465,0.675208638076706,0.522054065969753,0.203076779637386,-0.518218173438925,-0.334516438799416,-0.693101062142558,-0.177648475940248,0.283985651236804,0.751689348695272,-0.0923102189442538,-0.724017740748906,-0.102790344353973,-0.615145654773249,0.121180607501986,-0.791219671293597,-0.560108940840064,-0.638098471763501,-0.332645932856254,-0.0281706606249496
healthy,-0.30461268824756,-0.697897645359426,-0.229386543227437,-0.144145907339231,-0.614668000452242,0.658870310547443,0.0762230213059581,-0.154604745928286,-0.480750590572724,-0.31176544203434,-0.210244478452682,-0.426696667810157,-0.47823047298174,-0.484426947770524,-0.223224218218233,0.619096794449852,0.473358682738093,-0.0887702020840448,-0.599730376925894,-0.308098480297447,-0.461230414666362,-0.122898974129136,0.178724202110331,0.410088376433858,-0.516259178387863,-0.36594068857014,-0.254058853793268,-0.522246923398635,0.315663168540573,-0.486256260003942,-0.585694190507219,-0.300601426469192,-0.484209229518223,-0.381254862136749
healthy,-0.139111162241902,-0.76087123606025,-0.0426300228865729,-0.443938691899807,-0.683052449136011,0.491833518315361,-0.288432904772624,-0.107460073264386,-0.126644765001672,-0.20428336481319,-0.240923425289236,-0.414865053098742,-0.378743543607454,-0.438149389927971,0.191627671530145,0.626322502244272,0.573891598123133,0.138013394615416,-0.641037150659518,-0.196737068344327,-0.720902827583464,-0.437973491455829,0.443506468809863,0.564552327428166,-0.232755302927722,-0.457188811171733,-0.184751027828923,-0.531328864851422,0.315240727970238,-0.764911461743078,-0.582699103082381,-0.65703041039479,-0.625711256719302,-0.24934268945764
healthy,-0.105537379433069,-0.781495171020693,-0.192748634857922,-0.37472745426602,-0.785163871957435,0.787862148462992,-0.058035751762829,0.0403129435509426,-0.17746702557518,-0.283779043945982,0.225769685605959,-0.244529580679732,-0.3776193414546,-0.289165700963595,0.210606322398094,0.808151562228856,0.662909000016444,0.445554218896201,-0.750250159193339,-0.143206731216825,-0.715880011216184,-0.190575249402293,0.19126976499991,0.732955750329221,-0.208089446698317,-0.533388162129854,-0.0532872073040837,-0.678359406152215,0.219618985968956,-0.835734619244299,-0.402069453356832,-0.629034805445159,-0.348149630073811,-0.226406787653295
healthy,0.000491532441502,-0.634157413864586,-0.0173225324881721,-0.361161676263326,-0.687257775632385,0.703405524860452,0.186597576873582,-0.0427126332038496,-0.19194348141196,-0.239541256310244,0.277866003069405,-0.389322314553014,-0.489266486386954,-0.433857059979922,0.146280304804984,0.81409764371625,0.530651231228906,0.305529411224886,-0.226512697094635,0.03339250112958,-0.503744036866375,-0.209879011621108,0.522849025197798,0.662323813096009,-0.243669936394926,-0.490886699633392,0.0848294896775134,-0.537555715977858,0.433472827651644,-0.686939712387518,-0.215722975537683,-0.425470641342908,-0.0559638993208584,0.0959064531459444
healthy,-0.0332082133019168,-0.68450106357608,-0.264885790277239,-0.418945801395375,-0.590076596520416,0.59365108817682,0.0659516332496636,0.0124362407095267,-0.101365551556064,-0.100763079739851,-0.0845873133129242,-0.424778542906556,-0.373761529206784,-0.359998771616981,0.254651669710609,0.681515332523851,0.603205261913852,0.345508707128685,-0.732225592432614,-0.0205787259188175,-0.811048240358281,-0.271486774021382,0.334975681556065,0.557626242977823,-0.240864009273825,-0.658074624239961,0.0130382237537056,-0.734605175271816,0.115782157319576,-0.727230698897524,-0.309955865741119,-0.683603086497747,-0.520420414236995,-0.208896945236361
healthy,0.0427253211595957,-0.622594662144669,0.195870464194111,0.0145334004262875,-0.576332626418774,0.820589664955055,0.384493659644088,0.0237898517504223,-0.0024973316751747,0.0492192462906055,0.331995434746389,-0.360273766900001,-0.211044276331665,-0.101061240161225,0.389656653211963,0.803888715430839,0.816681472648553,0.275630870815013,-0.574769541651941,0.0709633336309415,-0.560328386806356,-0.100926845774478,0.604647111828134,0.690339597387691,0.106235571869787,-0.270111725527249,0.168332629377536,-0.442644180805297,0.606349743791469,-0.520071700500134,-0.17881063473558,-0.312329815449281,-0.401693670465902,-0.0458588200278993
healthy,-0.144852878131916,-0.732163565233525,-0.20262955115555,-0.399709274806751,-0.78070649847631,0.790785346167962,0.26075246108591,-0.110728312355984,-0.0697594035020036,-0.31164702132457,0.250080390588362,-0.395462847124777,-0.487862569548243,-0.288603163114102,-0.0152906602027593,0.831672415399686,0.611768332435384,0.444467396608019,-0.602716485834655,-0.2247092551945,-0.695524880248263,-0.309313660206502,0.211874262264169,0.609383098331715,-0.458511981954222,-0.497353828701473,-0.193684433942522,-0.691856731280635,0.123567721597932,-0.719201456451357,-0.442451557742847,-0.555261754594756,-0.271037163648117,-0.283494102391167
healthy,-0.144718479982042,-0.691318903950026,-0.134388753615839,-0.439697139149591,-0.825636355972024,0.827513729468603,0.227557950246797,-0.172407374710446,-0.140795194736602,-0.215735571179808,0.0475589578803282,-0.538467494686711,-0.48616033371009,-0.32444096344136,0.101804516023224,0.809882651389288,0.728065471401849,0.526052174375806,-0.661038498071726,-0.211723658993209,-0.708192702691551,-0.373306062570139,0.697522805849851,0.84353339010129,-0.430682786488721,-0.569767945684497,-0.0152190384994601,-0.726080112200905,-0.0951807993588089,-0.731563117191891,-0.496036964106617,-0.698176701548919,-0.454666921679069,-0.118574908111775
healthy,0.162060914436929,-0.474450893687409,0.152785598872693,-0.193010648788437,-0.669091420860989,0.530178172038554,0.577051122972828,0.115871432465114,0.0583856555884411,0.0315406347427082,-0.115152221584893,0.0372277072020832,0.267241524077899,-0.0768669161271959,-0.081543848896259,0.615725228384763,0.650523113511665,0.0816806698892896,-0.359179822454588,0.224947723915188,-0.649964528803095,-0.0487089560674259,0.175380737878497,0.709660025555301,0.10854016639175,-0.275773851983099,-0.0874972381358199,-0.382459273481334,0.496973241540638,-0.578030529435242,-0.190448317497054,-0.221222275448293,-0.476624681582624,0.144108331996913
mild,-0.166751786461344,-0.606937987165021,-0.43704726896202,-0.0215166506493795,-0.539890690951989,0.489136186152626,-0.108805661398749,-0.182860128352998,-0.440959359135182,-0.295294296749777,-0.328790826449984,0.049626922629931,-0.463020127719235,-0.411771837658723,-0.229217945530521,0.298150623824064,0.270213178144904,-0.227734810586684,-0.609475608099232,-0.476763650852461,-0.548890398733245,-0.0038708472864173,0.300498662718075,0.296036961205354,-0.488322886586986,-0.502654802137542,-0.16734917417398,-0.549667169163771,0.0011783835838755,-0.439072988179333,-0.515124209706034,-0.292373654183588,-0.264294908991423,-0.297134153256562
