group,CD11b,CD137L,CD70,CD33,CD11c,CD45RA,CD14,CD16,TCR-G-D,CD223,HLA-DR,CD1d,CD206,CD303,CD38,CD30,CD269,CD324,CD35,CD178,XCR1,CD106,CD267,CD83,CD124,TSLPR,CD204,CD144,CD36,CD49d,TCR-Va24-Jz18,CD158f,CD336,CD307d,CD319,CD138,CD99,CLEC12A,Phospho-Tau,CD150,TCR,CD82,CD88,c-Met,DR3
critical,-0.140416818377308,-0.0454144302473125,-0.0286578090482803,-0.254769392056507,0.277916727640471,-0.241204692253119,0.0720884861578708,0.0678153690589793,-0.116785944054073,-0.0880518777880818,0.229666625228674,-0.0642345004935773,8.45635454525345e-05,-0.0906020065387586,-0.405141597158044,-0.0769666984447888,-0.0321520117559645,-0.0989579422082631,-0.261378602689065,-0.0657575234372361,-0.0081181796963864,0.0070312418615001,-0.0517200861610969,-0.0609748571383909,-0.0456542209880768,-0.0880774826495618,-0.0335253422073663,-0.0348919091424742,-0.149475380551868,0.0894917772826673,-0.0353757375762894,-0.0540311224927339,-0.049269356757304,-0.0800559992412451,0.0621291547731017,-0.119848332163605,-0.231284250864168,-0.246368340365883,-0.0455466378844063,-0.0118467210601619,0.0205947587966407,-0.162353304551594,0.386661795984716,-0.0638168856206411,-0.0794747019114028
critical,-0.33193632808767,-0.264844258977336,-0.306870040789864,-0.419444633299028,0.190999608286931,0.674696427864114,-0.4707353703422,0.538173281542114,-0.214459080715776,-0.31800862299069,-0.0195738083848148,-0.55312335759074,-0.31339959146805,-0.27692484115521,-0.349632250628929,-0.31628994322383,-0.277676867461475,-0.261750074040853,-0.452185012994393,-0.329270609380897,-0.297975685406928,-0.297238175741143,-0.348364364897773,-0.258815635193439,-0.306379876713111,-0.269957841346626,-0.285401788617094,-0.275395106067584,-0.535682234636948,0.396928612586818,-0.255583889680585,-0.285174145671006,-0.289418161899893,-0.34175236358238,-0.191651539824263,-0.2170701778026,-0.357909124249004,-0.271896320985962,-0.284998995887807,-0.259815886960114,-0.371012414486253,-0.260271662370691,0.122007413632665,-0.30260231737393,-0.271517679056463
critical,0.0326904388102052,0.0247905924206036,-0.0381711010683121,0.122049828122065,0.252414817460208,-0.316472973690919,0.597548767360704,-0.0734253365141084,-0.0796574001182585,-0.126211790884228,0.181125456302162,0.271532634615925,-0.0142875179616611,-0.145679574388071,-0.204643252796915,-0.0824549585036744,-0.102875583335405,-0.0831199521282252,-0.058132336177734,-0.148492372041181,-0.0676321190646091,-0.0693755650274288,-0.0237336746150032,-0.152304388245275,-0.144400907075897,-0.110880965501088,-0.0552470585177393,-0.0871351000725045,0.319888356364229,0.0231199831223888,-0.0955249130727763,-0.154770823716022,-0.135955904694234,-0.123816879417107,-0.139805347787477,-0.175031693790628,0.128676745235505,0.119832467998688,-0.169980183022984,-0.123168081022511,-0.0292379226901587,0.0671325490494468,0.342471463065131,-0.0792258664350287,-0.126284559416496
critical,-0.364758515164737,-0.223948351244395,-0.096205541037799,-0.330522707606896,-0.331424851078829,-0.109196665146946,0.284395389817618,0.0505562416285813,-0.19827955814428,-0.133277208143075,0.352468837607948,-0.106594681792484,0.0224215649814439,-0.0856137763415934,-0.392748703697551,-0.202198731028821,-0.188904215814935,-0.0901356197027046,-0.40358869821028,-0.165640436731492,-0.2579715193236,-0.142333033079342,-0.132661000844321,-0.187921061896347,-0.101872199337769,-0.173130060813498,-0.042568639264681,-0.130283015025112,0.0144794969352901,0.328727982634809,-0.156147439541052,-0.11796517364013,-0.123266348818756,-0.237984317806768,-0.211922498050865,-0.323159778496668,0.108277901107218,-0.30321776320694,-0.248568293846617,-0.155013193361304,-0.386395803843518,-0.351373782764446,-0.0521970464509142,-0.134156446117333,-0.196335277565687
critical,-0.192371749951673,0.0058020110065768,0.0208840949327911,-0.12318938364441,-0.183010325658876,-0.0199454166341776,-0.262901049276473,-0.0390125585873741,-0.0323372441745761,-0.0567190961007121,-0.212329801563754,-0.124429244966292,-0.0375447503019991,-0.0302784922344496,-0.0810281895805631,-0.120303554382008,-0.145059413603696,0.0309044113096821,0.0649526323812467,0.0663205932954783,-0.0241794859551274,-0.168901735676965,0.0644025699321008,-0.0131714153141251,-0.118719180592549,-0.158767573504213,-0.127964455438729,-0.0042528608119633,0.0203033329611864,-0.103930512979758,-0.0887969862583231,0.0503084849066645,0.0005404192217432,-0.0656273639323675,-0.115199595437295,0.0235345284944567,-0.0040586325926462,-0.0393583131865724,-0.0937915470551651,-0.0467057742944477,-0.0982575219946437,-0.0713090306032376,-0.149458229750203,-0.0703830029367342,-0.117675169190645
critical,-0.0706179456077533,0.148658300869416,-0.0761407499053915,-0.377052831745965,0.462607716550817,0.2804757532569,-0.193163054984849,0.353839234957369,0.0353771081084296,0.0283000299325125,0.323120609158669,-0.268393447323154,-0.0076081704063109,-0.0312755895036415,-0.267716706415138,0.055262600616356,0.0469615558942321,0.071255618602933,-0.356502896571751,0.0519100113697173,0.031744353042037,0.017972151908021,0.0734766574137074,0.0503969512490922,0.0488366910925427,-0.0292901339864517,0.0925038243152853,-0.0248750825142107,-0.389035598713059,0.269103464230754,-0.0111470088176493,-0.0022627712923614,-0.0025554380994936,0.121506580542885,0.367805843869791,0.0747229763597269,-0.577018195526562,-0.0082286146410814,0.119632649245449,-2.81979363238988e-05,0.142817923492529,-0.165786499902535,0.556868348632194,0.0980970159013966,0.0175971876477901
critical,-0.0245976276847253,-0.133562416375037,-0.266538240943875,-0.124342404550085,0.100153334403177,-0.408129472491798,0.148309054557727,-0.0638694520982204,-0.253006266918366,-0.274673700771348,0.279822886445346,-0.0198810304763889,-0.212804831457058,-0.276481377531,-0.192568856749371,-0.226866148945039,-0.292899609197647,-0.202000324233729,-0.298028872334697,-0.213670289445568,-0.276125512203098,-0.264431708996115,-0.175203899241452,-0.137385119177127,-0.261554592076176,-0.209841641975957,-0.274691867705973,-0.24342164623281,-0.0803079540705623,-0.0249409143247135,-0.257194536228034,-0.250043763305155,-0.28924150418751,-0.24779891540985,-0.168922284457882,-0.227009491354972,-0.274590587692241,-0.275936208861631,-0.261823636183713,-0.166619428008565,-0.200090735417117,-0.268741919320216,0.0903046984921092,-0.264460896740251,-0.237625960526714
critical,0.0081713999301587,0.0055082606835853,-0.021607156307667,-0.0601583676085891,0.337674618423522,-0.211036359043763,0.204766733470136,0.0101333797197138,-0.0805705486875596,-0.0583122475287002,0.2006268502144,0.0831372799623763,0.11634941641845,-0.0622758699438168,-0.229843714431111,0.0064161070939937,-0.0435304764798051,-0.0970020748051948,-0.300302279288775,-0.0255079526267567,-0.0772401793829956,-0.0084619068120821,0.0266058357022519,0.0173833022787688,-0.0910729720305748,-0.0948322101761763,-0.0767404994894342,-0.0716597705273728,-0.0811577858124662,0.163557326904441,-0.0752171050927899,-0.16076206901063,-0.101070283524881,0.0200508008044597,0.0421810383621375,-0.0270382277126428,-0.265002115811587,-0.248908661227589,-0.039611340329067,0.0115869608119619,0.0884356713659672,-0.0224558646625078,0.241895616590596,-0.0477879365730715,-0.0474290535618804
critical,-0.0650873164773525,-0.197780055400642,-0.150681612101263,-0.122014960094407,-0.0276170801135104,0.146815109312915,-0.359537148777086,0.0774954277179052,-0.0635938713273014,-0.153927341751641,-0.17827591834421,-0.251825708977732,-0.152604182384101,-0.103113010427042,-0.166591842374363,-0.168300682638554,-0.125825015833693,-0.119003957839157,0.277925472160455,-0.0840793381018296,-0.14563543620963,-0.107670383957399,-0.223469150708699,-0.107177094565257,-0.147014530913165,-0.120463180717296,-0.197894665176981,-0.1724123542574,-0.278232377594903,-0.0078191425380161,-0.186557319024265,-0.184280405476284,-0.180395461196713,-0.199381993341004,-0.150387479528345,-0.0826062773748738,-0.231432619191957,0.0370137981310311,-0.120042133390397,-0.168544779923388,-0.227600053626714,-0.146536542253446,-0.327894186682967,-0.0635482737387909,-0.0866585372465933
critical,0.0653101670578023,-0.0379455926002582,-0.194816770291645,-0.0550343614060204,-0.0799966582472433,-0.335690546894226,-0.435948773558353,-0.197810199948106,-0.158140461784703,-0.166791894004891,-0.167232482322587,-0.302321138503643,-0.179881954557977,-0.251103374485034,-0.0765409269648035,-0.0582782583249386,-0.222072465660777,-0.161160114716417,0.0704101401816256,-0.115656756965974,-0.127848456176864,-0.182873120491163,-0.0871150310834634,-0.136541450390108,-0.257731539770232,-0.141882054519059,-0.235706791874319,-0.240433078634457,-0.273732252806843,-0.410761806873361,-0.172721521408977,-0.228330789546403,-0.190523050240304,-0.157345182516431,-0.160285677060016,-0.112372136725116,-0.463930229565734,-0.222390748066684,-0.0982389621380031,-0.14178103454378,-0.112293085033117,-0.0670637409627715,-0.124127591365575,-0.131340244839464,-0.157477275404386
