group,CD11b,CD56,CD33,CD11c,CD45RA,CD123,CD14,CD16,HLA-DR,CD1d,CD39,CD163,CD38,CD49f,CD107a,CD35,CD11a,CD54,CD62P,CD41,CD49b,IgG-Fc,CD36,CD49d,CD305,CD99,CD85j,GARP,CD82,CD88
critical,-0.0981526304901858,-0.0117975858914665,-0.113861177436637,-0.006895921260249,0.0795313056308061,0.0639228811975282,-0.280829794961513,0.0971765365717795,0.0262743210246791,-0.145814021602574,0.0755561086836605,-0.159412009359902,-0.120206136488033,-0.267511788521857,0.246782541888783,-0.0322066481449688,0.002809679022787,0.0632507070364746,-0.243615663041442,-0.265151445641145,-0.201866923369521,-0.194804948129318,-0.1431369892222,-0.0900515840939751,-0.317430049526953,-0.317631679611579,-0.143399066713094,-0.190975221538738,-0.142133070758529,-0.167022373309497
critical,-0.470862661172546,0.179782212307898,-0.503695388064026,-0.128925372584714,0.255994319783204,0.204918429537503,-0.693535368425427,0.262698532442171,-0.347013996172959,-0.408690322326435,-0.519560566340467,-0.0489538607794507,-0.480832806240823,-0.15697269344588,0.289180825882898,-0.170790842211135,0.0670781525596887,0.233477525910298,-0.0454890227602176,-0.224427275556256,-0.301136828948084,-0.10265903690698,-0.483001921093622,0.293430886518834,-0.291004877504098,-0.457795730781914,0.0807358790706571,-0.150137584495154,-0.228442936440228,-0.202343011640119
critical,0.171139697760806,-0.18408560415983,0.177979249982668,0.0518280012934443,-0.195280696154254,-0.044304512976099,-0.217680495636377,-0.290549245953507,-0.0404734772052688,0.147931294706201,0.313737572489183,-0.278053459066787,0.169022762710382,0.100846889161342,0.366386153065841,0.338471236955636,-0.0415305469872182,-0.177033357578546,0.150810019761161,0.146451830125814,0.135532886053759,0.0194053234238792,0.0442212347023215,-0.332854413083371,0.0422244319071708,-0.204053877443282,0.0388424854848282,-0.0240395086149573,0.104760209441294,0.0599649625458644
critical,0.238991353041914,-0.0798712409016356,0.201271732345431,0.280420469561225,0.110444261395249,-0.0377600253812551,0.0494312968729311,-0.0860800128501473,0.0982331156487072,0.0954239435285495,0.213117656315329,-0.701527593976837,0.112152687289842,-0.0256457974778494,0.194686026305667,0.0655839684405745,0.0259024554852884,-0.123404602169326,-0.200128207712781,-0.120060327385157,-0.120987462144458,0.0919901153338222,-0.0549826072445885,-0.201632646090439,-0.0706331126973103,-0.202266405124281,0.140591232454527,0.0501423484999669,0.131592285485035,0.194433510926485
critical,-0.155817445447117,-0.087295648384474,-0.22199466221275,-0.125994241936116,-0.0393651990860802,0.091154190588024,-0.0808842347456634,0.0249403454398543,0.0605732891646123,-0.19247445583646,-0.100467472501192,-0.253795920187109,-0.155993747290252,-0.259278921963429,0.209338389565987,-0.232239536529374,-0.204945242598342,-0.0984465388497829,-0.332810909381269,-0.272558066803353,-0.214566348090769,-0.132597363842206,-0.167734694027849,-0.0097221657367448,-0.191093797197638,-0.253809799927345,-0.110404347320828,-0.222536376559036,-0.107145484537007,-0.0695332108342884
critical,0.254565067676869,0.0244463881800579,0.0053673142959762,-0.170106196880871,-0.0574995835622213,-0.453809412454667,-0.0135855865186544,-0.264153831561715,-0.525981424859092,-0.100942983994171,0.0286937774605391,-0.280382369311153,0.16963037785604,-0.43419274701379,0.373912820653318,0.211650414152095,-0.37669889094147,-0.516455118135743,-0.489271922145156,-0.496642307627399,-0.465652725394492,-0.144795252972009,-0.128706909400282,-0.576264256979151,-0.51152555573044,-0.0876039484168374,-0.310115957161606,-0.289665222814924,0.0534354170234836,-0.191329526264068
critical,-0.280141105602746,0.039822948594989,-0.220224188274972,-0.178316767851473,-0.0148795411610243,-0.0719529977144237,-0.455424538418436,-0.218208828992721,-0.0533338793464209,-0.237057059412095,-0.0477704419745007,-0.549708873867926,-0.168147435714263,-0.21654892837979,0.608472742726201,-0.163428505560579,-0.241654052240717,-0.124632299013285,-0.273892097477882,-0.287992910997304,-0.249278868596026,-0.326542591125801,-0.0940870444570686,-0.137699052065683,-0.430962674324235,-0.446063520927997,-0.0866866442300451,-0.186139152614823,-0.14380756214343,-0.205466885265065
critical,-0.186146466225902,0.0357745108635356,-0.152402025748447,-0.102977881028798,0.019177122606405,0.0390846597242418,-0.310481898143794,-0.221303602463002,-0.0833436437650874,-0.225717779938623,-0.144490476470062,-0.49081272053663,-0.131305966440824,-0.164692309881431,0.33768515841114,-0.243675308866476,-0.246282451746491,-0.268283017281859,-0.20756053499174,-0.16167164803697,-0.187938864647245,-0.123150854304528,-0.108262450669574,-0.141261661157662,-0.394766808685197,-0.334691246373578,-0.102870735915942,-0.0431000172915936,-0.179676821031886,-0.251676627456847
critical,-0.229525337641522,-0.15017910494175,-0.202823123327671,-0.137576104846062,0.119225104413561,-0.0130739005690709,-0.581380742075118,0.163480576476937,-0.196721941550561,-0.344498707683195,-0.179465952822054,-0.230737197868907,-0.159524155903805,0.193666450987325,0.553538893771167,0.331695804815504,-0.141469410728079,0.437915898393601,0.378729090032498,0.240308534751394,-0.0933967331877415,-0.265064802002756,-0.142239977062159,0.0537673494395756,-0.319194901735481,-0.481300576272564,-0.142445571757375,-0.0310556786116529,-0.0900171429935329,-0.409490477782376
critical,-0.0878287028294065,-0.0083564325224995,-0.160487746530857,-0.123214628139143,-0.184563361260655,-0.237792307127798,-0.341238966497692,-0.131191959708243,-0.149725779189036,-0.349890237991801,-0.0250817745491952,-0.536366445708366,-0.168823916166762,-0.401043738331773,0.515085607538809,-0.0697600640817144,-0.228567920087605,-0.26660515671841,-0.382955201872252,-0.395942430003027,-0.361989150354335,-0.384207098605991,-0.287045035182811,-0.366583872650155,-0.493323144916496,-0.505154273315449,-0.149943498916306,-0.315597163281482,-0.102354937955601,-0.121580050110401
