group,CD11b,CD33,CD11c,CD123,CD16,CD31,CD195,CD32,CD69,CD95,HLA-DR,CD64,CD1d,CD163,CD18,CD38,CD71,CD155,CD47,CD52,CD107a,CD35,CD54,CD41,CD49b,CD36,CD49d,CD305,CD99,CLEC12A,GARP,CD82,CD88,CD224,CD258
critical,0.0666323820397256,0.0836842849804143,0.0564067541994738,-0.178584502218318,0.190226817488761,-0.120111662331703,-0.235786312240304,-0.0490716540287589,-0.22979422682651,-0.0281541502245085,0.0633171804798285,-0.0999712570643301,-0.353448123724612,-0.364318786973911,0.205700337028823,0.0620733105695109,-0.237245351823102,-0.175751338428028,0.0013751570187576,0.051164043988979,-0.000339415116504,-0.0050320835396461,-0.0338783473659932,-0.200601749084641,-0.215133968369451,-0.0394413702135773,0.0216188108988438,-0.243328100115269,-0.106180431118785,0.0212866095077117,-0.357719370577919,-0.153178689684947,-0.236223619682254,-0.0633795600142937,-0.281925622661255
critical,-0.13773655154617,-0.237150003803686,-0.383758191705703,0.0012743878223358,-0.0205532088703859,-0.29076576760501,-0.090762847536644,-0.267452310953465,-0.0430824410614014,0.0149165246864614,-0.374485378907704,-0.0735719146324085,-0.186186243143587,0.0603101993930073,0.133353903235537,-0.118750212042973,-0.114352139870942,0.114270182662445,-0.357627434619192,-0.247390587582631,0.301334048935691,0.0307421946853529,-0.0914628237807619,-0.381780979088895,-0.242404666218965,-0.284227495962182,0.0021337170257452,-0.302141051044245,-0.13714972757966,-0.0493652244446051,-0.0875437103340722,-0.0139726903848518,-0.331245664870949,-0.0649245016413613,-0.0872750315497905
critical,-0.29043744127319,-0.341147003753183,-0.195022958363652,0.254763385525679,0.255666437990069,-0.274002901863401,-0.129850796321959,-0.16940068998709,-0.184653078747358,-0.282549768625902,0.0538835550140756,-0.251261670143523,-0.331969231186607,-0.330518373037813,-0.157907754539378,-0.186892392658229,-0.116546302323458,-0.2710013706781,-0.155905631403595,0.30287567125978,0.0413180163150891,-0.285120660321547,-0.0469697285065258,-0.226477930623755,-0.244425207157355,-0.302848079865182,0.13282084698216,-0.291831018757634,-0.190079805974884,-0.192587289987459,-0.194070639785767,-0.304596531680564,-0.347680699095937,-0.235696383671336,-0.0602521542326775
critical,-0.200178382849972,-0.173340967588159,-0.382278350571429,0.155030746375693,-0.130243494757486,-0.23742152734065,-0.309612840334515,-0.448918233531811,-0.126422487130989,-0.238401329312341,0.029481140679066,-0.0919509279057434,-0.258452841753716,-0.0624297616088307,-0.114657622957663,-0.349531405136765,-0.0724965550280486,-0.111014434638988,-0.0891387542099878,0.0917717247183262,-0.124535365763646,-0.134201264787768,-0.115392635499732,-0.305330569418651,-0.252651486886831,-0.0666633914473535,0.0340808064766922,0.117922767647234,0.02902883527215,-0.144323484665668,-0.416725708489962,-0.22001055163576,-0.338764596475721,-0.306568325344105,-0.297332608457791
critical,-0.223454816329341,-0.258353831648183,-0.193051248716588,-0.043563346213922,-0.0662016339409983,-0.183440570674461,-0.252283523171839,-0.0252829099973339,-0.205717103074022,-0.233224064715145,0.0290305854255252,-0.185890645751245,-0.116242745133267,-0.256267996875544,-0.208997072473422,-0.109770583218017,-0.0009875793197791,-0.0804284889997193,-0.11727745898577,-0.181979662864354,0.0970847235658983,-0.207391385214466,-0.0909700087661387,-0.0314993740769643,-0.0099183855815652,-0.138672565395856,-0.0621329955055784,-0.14267482288188,-0.223645618555609,-0.141030578625197,-0.0055068844819073,-0.146868596653741,-0.218702761929557,-0.0437664446090848,-0.210557539499332
critical,0.220353721177383,-0.0055273078610472,-0.345277341779833,-0.507266243471873,-0.335414878344587,-0.424891932950969,-0.0462332260799711,-0.301633045514277,0.207165713671754,-0.0155511571143031,-0.6463128557289,-0.109465162829144,-0.0460974560117887,-0.267554296561663,-0.173079834547407,0.24223706506297,-0.105996272370244,-0.172472565289643,-0.364161827959767,-0.406618951940899,0.22740212978901,0.261157160634378,-0.548127400399011,-0.425899246595393,-0.38983193809156,-0.0901481230318236,-0.610773579569228,-0.503482453568195,0.0491682200206653,-0.262940401299012,-0.23157853589231,0.0763272683865532,-0.324443145075177,0.114311069198133,-0.0308197002974444
critical,-0.255084532005085,-0.256489530238496,-0.110609502126231,-0.157561607949706,-0.258733353012883,-0.391306299973731,-0.242821527813415,-0.0356341855792871,-0.274914513620689,-0.256595337862528,-0.0550417457721925,-0.196856683499088,-0.295687552437003,-0.607465869325728,-0.291007374425086,-0.243552433549616,-0.27317978266927,-0.186317922393569,-0.501860050681858,-0.106034327881949,0.519242168703139,-0.187767988138473,-0.0832959959936618,-0.436175388971656,-0.393863374929577,-0.178034468642624,-0.23077252613365,-0.510996421488103,-0.548014720860617,-0.293773367106083,-0.283760172680826,-0.204920776738665,-0.161126233504781,-0.0350128277325971,-0.0558765639174272
critical,-0.0852087254175985,-0.271680592042446,0.118878463025049,0.044814683877897,-0.0992757304409461,-0.286616743726148,-0.0333534476416688,0.250270575308029,-0.0574491635114851,-0.184759292769473,0.158205833683771,-0.12910875747034,-0.0976388563281325,-0.166016700869471,-0.130355572838818,-0.239821427220567,-0.0456367610008312,-0.147920051859475,-0.113879071116133,0.101700550473201,0.107228428058861,-0.131829048743182,-0.0893975589115024,-0.155882650832847,-0.0733344291063542,-0.119035864495543,-0.0142125467867895,-0.224150305640354,-0.285775552909682,-0.192277611505148,-0.0242929265274759,-0.0589455870974051,0.006090778423662,-0.0774580644051694,-0.0247995881448541
critical,-0.082962154977672,-0.170745166906269,0.0789665403268346,-0.101794541322415,0.245554200257448,-0.086588746372774,-0.104453886365553,0.119037966603136,0.232802141169553,-0.0145110766101078,0.0418357598413439,0.10901818012368,-0.238550463183815,-0.247637448457278,0.233464922403415,-0.170328231734562,0.0758945178200906,-0.0925531123062066,0.0423999418105081,0.0342355068996794,0.493284826473818,0.180758618200026,0.392362151425953,0.221324916756891,-0.0467939470357278,-0.161417105724091,0.1340919678524,-0.302763915132092,-0.49451689763423,0.0457190380707513,-0.0651219338166776,-0.0453507347360232,-0.206171902863046,0.0508149536852987,-0.198374303259023
critical,-0.168975719417399,-0.243563893570598,-0.042345296220749,-0.141620423678838,-0.0469540021669557,-0.41891643460896,-0.299607018951919,0.0962959944642044,-0.206405695717934,-0.373619200791805,-0.0007458487912828,-0.251016775581606,-0.377223769228616,-0.500271642319662,-0.252490163705436,-0.333174463133742,-0.468433436137507,-0.280340616199613,-0.37796176564405,-0.0386918880223867,0.502266862760724,-0.200659393968577,-0.170685128860405,-0.449669495811748,-0.406902581421399,-0.255224189704074,-0.188868988867646,-0.552724309016555,-0.581818557204934,-0.270276883228682,-0.393409265480796,-0.210924499360811,-0.0589079256572283,-0.0823432218532682,-0.153826736223248
