group,CD11b,CD33,CD11c,CD45RA,CD123,CD7,CD14,CD16,CD45RO,CD32,CD69,CD95,HLA-DR,CD141,CD57,CX3CR1,CD163,CD2,CD38,CD71,CD52,CD49f,CD66b,CD35,CD62P,CD122,CD41,CD226,CD49b,CD36,CD49d,CD99,CD94,TCR,CD82,CD101,CD88,CD224
critical,-0.277876586735632,-0.28131221730797,0.221446752937622,-0.0210581993920157,0.0777507067163958,-0.112333036541816,-0.11701066040262,0.229862317022984,-0.15910936301416,0.0790257779115776,-0.0876754709334333,-0.272333291109557,0.536228901290463,0.0312082268032878,-0.218921349001222,0.182782525062316,0.138299939554222,0.001940446921928,-0.473590616421606,0.120614939223385,0.271111204912306,-0.038042812085603,-0.184452317320518,-0.564758104878254,0.0405968168159258,-0.0951459057146959,0.0251389767027402,-0.0128100082427415,0.0259104887622134,-0.232715783932901,0.356929280660142,-0.117391693422972,-0.102529686597776,-0.174407833967667,-0.278376347683471,-0.038547820296705,0.10414360770682,-0.290548112764992
critical,0.277096945560925,0.388321762688316,-0.28271227617064,-0.567096180367953,-0.388401158853832,-0.248160846731256,0.173303980347126,-0.647298107273296,0.0400247736878855,-0.127559673805064,-0.251657437682392,-0.0895879053008568,0.109767297740989,-0.299952263824564,-0.279427004506375,-0.568344796070181,-0.147764269619792,-0.107315545005251,0.177202251388445,-0.349738208930366,-0.233054242382398,-0.323721495966846,-0.246804333520405,0.381675249881602,-0.227508059713516,-0.28827325711921,-0.191146676610697,-0.381866000725627,-0.215935484254323,0.348524351691358,-0.470353628284248,0.0880268192395232,-0.335816484353912,-0.21234117727366,-0.101139295809803,-0.102745027262209,-0.533255705276485,0.202468691759955
critical,-0.436798618034337,-0.393642345257591,-0.291951762024518,0.331796898948296,0.269107331262148,0.284346472358113,-0.166757942478692,0.469826678718371,-0.157073783278999,-0.0704366761553552,-0.292836691955199,-0.36144152375715,0.165395366232147,0.110799374552112,0.191349011909944,0.174411730879177,-0.0063957858586602,0.380519179067752,-0.343522548075866,-0.066825325688161,0.355872244505526,-0.135765028990079,0.0296812975238822,-0.387856050048472,-0.133140695276647,0.332037196431973,-0.191511413868358,0.173087167583594,-0.189514546363826,-0.234041915721142,0.470088532360153,-0.0775280671919567,0.306765547596953,-0.144416016603224,-0.362668089808669,-0.103405517009668,-0.345359944532196,-0.32582715319587
critical,-0.444195324617831,-0.331266767213415,-0.477845386601309,-0.117979219192217,0.255486487233175,0.0386653747126408,0.111610377496831,0.0308457972135722,-0.341642404383782,-0.232783085678064,-0.154777718857021,-0.309119805241208,0.211655180412283,0.236221377081447,-0.45150697082698,-0.120635182181751,0.523495789343722,0.152316727945824,-0.39698343780153,0.0395975486382826,0.0651072851821398,-0.184482532364818,-0.294554131729567,-0.354587253766045,-0.0857884744740043,-0.0237218044215278,-0.120132854414415,-0.0723049428591615,-0.0851733669396197,0.0525596378497409,0.294677789590561,0.159567345172357,-0.058924596419277,-0.453633620736297,-0.347304194590413,-0.206242911375762,-0.250234083130594,-0.341043235152956
critical,-0.0799289537115008,0.0773232928855128,-0.0868380397963108,0.179603214213665,-0.045419288722148,-0.0530742062277453,-0.0679492560160476,0.0392128136408232,-0.134017206766291,-0.137941215138595,0.0943397289710692,0.103803917774593,-0.169603214431676,0.0130237238178908,0.0544105185636417,0.0018557910447224,0.121737215222963,0.0324299082314812,0.0291648603993483,0.104703184596254,-0.154912682698154,-0.025799209439289,-0.0264860008141775,0.0517112366451655,0.0455802267374936,0.0189900189044451,-0.0130871512528057,-0.0481973686056091,-0.0208040913822913,0.0167022903527851,0.0752700797525487,0.151640426450544,-0.0257192970144748,-0.0698031738611077,-0.0121326720062029,0.235111723214235,-0.12902969456748,-0.108713851840262
critical,-0.60037381026169,-0.339020572180902,-0.0372923902191191,0.0227908431884583,0.228480253373352,-0.0006757898149569,-0.443337664478711,0.181905960348536,-0.333296444153151,-0.169757369199942,-0.537063570774333,-0.40607373970138,0.412347899050946,0.191720805474937,-0.261245069731203,-0.0528619465306744,-0.0784882654883378,-0.0255029478400152,-0.48948284516517,0.167394559783623,0.0604276673339197,-0.0617478235230196,-0.214868474165844,-0.631730380789171,-0.0287635495230549,-0.0154804507806513,-0.0455201949350362,-0.0071760004601238,-0.0573286312536076,-0.331595170431564,0.448886419462133,-0.350639438149094,-0.0528390419323599,-0.322420541196562,-0.45135440527141,-0.189104825335875,-0.214313273528739,-0.297355975846861
critical,-0.382498904187866,-0.373569135476032,-0.162343291665981,-0.0747231363425262,0.259590006796417,-0.0732281993097847,-0.0075389285117176,0.0966915588894484,-0.0963509688826006,0.224099576178295,-0.359987215882622,-0.331545561388507,0.387389036066766,0.20490793630067,-0.130448076416435,-0.0356879473113932,0.0324324715730081,0.0735033531028135,-0.369366226285123,-0.410449451571724,0.163094183617357,-0.334037911927164,-0.156364928922581,-0.582232142386815,-0.311408945245232,0.065812392834356,-0.327127516521295,-0.139803263537331,-0.251457869857419,-0.0835699541559255,0.261169178090021,-0.310138221661044,0.0216245752148326,-0.300041773791426,-0.270310636786507,-0.124305295688099,-0.120758863688546,-0.293529572864248
critical,-0.362231578255107,-0.358628340341604,-0.266874026814245,-0.0571076068118446,0.218813004241393,0.0055498453364315,0.205442715393597,-0.0014941125205091,-0.161943712517413,0.153347816541607,-0.0806932634691278,-0.265038882920023,0.389739824391736,0.345189387906098,-0.263712105975756,0.0081583036463969,-0.0038888537899224,0.199897862119133,-0.376525085304773,0.0524256767182284,0.198635264859654,-0.255787723039784,-0.208382699053149,-0.213326148902647,-0.156996615076236,0.0921776942617989,-0.148758127204705,-0.0115735557893475,-0.0204400130563469,-0.023027430983568,0.228315015672058,-0.0545969689415861,0.0522576605544013,-0.311114432990606,-0.234555417811328,-0.0287961354358523,-0.0659755685773491,-0.204113916951927
critical,-0.0803336150106838,-0.153819496270731,-0.134367725052613,0.073793890214657,-0.0041258389190535,0.0743916456793042,-0.193024670509976,0.0283326360583139,0.0571562039232226,-0.133973537891837,-0.0694848891649601,-0.0817746834761518,0.054127538495193,0.0737504957461908,-0.174528203044586,-0.0582680156453107,-0.133076615771508,0.0796483301375697,-0.33262677635834,0.029303044475428,-0.066009221963927,-0.174398185508411,-0.193485028291169,0.0438170124767916,-0.048046692229478,-0.130755320365535,-0.0851052733904328,-0.090314224119455,-0.0972837114247299,-0.21099336725334,0.181165225159712,-0.174451367141506,-0.0564122360642023,-0.364506068760529,-0.151054028133708,0.0539145084019333,-0.380739529337536,-0.291942312358472
critical,-0.281313902533985,-0.237805771618903,0.10531307572053,-0.144506375160275,0.133628036761583,-0.180130589322451,0.226158932779301,-0.0257410814092207,-0.0812465018051618,0.0405155340982139,-0.234583426785814,-0.288842638408734,0.354510520945713,0.208174416255594,-0.288352520427528,-0.149247329114457,0.0075808990903688,-0.0783399772797049,-0.536417715947046,0.0040087180066774,0.0848763878858891,-0.243547040060338,-0.22583801339714,-0.303081376055433,-0.183064921959499,-0.0765264673886548,-0.194356234554785,-0.157482977620652,-0.131985488216553,-0.0173622153174616,0.314632929459015,-0.225415006635085,-0.129386676435738,-0.237862301557906,-0.286229763586727,0.031549056016227,0.0302289382010096,-0.214789604484196
