group,CD11b,CD137L,CD70,CD33,CD11c,CD90,CD117,CD10,CD45RA,CD16,CD45RO,CD279,CD31,TCR-G-D,CD69,CD161,CD152,CD223,CD95,HLA-DR,CD64,CD1d,CD39,CD206,CD137,CD163,CD303,CD18,CD38,CD71,IgG1Kiso,ratIgG2bKiso,CD155,CD269,CD49f,CD324,CD66b,CD35,CD178,XCR1,CD62P,CD106,CD267,CD41,CD83,CD124,CD226,CD49b,IgG-Fc,CD36,CD49d,TCR-Va24-Jz18,CD133,CD209,CD158f,CD336,CD307d,CD138,CD99,CLEC12A,Phospho-Tau,Mac-2,CD23,GARP,TCR,CD82,CD88,CD224,c-Met,DR3
critical,0.181202739017319,-0.381336441531862,-0.479141690139209,0.0923851967845416,0.412327115365771,-0.440168045314522,-0.474264614997601,-0.47065015229381,0.357290496215018,0.266688527616264,-0.0865156648501484,-0.396533534190977,0.0200609140972811,-0.43105462575888,-0.24343404956032,-0.464413067475222,-0.413166411201546,-0.442351774047415,-0.0812367929728747,0.369421940533716,-0.0986706364970358,-0.324088724314673,0.347160401385168,-0.417441053302225,-0.492554614715672,-0.398904318347425,-0.465018358952787,0.265893940824255,-0.0575575847946379,-0.289223344410625,-0.39692795390127,-0.378732900616326,-0.274494933825557,-0.490290987105583,-0.264823344980317,-0.430988476048479,-0.335798934157661,-0.0731465896706349,-0.479880700056304,-0.47267749361015,-0.140858221720446,-0.415660707717273,-0.444173718541864,-0.0891561386717085,-0.426808748875978,-0.460788344099076,-0.295333281384604,-0.134810626441249,-0.141321757451051,-0.0212258494690188,0.157150438768241,-0.476319876324467,-0.464383691480693,-0.543334008949998,-0.4281596205803,-0.474579010669001,-0.424136514157698,-0.370827029596816,-0.219494037488942,0.006152775575969,-0.395930549931759,-0.41792147236707,-0.461731407501349,-0.327652009029238,-0.453123976261506,-0.172780776662029,0.0654445589285547,-0.0462335706341104,-0.460027998966357,-0.425688078821177
critical,0.270827917931608,-0.215664749948594,-0.212597811429999,0.445231705268263,-0.198443952965777,-0.153831435908213,-0.183043210896059,-0.166531441615084,-0.447947937808284,-0.573915423265284,0.0786339339105278,-0.239587458309452,-0.283004119556651,-0.239943993679024,-0.17754915929166,-0.211099321462139,-0.233024252202634,-0.241050102331331,-0.0334557361099449,0.165209428912764,0.325228375559111,0.0726204761469305,0.226488338935997,-0.217897208944973,-0.194926938278887,-0.143422701932425,-0.228136922692001,0.0673339112234164,0.189182535418488,-0.3530317566268,-0.205030272250038,-0.245708047605069,0.0635832858883355,-0.202435218138929,-0.26273097889908,-0.244793440203334,-0.230688753580072,0.407370759746289,-0.163423879914344,-0.258213034854656,-0.0760954455890418,-0.2273809725264,-0.202491728379707,-0.14157957517044,-0.220304746691218,-0.199485206927546,-0.315555346151408,-0.13171619544293,-0.135392778278367,0.314196554900109,-0.284181234397346,-0.269830688091444,-0.159021142108554,-0.222795509583456,-0.224070589227452,-0.219197047843279,-0.22995417429451,-0.250820330906166,0.119329121199035,0.337900747071256,-0.244240264832506,-0.205435006952704,-0.207460773629699,-0.231491847807456,-0.23311769322018,-0.0667621028343322,-0.572934936269636,0.230290654525051,-0.264564958488681,-0.20856053455566
critical,-0.481521568981779,-0.115899609007244,-0.140710237084891,-0.437217107615009,-0.0528950385826536,0.0616134096308528,-0.145926228516383,-0.101058445477504,-0.111937542317272,0.252781488404823,-0.14890135738743,0.0075222470827787,-0.491807622347557,-0.0047176244819604,-0.384508729275489,-0.0118983047527064,-0.0480076891970391,-0.0084904179147451,-0.520063696475008,0.21144224124072,-0.244042921577541,-0.245269732524085,-0.181979354913529,0.0455782784384016,-0.0801727557553199,-0.328398850037382,-0.0435065001454996,-0.376961484750662,-0.48704787937125,-0.355297991921043,-0.152870655162737,-0.159137965716129,-0.471297377592095,-0.0925335715919608,-0.281044024883658,-0.0685727505908052,-0.111793016208363,-0.552775560747839,-0.0094962414170348,-0.105313438312031,-0.373633501125933,0.0037201064612861,0.0197738869537232,-0.27724882025211,-0.0266285098110357,-0.0285132637245463,-0.0521606716943916,-0.276258435803718,-0.271910026923322,-0.290492430463767,0.179329116466053,-0.134197493773376,-0.0807516409015498,-0.0212467921322272,-0.0147706447397295,-0.117304337227691,-0.123646486869904,-0.0402960668679806,-0.373853816650141,-0.325021612571483,-0.0131289774761092,-0.106121169453347,-0.054983123925976,-0.2744642987498,-0.277650629306473,-0.445016536014231,-0.0586668744492892,-0.341971494808771,-0.0166128183880405,-0.0432718872049987
critical,-0.184152237274635,-0.166454051161038,-0.0396946490701,-0.23928885699313,-0.289991860233019,-0.0080263019778265,-0.0571579452430055,-0.064969959338359,-0.050295980376233,-0.0231175302042312,-0.137204916230416,-0.0307451145045245,-0.334667094013223,-0.0895196542829188,-0.259816017048104,-0.0187231197050455,0.0218051396262333,-0.0423519101419443,-0.389413606241833,0.373673022878187,-0.0963065707721622,-0.12559131587976,-0.0028810127965275,0.0396774245569605,-0.0140861758380276,0.0903554060342791,-0.0178094970217589,-0.126307933522878,-0.447015228042615,-0.112815514663906,-0.092342131906781,0.0141063272611923,-0.179372967199438,-0.108282811968443,-0.390060662965889,-0.0223732690782128,-0.287375593875761,-0.343971055240751,-0.119799109136201,-0.209536912715391,-0.425304220386083,-0.0734084015601759,-0.108690086598917,-0.409263056816435,-0.0891536710293783,0.0024489998058239,-0.206586790180127,-0.350784714423257,-0.184029622501966,-0.0800203400466463,0.219404146432548,-0.0856547176488621,-0.0404548335802452,-0.0359271685451339,-0.0050154070163815,-0.0951638419203664,-0.157922480274211,-0.2145951250669,0.0106715821595963,-0.256460858747145,-0.163135915101575,-0.108322737312269,0.0825548852146166,-0.481471073730866,-0.37773019221885,-0.287460955182942,-0.0450020912108546,-0.328111223063778,-0.0600754836369185,-0.0930412252643819
critical,-0.281872876657733,-0.14612977718535,0.0387916083706592,-0.0033900698050919,-0.339972418957735,-0.0320009240803743,-0.0219312525572997,-0.0282997668235442,-0.0720433711403598,-0.15191454574176,-0.230831728763404,-0.0470607052969395,-0.153352523812742,-0.0955637124490322,0.0899438525506587,-0.0912781850727616,-0.0266403814149411,-0.0379111775633903,0.0731072783406628,-0.272392436745043,0.0247971370461014,0.0132979152523196,-0.313416443124047,-0.0466318714297395,0.0617510208188901,-0.0502021007286406,-0.0776355284419607,-0.205907751040016,0.0986782585036897,0.221323243362074,-0.0815453963870989,-0.0448018896360937,0.0227408763488873,-0.101897052698144,-0.0126039274060165,-0.0602485138682568,-0.0904668131930182,0.181492438329362,-0.0332706680926599,-0.11144404242248,0.0945172770018477,-0.0515990166578037,-0.0704713398967643,-0.0403752207035932,-0.0298122142138961,-0.1220874236029,-0.0221318964774111,-0.0252726054550024,0.0221177447899253,0.0658597956325619,-0.241347307779014,-0.0663483432436755,-0.0307058118761467,-0.157734106453835,-0.0222296715679442,-0.0266960235054809,-0.0779263540638785,-0.0877389918175774,0.202849023054965,-0.0382139913184893,-0.0638433031528442,-0.0569925324114348,-0.0638038265979282,-0.044856236307574,-0.137791585562341,-0.0232161177961463,-0.345534009548227,-0.0809046801842608,-0.115760860812245,-0.0859889504908102
critical,0.134094568581312,0.0902936415334424,0.0843103797962529,0.363542964814111,-0.337825756921408,0.0137734772692167,0.170703885815122,0.097542744188401,-0.175420858140642,-0.303981472557562,0.113998121345816,0.0438681389229087,-0.240804480081057,0.0155953276674424,0.311771529140064,0.0529168765808873,0.0832245145948462,-0.0027468474584534,0.109577580847317,-0.157154732381194,0.261942426729375,0.187913758723726,0.116752921740569,-0.0208119143446076,0.109507224400845,0.176072336759311,0.113520278753187,-0.0400731801468075,0.206839041107307,0.0143766620203682,-0.118478183645374,0.208986729515488,0.0443942410281331,0.0297801223041188,-0.137541701084417,-0.0270202753427148,-0.0255923981388041,0.359313000316535,-0.0118114903094548,-0.0543546041999836,-0.114464992472454,-0.0126073362158278,0.0275077139062861,-0.133087759527318,0.093826285871628,0.0603820379465489,-0.0651902890442249,-0.0607661378597375,0.155166679821804,0.202197839422953,-0.244140983866455,0.0753555858534581,0.0246134434220299,-0.0236344860879831,0.0806719992851657,0.0545187571140288,0.0080195861556273,0.0002770452060348,0.406839148704182,0.022159541941352,-0.013493759943813,0.0791361213647163,0.131525423965443,-0.108799494563136,-0.103511241335044,0.0921428180723087,-0.413867825519063,0.117701180323833,0.0523505815406399,0.0121363111859627
critical,-0.349074261378837,-0.0779493268387296,-0.116985775392895,-0.361561442100506,-0.0458693847947441,0.0722047133054229,-0.0281894483557744,-0.0562472703110848,-0.143850080669568,-0.0162048162315212,-0.0941602009183904,-0.000611473296301,-0.531890824769665,0.0159735827941652,-0.347126330899783,0.0573763155996946,-0.0913469975290512,-0.0432633532305271,-0.389522452307378,0.342385467678704,-0.237367304847811,-0.194672024630335,-0.0340495286770373,-0.0170632279709461,-0.0726433056760069,-0.326958396022282,-0.0406337464134479,-0.256579348081229,-0.374193632984756,-0.537754913434055,-0.0391764859107161,0.0261588074798826,-0.283849877133783,-0.0727707785375131,-0.413511381487755,-0.0362371771164759,-0.152561269661132,-0.459287474184806,0.0192963589526645,-0.137435514254466,-0.434934018668365,-0.0087094391417794,0.0272891463479515,-0.423709867865363,0.0638821388590484,-0.0592408993824092,-0.234626299184335,-0.359200760785225,-0.206635619913279,-0.196467480787435,0.0841858256718747,-0.104244876938308,-0.0225893774462419,-0.0962962543702838,-0.0177467556504568,-0.0957223386793933,-0.109778346570282,-0.0607610927874979,-0.541302961333473,-0.308613979818129,-0.0478374330904255,-0.0764428203761423,0.0362599881607862,-0.310156836427089,-0.248193297563742,-0.308413244247522,-0.145357003128126,-0.218960527925953,-0.0383313760292592,-0.0016912207484135
critical,-0.174764910120052,-0.0672636639071508,-0.0021206816782662,-0.312865580700532,-0.0491925740203766,0.0089060345807429,-0.009433001590277,0.0258534801831349,-0.15160642734573,-0.159824819294026,-0.0642841386946911,0.0248499094793085,-0.246256003804921,-0.0751651202011257,-0.0744762823855513,0.0291330012680596,0.0780704660269392,-0.0319527618228269,-0.175572538932111,0.249902468586829,-0.0305052970958541,-0.186053976318672,-0.210533478004766,0.0652890763966937,-0.0275642531824666,-0.0009605014285788,0.0017035888835143,-0.138406239870292,-0.30038719713258,-0.0129590578565922,-0.123846608603246,-0.0831257235310896,-0.0614411246334774,-0.0630612366754537,-0.184314548963272,-0.0158347179758758,-0.16799790928009,-0.187754289556108,-0.0242847797488192,-0.0726962720289305,-0.152722181525746,0.0176241154247396,-0.0599598446154302,-0.133112008070206,0.0380780824446614,0.0038424379575157,-0.0283854537102969,0.0213812420136277,-0.0674469973692234,-0.119095800990153,0.0428737074378444,-0.05481355012143,-0.0369946596101938,0.026905521852483,-0.0149856942393583,-0.0255990661965456,-0.116838952316221,-0.0798082324805112,-0.117875300406516,-0.0764555382851349,-0.0383497109774571,-0.067407729981057,0.0041907585579372,-0.1252478228513,-0.140194871988021,-0.135870486630907,-0.116591176036595,-0.106813184607381,-0.0497493938547085,0.0067251129360083
critical,-0.0185429499532336,-0.124436548998746,-0.136185764106392,-0.0928591780202331,0.121511275274182,-0.135197112568413,-0.225348836343855,-0.203891926140245,0.0308770105837757,0.159151615259696,0.0755637324194176,-0.141881889400437,-0.177348912601609,-0.136094579322512,-0.101225605945846,-0.13245916618533,-0.116477935800574,-0.110194546154677,-0.0691323083665341,0.395090766784985,0.0610255955858209,-0.0340434813086197,-0.047203712600718,-0.188137417467864,-0.168355103570478,-0.0682672411963156,-0.0751749600219401,0.201309686212657,-0.234344503925481,-0.0198422650055764,-0.219997990516092,-0.167132670876421,-0.179646032113487,-0.144571667177148,-0.0590487262996319,-0.201919177845896,-0.0531466391715485,-0.233615250543617,-0.167001408705166,-0.183481232463776,-0.0082122412128954,-0.141067422244819,-0.16887319042436,0.0121110322187277,-0.123829622660407,-0.142065990587132,0.0325230731578676,-0.0505774683839316,-0.0580163488549355,-0.103114952581573,0.280347941609953,-0.145602707348951,-0.126550417583956,-0.0825242762324136,-0.139622529024569,-0.18695510052459,-0.1650798729391,-0.0922470858244994,-0.175872880896691,-0.0215423596815414,-0.123243995844382,-0.140311784719304,-0.0786970806711767,-0.175503146464416,-0.257372025622403,-0.0730963391948395,-0.0309264810925644,-0.125370820621456,-0.0755952707684926,-0.0736634427932117
critical,-0.212208089079086,-0.128958541127428,-0.190599104677997,-0.222044413216967,0.109818746237892,-0.0617028699262862,-0.122925247580921,-0.11955406445488,-0.169254948868992,-0.0638760737437919,-0.117086695049861,-0.048539430316741,-0.44075736516835,-0.13764888017453,-0.24381170443847,-0.0398292657873095,-0.094421855968725,-0.118900151865441,-0.365285392007335,0.222539633768467,-0.13718948463009,-0.274943588820709,-0.0546082010664417,-0.081288633410432,-0.195717030948712,-0.290088279183629,-0.0920558724335619,-0.157286866738833,-0.50907281658032,-0.332177809885665,-0.0486548585641957,-0.0863567267790698,-0.269952872499872,-0.157252392803118,-0.44183494881401,-0.0932685179380944,-0.18622348462987,-0.255955207606289,-0.152425005684,-0.184866501595775,-0.416009625986882,-0.113704229084606,-0.0490944688489947,-0.424097799020719,-0.0874936628417681,-0.115062331552697,-0.304109979476234,-0.336332504630537,-0.225508803505039,-0.12341490363669,0.059424439033185,-0.145345073706463,-0.0906681332993612,-0.12642369607055,-0.0929791987726594,-0.176454524940164,-0.186634678252905,-0.182363187800567,-0.482787240320591,-0.122259102293823,-0.119855823407243,-0.206612822332731,-0.060169684266894,-0.38013505560698,-0.241349401074292,-0.230049534636348,0.104426689592629,-0.156329934769467,-0.0665645249484348,-0.129962493426572
