group,ASCL2,ATF2,BARX2,BCL11A,BCL6,CDX2,CEBPA,EHF,ELF1,ELK4,ETV4,FOS,FOXK1,FOXP1,FOXP3,GATA3,GMEB2,GTF2I,HINFP,HSF1,KLF4,KLF5,MECOM,NR3C1,NRF1,PBX1,POU2F2,RELA,REST,RUNX1,SP4,TCF3,TCF4,USF1,ZBTB33,ZBTB7A,ZKSCAN1,ZNF263
healthy,-0.172680319466461,0.214134162015997,-0.228934525596071,-0.170064690531523,0.216345435581373,-0.105273083042927,-0.227664993293767,-0.209792485959157,0.136596507635525,0.218317445614465,-0.226535669421383,-0.236163155433459,0.218905555376821,0.221322595579962,0.170617867818166,0.216972306035959,-0.204050639711386,-0.219938695309226,-0.206428919222297,0.213173758197406,0.233041244864207,-0.0562810036452257,-0.165496192646077,-0.235620984269302,0.11657684936219,0.247315707200318,0.230250953550702,-0.221797772955079,0.235007034045459,-0.0772983908481876,0.199580718401241,0.144668780687749,-0.132451506202223,-0.195091656008514,-0.226076761966461,-0.23092519818468,-0.240277531134629,-0.20898856049068
healthy,-0.163808295431191,-0.120672345261884,0.0864891826533696,-0.153561432986932,0.194047492124857,0.201612013882087,-0.180768846764319,0.141045658749625,-0.186293922150576,-0.0402319522585915,-0.197899932627036,-0.192083969256227,0.0869434778324302,0.184500629596013,-0.198395137550538,0.197649143145534,0.213226093313098,-0.142984844376519,0.216250661975578,-0.149486016993807,0.185142176671902,0.196796919577646,-0.209088762218082,-0.204214201022377,-0.126564927484799,0.209103857102539,0.205170393866416,-0.18121656509353,0.186897847906949,0.194551490325581,-0.198194992710171,-0.187792400891712,0.17051116293936,-0.208478737664821,-0.15224412183219,-0.19823441034991,-0.17426024259643,0.147177658588111
healthy,-0.245544896335085,0.238387659867254,0.168275535688764,0.244733884516315,0.239637969754524,0.248059458551215,-0.253040022634522,0.2541686299337,-0.255963552550774,-0.223036364726252,-0.256883785455256,-0.265619217384331,0.246974997023814,0.259728583451915,-0.258262245118871,0.256463924230157,0.254251331796798,-0.255233527579508,0.0626438505769214,-0.213484617133885,0.248938308764601,0.203686256650981,-0.254319074912769,-0.265557730899324,-0.25701260218211,0.251349334854118,0.261130894536108,-0.245059483402829,0.256848659395123,-0.2714117143133,-0.256632122796581,0.202900080798779,0.253911377594569,-0.258239537042022,0.236957400380784,-0.249827544350195,-0.244316024142742,-0.213987434298467
healthy,-0.136857332506474,0.246693188155463,0.241990427581113,-0.233060949256878,0.18808718517924,0.262543308581424,-0.25969241055465,0.239620267361831,-0.254684238963208,0.272463997413147,-0.257481642637921,-0.267911144327154,-0.189931602147672,0.231930691373286,-0.254947205436775,0.246985320432681,0.247596095042792,-0.234865814550116,-0.206186060202782,0.263600723091996,0.243378956955245,-0.218556818813382,-0.263917563310192,-0.226719449909922,0.071726204180472,0.194138733756243,0.252219467722327,-0.235472937506761,0.247782187097305,0.243578232901489,-0.173816286316809,-0.258188830384328,0.241204990117594,-0.261516482596633,-0.267389100153841,-0.253228367408289,-0.19193455778538,-0.260478369682949
healthy,-0.107953402469944,-0.13855439034697,0.257716049859113,-0.120876937252739,0.164678442830517,0.163580911283574,-0.271344776783605,0.101994979898422,-0.320031369594887,0.0067574280846659,-0.274205235622931,-0.275666453169814,-0.255034303369917,0.28453966992702,-0.237618551377481,0.236938192187049,-0.226378351094553,-0.0913123536580039,0.157481768654883,0.13322411409399,0.145722304993575,-0.150883738402697,0.0273080748650256,-0.273566795303224,0.282012333455307,-0.302503444826864,0.149965237577054,-0.117178525493797,0.217107807117103,-0.299761526186526,0.206794385310239,-0.027753794503119,0.272126378006119,-0.211069791753065,0.135130839031519,-0.15046794565459,0.286189363206582,-0.199861428587143
moderate,-0.357824218007385,0.133546930367429,-0.221867696946304,0.236000873130227,0.115660353295316,0.274647000793806,-0.185028762302964,0.253748435354628,0.315610042585897,0.278191879410429,-0.172517426008999,-0.213688990072657,0.125159701222215,0.260004103501611,-0.0943215741717213,0.175320892104499,0.191099077319665,-0.210700170846876,0.164524072265633,-0.144227904499869,0.0584557434623564,0.242048019005643,-0.0344988513735429,-0.286741292544638,-0.0205973666024712,0.28421585614456,0.248906084826038,-0.108825456616206,0.257664020231814,0.360535007537744,0.0388778190764305,0.198235172835482,0.212623209573541,0.32965054220468,-0.236000873130227,-0.241561467038655,-0.23266451678517,-0.167072677806996
moderate,-0.272253347569988,0.252201658891875,0.279956674261845,0.242494167642591,0.254730525742254,0.0591483280121214,-0.279058415063281,0.219931669747834,-0.261372309659784,0.248365226478268,-0.27621122837844,-0.256227846108599,-0.192191053927417,0.268826421052909,-0.257100265930713,0.254745390866158,-0.262263352455916,-0.272071707062693,-0.280941763076767,-0.234206312353749,0.262182974369842,0.265974478858631,-0.246015007157217,-0.268519574300655,0.160855705291896,0.236707477530277,0.263652127487985,0.261732564441097,0.0884322895489559,0.190052571169886,-0.259746058453676,0.257812561431585,0.267807844140066,-0.266394892497084,0.0167666293166773,-0.25883832149155,-0.268332213879911,-0.255887744045598
moderate,0.311005729477225,0.371955628437029,-0.35075354506109,-0.351165582626035,-0.27897502944216,0.039368785932841,-0.355446506972458,0.353729870904879,-0.358835993099353,0.354017511297628,-0.362784368326602,-0.368668534206382,-0.376639608603112,0.363527607748929,-0.351427400501091,0.326026575748086,-0.355889082471372,0.367669988674332,0.37863422968726,-0.363366834508329,0.356455606055218,-0.360426211102047,-0.357816565009515,-0.367589826597664,-0.353536314293989,-0.356347151480903,0.352802730247843,0.369430635293807,0.356025380456071,-0.354348264067745,0.300552549771009,0.352295486182878,0.376238349132509,-0.364829960815241,-0.368835594668681,-0.367951790932646,0.38242093349938,-0.354447736896776
severe,-0.310694202020753,-0.268055399192059,0.309051054456319,0.321531041600679,0.301714552809837,0.0506524916241341,0.233607424031556,0.304774811356288,0.29110374981233,-0.3044380629784,-0.324809955943183,-0.179287604182477,0.300387856460788,0.31893208220202,-0.154778780460297,0.316948495866515,0.301634286758122,0.238078335371955,-0.314370756228654,-0.302444328061644,-0.0466345760468672,0.235876093240396,-0.316346039179499,-0.331341951875916,-0.082560553676895,0.186471877110187,0.298932918948653,0.302815212576469,-0.229321032350274,0.295904951342547,-0.325521279229078,0.297343282085362,0.303599421127715,-0.326786161492323,-0.299563053584536,-0.313577321694452,-0.198106764215792,-0.284458274289241
severe,-0.338752374028603,-0.299098570730638,-0.285589567793637,0.310912527671741,0.357038324772224,0.393199306018037,-0.262526669243395,-0.107044722892435,-0.0043660275651904,0.316459950931042,-0.31815499692694,-0.30978249700781,0.302745487873326,0.302231837571539,-0.272337390007529,0.358116990405977,0.297557619825276,0.0811567476823643,0.275367926788073,0.273210595520567,0.308344276162806,-0.238333740029222,-0.285384107672922,-0.293397052380801,-0.216400872142912,0.301512727149037,0.289698770207933,-0.332177650165728,0.268433647713947,0.171353740676182,-0.354726898414182,0.287695534030964,0.273056500430031,-0.303361868235471,-0.280709889926659,-0.220664169647745,-0.306289674955657,0.191386102445879
