group,BARX2,BHLHE40,ELK4,ESR1,GMEB1,HES1,HNF4A,IRF4,JUNB,MAF,MAX,MBD2,MEF2C,MNT,NFYA,NFYB,RELA,RFX3,RXRA,SIX5
healthy,0.289043797155056,0.143387068460103,-0.0179900630434649,0.142068076077314,0.116813614945453,0.068959962254011,0.023128241801966,-0.142650785159369,-0.0057164917450184,0.270314037044116,0.211950835216351,0.121660205772751,0.0339544665716018,0.211924949807523,0.148201061298461,0.0919326024778664,0.243235008158577,0.283105361803784,0.246180517572541,-0.183147530167172
healthy,-0.0180767394196997,-0.130416027770566,-0.160220408702118,0.290210329369129,-0.0314031583969376,-0.0502956169309774,-0.113342172396754,0.0079130905569205,0.193852719364106,-0.142863447404581,0.244182293558272,-0.0337469543547684,-0.319347178365747,0.211705247057406,0.0120353809335686,0.188043103337803,0.339359978319077,0.117335888603034,0.0328140537180681,-0.195937215343079
healthy,0.318860349941325,0.23287100737986,-0.231629040922139,0.300747270279938,0.168564059356428,0.327290214569963,0.316524071112975,-0.0648036787914622,0.315962118122981,0.312304871272277,0.0733655460344234,0.0673542990741657,-0.251248057385483,0.137863276906095,0.0902960790195543,0.0881183730991971,0.167570155951152,0.35019400539088,0.0516842329131575,-0.319337266363441
healthy,0.331175530740396,0.308264904897516,-0.324343955989902,0.0894620280837407,-0.169597252804181,0.0377129894413344,0.0128235302444441,-0.308161498940284,-0.0156490064643703,0.285117409850455,0.343695122971602,0.101223948850289,0.0450083077534919,0.300271976773295,0.340387904893652,0.371954715983701,0.22382889334146,0.339425440861691,0.304686790614635,-0.299198984655485
healthy,0.321412973501895,0.0365028114675933,-0.11943195010351,-0.0397419507784677,0.3520474666555,0.049069158286594,0.0050085503304434,-0.17427581571236,0.0575693845805297,0.192033899951065,0.0211683088486252,0.0755023055575513,-0.191703592520413,0.200672787770551,0.244450021780494,0.240046536375416,0.0521837582016329,0.314328044921072,0.096161484513757,-0.146475855983876
moderate,0.131363918141659,0.0725814014140179,0.033179546334749,-0.0172150541931718,0.0929137102821405,0.0696044537009535,0.117851747681746,-0.0435744621197117,0.0173919629712023,-0.170418055967558,0.236685644096695,0.135530424879411,0.0002196108968654,0.0895768447103244,-0.0284030093279263,0.0752899358086913,-0.0271585475790223,0.0990140129728463,-0.253333370139632,-0.0339359838683965
moderate,0.220094167309772,-0.0521429446672005,-0.0376069178722023,0.109735874905488,0.196201969167304,-0.0681582333511996,-0.156276000277353,-0.230432774807386,0.0957909755089897,0.0484828988314331,0.190962553030452,0.303722120067051,0.105784263734294,0.150882124525568,0.164276742879308,0.287486075245964,0.224064691903203,0.198639577479178,0.122926891927922,0.0410306454743396
moderate,0.0205679116436403,0.100387066890119,-0.0670480621886554,0.168435314112855,-0.220089540983471,0.0463515217330302,-0.0665386419271747,-0.0521199086329575,-0.0790149312300464,-0.0377992342319721,0.190289984182787,-0.0125183817294628,-0.101915014136933,0.243543409726234,0.209320385681952,0.144178632272988,0.0203679530212311,0.274145779624024,-0.0477441774932592,-0.154484614113191
severe,0.0206910142581676,0.0775187532882627,-0.112728645626714,0.140875490414058,0.127855833046581,-0.103537344334608,-0.102824311288597,-0.20505122771361,0.159288694978445,0.0475478094297128,0.199035624463672,0.230106788950378,-0.0993582052900795,0.256917301217368,-0.0169885200516043,0.27449824244729,0.221730550331194,0.275611104525497,-0.0467640395265883,-0.253021316838175
severe,0.219188593513149,0.218960629594682,0.187655285280999,-0.0027509557455257,0.23362806505304,0.110416328659721,0.043579769961005,-0.231896812531492,0.21242598716543,0.0073900446748185,0.135288469639367,0.222961487009687,-0.220902180622854,0.22583588983368,0.0821362809862308,0.211852303969835,0.216839431025066,0.222743346577997,-0.0985399861117449,-0.0624283849500118
severe,0.0883858054470774,0.0276944807109567,-0.0272012752181744,-0.0737572276268783,0.103677086802735,-0.0809086337691678,-0.0653231196880845,-0.0661226124071595,-0.104076281889367,0.0854216477857611,0.069347926419572,-0.0631730083505483,-0.0682686075736681,0.0874368810190864,0.0697181613029021,0.0608715542246903,-0.0053449950855654,0.0687481414983941,-0.0008292614559716,0.0108619138145911
severe,0.238981961432683,0.199349149110462,-0.108836638966637,0.0596526719086259,0.0669429179372837,-0.17304408699214,-0.249928039690824,-0.170583291315883,0.0617370538360685,0.24429890360884,0.215220808583179,0.0022224516358697,-0.208219612897185,0.241378316701022,0.197874097499443,0.253185476512878,0.154118914792471,0.258750471525064,0.0659572920318302,-0.163497934353903
