group,ARID3A,ATF1,BATF,EBF1,ELK3,FOXK1,GATA3,HEY1,HIF1A,HNF4A,HSF1,IRF3,IRF4,KLF4,MECOM,MEF2A,MEF2C,MITF,MYC,MYOD1,NANOG,NFAT5,NFATC1,NR2F2,ONECUT1,PBX3,PPARG,RBPJ,RFX5,STAT2,TCF3,TFDP1,TP73,YY1,ZBTB7A,ZNF263
progressive,-0.0437480103412474,0.0535858166868295,0.0057707802585816,-0.166418310695097,-0.30579639389284,-0.10277484841474,0.0212694472387723,-0.338332602588843,0.0771635760290344,0.0197305725031505,0.0348994806114223,-0.145478622328244,0.0515523036433293,0.0826595572276836,-0.147622054995717,-0.113327132316146,-0.197415644655478,-0.134816418802864,0.114261449119916,0.136025534666567,-0.10794107074147,0.127012125500782,0.0025831111633651,0.232699843950806,-0.219509489074048,0.189061753233532,0.0357788376032061,0.172024211517719,0.0538056559347754,0.137289610342256,0.0641381005882359,0.106017477321943,-0.102445089542821,0.0521019017631942,0.0702935995307229,-0.169935738662232
progressive,-0.198889384083721,0.0724872110632654,-0.0426191537322258,-0.0040193673438521,0.0480245098153374,0.0869014939515629,0.0100484183596305,-0.0593203180403013,0.123560896104973,0.113373878871417,0.126471472457418,-0.0641712786277091,-0.0925840477825264,-0.0869707933885259,0.0737346009285988,0.153983348931717,0.108176421099194,-0.0469850182608929,0.150241179335716,0.0268188821046689,-0.0619536966448941,-0.0729723071220062,0.0762293806592657,-0.0494797979915597,-0.127303065700974,0.0258486899871874,0.123075800046233,-0.0419261593625961,0.0803873468770438,0.0783083637681548,0.0370058993382254,0.0388076846992625,0.0460148261434113,0.149686783840013,-0.0144142828882975,-0.101939471772527
progressive,0.106791030496635,0.0438139607124857,-0.100247529838018,0.0170186004524527,-0.0618113368937063,0.0343726240479102,-0.0365611225875147,-0.0074837852070397,-0.139739480871787,-0.0711262025371489,0.0550698815933163,0.109650375322249,0.160810652740543,0.0753602323750774,-0.0678874446481361,-0.0866271507360065,0.0349115005727374,0.0472616707233703,0.126910920336869,-0.0929342055725051,-0.087171526000883,-0.0161772932249163,-0.0004728916442361,-0.0891510724186158,-0.0795887634729566,0.0311833548193407,0.0412790415497779,-0.0767624110876381,0.0857968409885686,0.0860717779910315,-0.0075387726075323,0.0578082541378467,0.022720793883533,0.0158693637821578,0.0006158588855168,0.109628380362052
progressive,-0.0014529832015053,-0.303770354661384,-0.316653472381398,0.309485421920638,-0.104663223281768,-0.305804531143491,-0.323627791748624,-0.385524876132751,0.315733249687111,0.311277434535828,-0.385524876132751,0.391482107258923,0.0908598828674675,0.424755422573395,0.337334266616157,0.326824354791935,-0.306773186611162,0.352251560818279,-0.300331627751155,0.0729397567155683,-0.0897459290796467,-0.365570573498744,0.315587951366961,0.369493628142809,0.307741842078832,-0.363294233149719,0.303043863060631,-0.360485132293476,0.339416875871648,0.380148838287181,0.435798094904836,0.40606037204736,0.343630527156014,0.347747312893612,0.393031956007195,0.403784031698335
stable,0.0509153317706281,-0.130655894030651,-0.206549574991279,-0.143555911507349,0.0925855761815205,-0.0259021844130527,0.043535875201553,-0.0997517536590038,-0.0617139889343796,0.127254653780529,0.0025896571805379,0.132249874609916,0.143453762047691,-0.0851578511864535,-0.183842086865964,-0.0151203650723215,0.13994475973024,-0.104377664903476,-0.130618850820006,-0.0727528657065556,-0.023893993387486,0.0763224841868809,-0.15149662884377,0.0988413886943674,-0.0233147722755841,-0.0426524507537492,-0.0151910839290072,0.0651388021367295,0.0444125645201486,0.0470662054281641,0.211210284403326,0.15406271307208,-0.0974045611299597,0.0362664257428778,-0.108233526375148,0.143003630912279
stable,0.0755950879810688,-0.138152681143789,-0.135326958017924,0.19298849625959,-0.111630052200024,-0.072405657918211,-0.118596438916266,-0.190470525157334,-0.204067569109517,0.156673757473718,-0.0672018509735482,0.0519821145332442,-0.058668726682569,-0.123996088057771,0.0996557007359612,0.125702712915967,0.149147821623641,-0.0144083901962437,-0.0985366024682918,0.143076713521534,-0.0839603475318977,-0.153568259780935,-0.134851341254164,0.0765742989652796,-0.113448586884987,0.089108199563177,0.070922852713549,0.0774136226660316,0.0362867613291807,0.0397279885022642,0.0440365168327914,0.118400596719424,0.132305392695216,0.0436448324391071,0.135970439521834,0.138432455710706
stable,-0.167119705442149,-0.137517951345832,-0.142189395125125,-0.0361332721904589,-0.213270806442582,-0.132862451060667,0.0358941197785497,-0.196333501181368,-0.174714123144777,0.277475257293139,-0.188446786086407,-0.0639280969523504,0.33481337667288,0.113124405331094,-0.0554142710883829,0.170733564110999,0.0755934201554769,-0.107374118449188,-0.252980735815594,-0.2597832933099,-0.311849430631554,0.0375947591521262,0.339670827883658,-0.248978918789647,-0.0995511773307363,0.0870674214290761,0.122796791768311,0.116589458054756,-0.0484841656410585,-1.594349412728e-05,0.1268039232923,0.137836821228378,0.0748015599471553,0.0463371084319181,-0.130747280839781,-0.0387267472351631
stable,0.0626828979304504,0.134346168235512,-0.115664057610652,0.090937660280445,-0.174137722379045,0.0601492584865424,-0.0366643697949339,-0.0337308152340055,-0.018118939020195,-0.0705445204207382,0.0222117411988156,0.111168809206675,-0.0512157116161397,0.045276465906719,-0.0025665438522704,-0.0121429922399086,-0.0351659536602751,-0.0351735469852818,-0.0693548995030192,0.0222889400030505,0.0582724416557155,-0.0594911703192936,-0.0151208411967095,0.0573688359799161,-0.003628343799043,0.0879952468403421,-0.009405598574987,-0.0694612060531133,-0.0331587847501662,-0.0321488725242728,-0.0200818135344314,-0.0082083843322612,-0.112848199587327,0.0999787792551096,0.0014984161346588,0.0931941433616078
stable,0.334501592859305,-0.0786262973894851,0.229944177159141,0.222777401431518,-0.306135274725116,0.0098680543917061,-0.180164296681402,0.015710220239082,0.0342316212720498,0.110972229487035,0.0327797562941376,0.131633829889834,-0.0961470106089915,0.0746524677487453,-0.0302462229860676,0.127752549411033,0.190518234173286,-0.195284516013125,-0.192236177991771,0.320144904113575,-0.161787503713963,-0.19555637917632,-0.115460863841059,0.242420961052992,-0.216090724481452,0.0776140409307813,-0.0149177680399825,-0.102081725618306,0.26128942144323,-0.150189936858529,0.0834446381329149,0.209687479339824,0.140073156594112,0.118191064118248,0.124247249902607,-0.0983624061728974
stable,0.0889867017225765,0.0479540365882011,-0.0524884434237027,0.0867318873945401,0.113682287220117,-0.0570558878317763,0.0045344068355016,-0.150494402458425,0.0503822981722402,0.120834921681947,0.0267769525695742,0.0729387008457465,-0.0123560521419133,-0.109676481545767,0.134983262135889,0.0723605433257372,0.114830342866993,-0.0523645525265579,-0.0288913572141797,-0.0255958593501266,-0.176767532046276,0.0461287107036003,-0.102804666450799,-0.136271727466195,-0.145142315701767,-0.0149907985545272,-0.0057650564138071,-0.0376297951594634,0.190800240996217,-0.0025686712674699,-0.0771179537760995,0.108107196848599,0.103952722097675,0.11849751342248,0.0004542666228644,0.0630109102878723
