group,CD3,CD8,CD95,CD45RO,CD27,CD38,CD127,CD94
healthy,-0.0359582705140465,-0.265365465721753,-0.0468862691592748,0.0382986203771599,-0.232215237247844,0.0027716969281569,-0.361807813768443,-0.137351131708408
healthy,-0.064510306167948,-0.131993314339761,-0.12021988205518,-0.0921729946835623,-0.121540151726816,-0.0837585480548808,-0.0988984154559435,-0.174330477747685
healthy,-0.18674420185113,-0.309701634965674,-0.177215735048777,0.0838610887971851,-0.207220009711129,-0.0458157761083416,-0.199887617096108,-0.27337953522558
healthy,-0.0760334868378948,0.296819872842857,-0.503610968419315,-0.329149158020545,0.743688093192865,-0.202093420163368,0.512358472690531,-0.340130403998435
healthy,0.19858720377005,0.520118380181841,-0.355958782087219,-0.564832306236405,0.223128605853612,-0.281873690488231,0.281949660504259,-0.174864071019255
moderate,-0.248456629540957,-0.142376296080459,-0.0644057917809211,-0.130567672933627,0.0313188518126153,0.391506432372044,-0.136379895825904,0.0309724233703284
moderate,-0.167975326682632,-0.189066727319753,-0.138059406248202,-0.0545796581283055,0.0777579528928,-0.343190456527498,-0.0016721062983994,-0.294385756778885
moderate,-0.251383955630311,0.0111297681592592,-0.312833405258053,-0.185022903764919,0.342984081313375,0.0491122135136395,0.212078984059481,-0.0424961607196014
severe,0.65789406896916,0.485973539081385,0.134365949676435,0.195815133613409,0.373647409554903,-0.495411989278897,0.371067815057967,0.093557372433439
severe,0.345847958135695,0.364861107417753,-0.016102296799528,0.124304109654778,0.0374241607562364,-0.293669719204129,0.170841180212867,0.0096719301859729
severe,0.177666998378544,-0.38886620887749,0.416434563739201,0.119386193860499,-0.596229845272112,0.523746370587306,-0.764955029248827,0.540878481336023
