group,CD3,CD8,CD28,CD95,CD45RA,CD11c,CD27,CD127,CD94
healthy,0.399116127446538,0.303785696095644,-0.115533245409215,0.217904455471002,0.183212974508876,0.145242235087918,-0.198285030560312,-0.193986169833694,0.209275210474892
healthy,0.415845466013343,0.387368415853299,0.2875362462553,0.145456326512796,0.155321858607446,-0.0532522291181551,0.392031360263441,0.146390001805657,-0.114251239793279
healthy,0.493162814725969,0.128474690504758,-0.298813483697016,-0.0535438787289211,0.471354333158082,0.0238955438005585,-0.303928473210789,-0.15360604643752,0.269268164423688
healthy,0.156386103967589,-0.334611735730053,-0.356027810901186,0.39106675307816,-0.0414639239727668,0.176853801496985,-0.705270331427362,-0.592127101495021,0.340730873474361
healthy,0.211597432036972,0.60642617982909,0.173086337984355,-0.347224102026478,-0.0321612736910186,-0.291480462554319,0.58710876258998,0.495032346468814,-0.359019916040339
moderate,-0.138110761736405,-0.243039858936685,-0.511964774868679,0.0793529917424561,0.316344487515849,0.021037139273938,-0.479445420785924,-0.597901981517382,0.0551589222641363
moderate,0.472014040358421,0.334769865229571,0.0781773398486279,0.0709033930424375,0.226474832602896,0.153028740001119,0.189475873446814,0.0820261470009302,0.208423615411788
moderate,0.118841545746795,0.319815329216672,-0.151194901664584,0.173081641020085,0.211622709664577,0.0956395020853651,-0.16122548226557,-0.202977750789425,0.280295569141076
severe,-0.106690058647301,0.0419613210727542,-0.127239866985912,-0.073311710936183,0.037700421294512,-0.145187614467639,-0.141006603374486,-0.369534157941606,-0.383437410372963
severe,-0.260286281544977,-0.342676340688552,0.294231160511119,0.215045782323932,-0.0098768549036647,0.522227156652666,0.21262296771202,0.319728847943011,0.387401045838518
severe,0.313425198743898,-0.24502317260472,-0.417422236595751,0.482572438122477,-0.19905950902135,0.0776120762958961,-0.606719385651816,-0.732488807307342,0.460658801305158
