group,CD3,CD8,CD28,CD45RO,CD45RA,CD27,CD38,CD127,CD94
healthy,0.275831996895227,0.330527067711825,-0.0223588810749887,0.213488438475298,0.126408154523617,-0.167653107420292,0.108726700840594,0.0199698136029231,0.259405616337756
healthy,-0.0161851120562663,0.10738542877274,-0.174773620514563,-0.0608706369399692,0.283760669427763,-0.24131421249173,0.122980312127739,-0.21388473772563,0.31049382036739
healthy,0.330764898704782,0.234421940255966,-0.139549753512262,-0.119644305130639,0.399157077008259,-0.141214097254402,0.102205344069182,-0.0280619842701995,0.402518101981853
healthy,0.130980381315584,-0.199560398995528,-0.224388347980018,0.256810534018204,-0.159694569105229,-0.516015619779269,0.239130157370715,-0.485124409077912,0.114338079221904
healthy,0.0096438419762517,0.379255622305122,-0.216855003646972,-0.618384926600119,0.560222061877353,0.0527066061133069,-0.0393850887401851,0.0285101993011058,0.017886871805121
moderate,-0.0341379396789139,-0.0155941214172852,-0.381093552441297,-0.116529180184021,0.0105156086471617,-0.298180861677751,0.373938394576629,-0.429729380793605,0.0143884950388705
moderate,0.512887351924788,0.574420335854194,-0.0624358229674925,0.127054347419272,-0.0764492051597824,0.0192478950023654,-0.110735671762807,0.0929502041551427,0.122009302109479
moderate,-0.108004399713849,-0.117787524948122,-0.507772271007647,-0.0584510305820715,-0.0728425684643363,-0.636773861171429,0.145327404066695,-0.565988068141566,0.276007804508386
severe,-0.264698330261909,-0.103921346289774,-0.0189109351866388,-0.0806010076862804,0.0629420922120172,-0.145562097576505,0.336485872676291,-0.323177489080738,-0.243519548345298
severe,0.501074787016743,0.280158058972219,-0.0471660039071327,-0.0305284810848932,0.333072867307302,0.0821284315061602,0.0432954420644873,-0.123720172951207,-0.30943188779187
severe,0.281896286174202,-0.133813653553679,-0.446189037292014,0.169085695000426,-0.110896146573128,-0.640301501680887,0.514742103238281,-0.778324665167328,0.547987182546028
