group,CD3,CD4,CD8,CD28,CD27,CD38,CD127
healthy,0.0478056881603199,-0.18165215053088,0.0599566002037667,-0.302662520710707,-0.510240652097835,0.136746686854288,-0.324447648902249
healthy,-0.325958004315708,-0.0943405286674228,-0.269985998107118,-0.367316560136714,-0.54850768741858,0.116675426071325,-0.347794030571966
healthy,0.202421056882807,0.0528061208487331,-0.0295770749941251,-0.46325059879291,-0.497277689346705,0.140092904612334,-0.345631506720735
healthy,0.0112124202532553,0.15237597540081,-0.221461785794395,-0.430407389329201,-0.76050242437541,0.225520557261176,-0.535205242015485
healthy,-0.239496687169565,-0.0750030260709161,-0.588099014397459,-0.187292773642233,-0.509971249090237,0.311367765318647,-0.537233405084137
moderate,0.0980564099509394,-0.0946098341288241,-0.0033844749538863,-0.491107361467419,-0.433740593582456,-0.0676028049930413,-0.561642069148759
moderate,0.113411994144446,0.269021853866052,-0.0353792320442647,-0.257337447586756,-0.502168189756197,0.437418588561374,-0.200847376096588
moderate,0.213369233594375,0.56405189880129,-0.353961415822333,-0.521749845777802,-0.750322701115159,-0.0977723262155383,-0.501459932252337
severe,0.612576218102397,0.379050780385604,0.426056172909984,0.12739402446089,0.348782162011018,-0.630580571250192,0.446110258261225
severe,-0.34277808712179,0.0646568588459519,-0.251198688061614,0.0183191908178485,0.0376191813802174,0.303417737122583,0.0628588320955718
severe,0.443195980761019,0.0822534657425822,-0.193842191537231,-0.614661076190275,-0.735257721769385,0.241709220072157,-0.681485840789207
