group,CD3,CD8,CD69,CD28,CD16,CD11c,CD27,CD38,CD127,CD94
healthy,-0.0429361614952075,-0.0571236866918742,0.251344769398837,-0.150023098373542,-0.0415290910621465,0.128452192318654,-0.161875430854409,0.230657447126463,-0.247434396412453,0.0484681487664819
healthy,-0.523519724046527,-0.37349110220185,0.0040553581941878,-0.284952686064169,0.277520831217636,0.147073456344199,-0.374468677748167,0.103008300848319,-0.158413602958953,0.258451989235631
healthy,-0.460755010212516,-0.109961537348753,0.107970326855557,0.250089469061469,0.109363088476089,0.138785765386103,0.206341854990787,0.0827291465179663,0.0429479295737051,0.117119362046069
healthy,0.412861361206894,0.0279962561050977,0.0562419329300377,0.0758896367174664,0.10528477871712,-0.0327384255243149,-0.080021258693801,-0.0762832094281315,0.0923328413378766,0.268255787912911
healthy,0.304795211871728,0.4634973011499,-0.196008791537778,0.418408552254729,-0.283242239802196,-0.262022039824948,0.679286751258546,-0.283736760647672,0.71048813668006,-0.484286764531406
moderate,-0.199798132241033,0.0355196648141176,0.454856245332308,-0.280214957769281,-0.0022527306574329,0.104168256977523,-0.246597745755893,0.32959037216179,-0.521718685721012,0.145528081669832
moderate,-0.352710017965502,-0.352149903875404,0.104217197552119,-0.0022384712830613,0.221960635165307,0.229262093358129,-0.239099812535632,0.546429568219519,-0.207168698102733,0.186598951238542
moderate,-0.0618987526757285,0.0158711105504301,0.0077157527712268,0.543109248423661,0.132131239050272,0.0972450260853949,0.657201166624832,0.185994555257341,0.5806988338851,-0.0870477283081499
severe,-0.45166586012673,-0.242418942583515,0.173923029202997,-0.0606647727612041,0.497289989171981,0.464267416434149,-0.384743590386428,0.638191481055024,-0.15483741243646,0.284907248135609
severe,0.0116060070491966,0.132139600345762,0.149928560229785,0.316782576204889,0.0731872988235637,0.134614269328028,0.0975662443014498,0.0270390332373082,0.221998929353143,-0.179544744180427
severe,-0.107972914224936,-0.195117705996745,0.219862980101448,0.296607369685281,0.0798652407429528,0.103706178944782,0.204067652304747,0.607665067877294,-0.257457492082349,0.0937468857042375
