group,CD3,CD4,CD8,CD95,CD27,CD38,CD127,CD94
healthy,0.0842035781990148,0.230947459204924,0.121117077796372,0.0143435802770342,0.639415070611693,0.0833475432734088,0.408152384930131,-0.0784050495172938
healthy,0.483536535354936,0.176670860544416,0.392789632653225,0.134870247367624,0.590921827184325,-0.0421989681335792,0.33326521874065,-0.246507359086154
healthy,0.295858247807199,0.0047628482533858,0.33505062009291,0.104184857379476,0.467461743018228,-0.0632765546470327,0.414046053991997,-0.0266547470105248
healthy,0.242868422410553,0.0621431772805937,0.117328201924541,0.583093397160216,-0.219895763236542,-0.189300632817723,0.156125939266147,-0.152291437193707
healthy,-0.322084925835799,0.0208649127775786,-0.542687092734219,0.336291764614359,-0.115822181213695,0.195348555633263,-0.549891333914025,0.279111487031033
moderate,0.184202219825388,0.0220572000249804,0.209191405279222,-0.103652845772388,0.41204412161624,-0.295449199032672,0.616843266913485,-0.152730091153403
moderate,0.225188326858254,-0.0968473193243398,0.247971252430104,-0.0427063437908412,0.55461022237353,-0.464468536842951,0.275275452430231,-0.165765394219389
moderate,-0.0274399253434001,-0.62875345292178,0.607383234182385,-0.427562252873813,0.721310270187593,-0.0730904148728381,0.478542976679194,-0.0497140470708312
severe,0.660034144411117,0.34926529642612,0.431843548747549,0.155226108266048,0.344172526197339,-0.561495250258793,0.458819881623293,-0.0689184236398172
severe,0.43013570239631,-0.0205841229780391,0.425882427314896,-0.0672681401347013,-0.0030257895289238,-0.213330920127469,-0.152444673658901,-0.376420758628003
severe,0.205301542542007,0.0957521698112575,-0.363285833828507,0.391060168348876,-0.701268469485438,0.403167648431303,-0.765276850661764,0.565670507501215
