group,CD3,CD8,CD28,CD95,CD45RA,CD27,CD38,CD127,CD94
healthy,0.0542943158030533,-0.0050457107364919,-0.370905766447726,0.0907513820404865,-0.0303203294114837,-0.614100893422142,0.0593243994956464,-0.409386354949339,0.146928431192046
healthy,-0.276468942072811,-0.20372165348526,-0.454535537574951,-0.101177334114765,0.275308255694679,-0.659680696525864,0.0788719550715273,-0.477394980390674,0.153791558222793
healthy,0.176430063305916,-0.164540110030351,-0.566922714558373,-0.093185127282986,0.467569347177222,-0.589166814120797,0.11483796720144,-0.40442966248967,0.365440253484332
healthy,0.0844250899200175,-0.253649412418952,-0.389260931705201,0.478901425522251,-0.188390066320549,-0.762254053882136,0.208839688546651,-0.48934750822008,0.366404894027281
healthy,-0.213200903631967,-0.499842617923375,-0.370867421324978,0.314394178410841,0.121516048052543,-0.675061344482871,0.361586536933737,-0.609616791296568,0.44090336415404
moderate,-0.128999874882335,-0.0142486548081145,-0.587187223370683,0.0969712546324628,0.484577668601497,-0.426020457112783,0.281231574280825,-0.668063856661486,0.13899688080509
moderate,0.0781075982523473,-0.0977252094588538,-0.445529534711226,0.0397337835084993,-0.206972753047757,-0.672025987230981,0.228678300465637,-0.324925081225779,0.103192288072204
moderate,-0.0999076028640794,-0.275872219450193,-0.625382752751762,0.410200449441112,-0.11223416763819,-0.816104177512385,0.158468266727601,-0.685586314036148,0.337378801111047
severe,0.578998453373594,0.375345478070998,-0.220957144289596,0.160612659275299,0.0300558822051511,-0.0697676406656697,-0.569672425411767,-0.00157464360238,0.0077743748958104
severe,-0.280146699083187,-0.151778889933391,-0.242548936278125,-0.157252816713736,0.230638549154602,-0.124760236894133,-0.173927475084884,-0.20254998652368,0.188250274291454
severe,0.178980452233657,-0.225597347498792,-0.517765967698466,0.368951307897562,-0.267360206545228,-0.674769440200597,0.324988093559935,-0.781802723862035,0.454296317349241
