group,CD28,CD95,CD45RO,CD45RA,CD27,CD38,CD127
healthy,-0.163318627590031,-0.0903759043285552,-0.0540244553246884,-0.0711925173114988,-0.0865387718650805,0.0284447974213059,-0.293092572054007
healthy,0.121357830993387,-0.0398461651744024,0.0680375642774455,-0.100712068399004,0.182237650396141,-0.0981402573157653,0.0749366141314078
healthy,-0.105213005321225,-0.192345131721961,0.0944027306757501,-0.243736340755003,-0.133041753728206,-0.0626152420338672,-0.139128133595893
healthy,0.395147265194136,0.29710499774741,0.463901418425255,-0.537397230421608,0.202833448550797,-0.114797049266484,0.330351437810656
healthy,-0.348373417928346,0.500020117037767,-0.0245270573463517,0.046744087299857,-0.626319550991953,0.008844428680761,-0.358200358219022
moderate,0.168502282492561,-0.180045638908548,0.0360830598766839,-0.334214137877886,0.0447231794652886,-0.24074089659103,0.26028295029149
moderate,0.0582177576353159,-0.126938264055566,-0.0620724443959164,0.048349427329781,0.308646223496016,-0.307004774683693,-0.0005060786964889
moderate,-0.354706017243377,0.0895727975476,-0.342381596834337,0.202672785380488,-0.375798977691902,0.207697222717517,-0.465846159397257
severe,-0.101246252254456,-0.0446462391635838,-0.0943325839458093,0.0566776459824343,-0.239690613930082,0.459080897771606,-0.416722947786055
severe,-0.0717642648559517,-0.0171056554991109,0.0394821660554743,-0.521361175629656,-0.164441489136039,-0.180370678376949,-0.152995500013766
severe,-0.466626383187216,0.413917465967549,0.25618231310938,-0.327962622355502,-0.575742218926875,0.375750861250078,-0.71416500263899
