group,CD28,CD45RO,CD45RA,CD27,CD38,CD127
healthy,-0.181096439705137,-0.35699564105149,0.438563938369159,-0.149010372844905,0.279969179787522,-0.322161575068774
healthy,0.351054409735844,0.315990912520693,-0.0876969117379721,0.450605597282334,-0.0850435535157902,0.218112172740715
healthy,-0.0090120418794389,0.0918728574696207,-0.361692158444742,-0.0187371028997161,-0.0788604770900287,-0.0813370973936244
healthy,0.335852485079221,-0.305576490321207,0.301285005060845,0.771790266058081,-0.219713426258603,0.429317763026588
healthy,-0.467808746164224,-0.730404134842718,0.794369978114875,-0.29783198910768,0.339298147797447,-0.244776518696227
moderate,0.173960090324601,0.164037691930584,-0.206805735527637,0.155867760959921,-0.0502862715658227,0.0812321777840773
moderate,-0.11200012692484,-0.0462084267381034,-0.108647558708399,-0.107084217897282,0.0885537351536866,-0.265495831248079
moderate,0.450995715153313,0.0479855454129908,-0.0947228911683045,0.554558920201888,-0.371960276529578,0.501763342954084
severe,0.0119272209344,0.128315048373663,0.0264748445511393,0.201742093421514,-0.600260239393103,0.33909835596364
severe,0.251139551255987,-0.0204315921699085,-0.080474239639181,0.0883091993529902,0.0874027662637302,0.245991692474547
severe,0.613517166972066,0.0930969915001911,-0.0589113127280115,0.791297497708339,-0.0026749260164687,0.652343700043621
