group,CD3,CD4,CD8,CD28,CD95,CD45RA,CD27,CD38,CD127
healthy,0.178550317619689,0.246911593329987,0.230284656701857,0.138150860526815,0.0925756047573805,-0.172515370649915,0.0359788115325335,0.0032853711441,0.176087895098235
healthy,0.30864719218696,0.175577906839892,0.200891136787392,0.0581912942467977,0.141392733939306,0.133549511861937,0.0167452939172043,0.0772633494512958,-0.0082548637642181
healthy,0.383956579823802,0.137234786519847,0.351408823044878,-0.0340476285903642,0.159526886169281,0.270127012759056,-0.0324769666235846,0.0769886748976894,0.0815141323596833
healthy,0.221320003239074,0.0063938045457801,-0.103732156834187,-0.276143359701955,0.546988453273047,-0.398909010381162,-0.710269363952176,0.206220889492037,-0.380518965785051
healthy,-0.254951983604149,-0.0558916218259188,-0.623751515006859,-0.364793768711349,0.191189607294101,0.24136574720238,-0.598681773599309,0.40261119339281,-0.567625778353896
moderate,0.262238207529995,-0.0149825126705382,-0.016833911701687,0.0368781758475538,0.0685776065609565,-0.46775286905308,-0.0653701680270677,0.162704365321547,0.005240572681717
moderate,0.376350090577627,0.492905540953171,0.199370982832641,-0.225344350801143,0.164119094014007,-0.205820930950237,-0.336296716469092,-0.160615136654313,0.114743753833946
moderate,0.253750690975487,0.367575767561964,-0.0719055106169767,-0.45875497701185,0.433022493105917,-0.305730466891729,-0.664272385424928,-0.113844068018797,-0.47170987034867
severe,0.452172919631357,0.269024085836239,0.245308835501748,0.120149574726281,0.0586744888596413,0.0099848201819376,0.297382775490189,-0.486589821769581,0.422116959980891
severe,0.327207200055276,0.124023007477204,0.263639127277578,0.312937752787682,0.105953192218619,-0.340056083467273,0.0692927086100286,-0.149894973743191,0.0074475899117679
severe,0.406444918218109,0.206227769358618,-0.11932972444374,-0.453243888320236,0.215268833306011,0.343058291044185,-0.483051507324091,0.074543568215247,-0.268315980475248
