group,CD3,CD4,CD8,CD28,CD45RA,CD11c,CD27,CD38,CD127,CD94
healthy,-0.207705549670401,-0.232364237328542,-0.241380213479675,-0.156266600116471,0.0710057863419566,-0.0595475720944574,-0.0679310565893453,0.108362490359725,-0.27170419477935,-0.149966956816217
healthy,-0.502078275966519,-0.176834653378962,-0.411524865763624,-0.352909551016341,0.164435417386098,0.155224649711907,-0.465468497694175,0.113499374651191,-0.262729364563629,0.272712014822265
healthy,-0.375332991238555,-0.159620425199132,-0.218938873703972,-0.0544735472534097,0.0730485911179948,0.0336180960469476,-0.152096129991752,0.0976418842512559,-0.237845209977929,0.176851378234294
healthy,0.32117561908918,-0.104710784168646,-0.0127630183986925,-0.0019849111139227,0.377004531508059,-0.129178560131524,0.0928665417431273,-0.0069882869799928,-0.197784218020335,-0.0196508903272924
healthy,-0.0680575478412696,0.15860392739191,0.230134134140401,0.108109699206045,-0.263925168311447,-0.0923805001022085,0.270791851934085,-0.209636217183571,-0.154313554173962,-0.0356521148677425
moderate,0.0992759877751642,0.0539044918069716,-0.0264042647178172,0.543446732539259,-0.531431689677789,0.0536413377368421,0.366532954298704,-0.29560415536351,0.608789176628749,-0.16320480709285
moderate,-0.26833615176803,0.0918100142385878,-0.325865656960559,-0.11955183222053,0.0513471629256121,0.225569544082271,-0.384187953486444,0.566313873542842,-0.255643953716428,0.161546858543532
moderate,-0.0495137635707575,0.541301005350071,-0.586746158702749,-0.517447661857995,-0.33264685553928,0.145166173660795,-0.736174183326719,0.130386657747457,-0.49414614698375,0.122031936243509
severe,0.423343506525319,0.03314373075001,0.29465522764329,-0.209520943460682,0.10832212363697,-0.503575264332323,-0.0029331455579309,-0.757245687817657,0.099706776045381,-0.508100826702021
severe,-0.291992000160307,0.0245187108985235,-0.193975334640742,-0.0508564604595643,0.0321689741459989,0.333513481870855,0.0337306483294689,0.14079290584436,0.147629417275122,0.398952748067707
severe,0.0508107619174512,0.0404089340831892,-0.35098636773741,-0.460214023210555,-0.23210025575733,-0.0634495222843747,-0.59585739991706,0.356820893553741,-0.798504760825626,0.257792761703715
