group,CD3,CD4,CD8,CD27,CD38,CD127
healthy,0.0235838553993588,-0.199621404876178,-0.0366360352959147,-0.342737912423111,0.285624193558017,-0.405845679470928
healthy,-0.133883621532956,-0.0517822948290361,-0.141572567149466,-0.493182794728904,-0.038569263911128,-0.331032454821656
healthy,0.171421886196158,0.0333275168320179,-0.0759317667479757,-0.554962589676973,0.153925153857979,-0.383804483327187
healthy,0.0724687611383752,-0.0230303940320903,-0.191834896338534,-0.619709462413412,0.235566959661549,-0.391987668307685
healthy,-0.265847536107913,0.0246627882647328,-0.638170802787037,-0.324872948344849,0.337902700825436,-0.511225632267394
moderate,0.210535122860736,-0.0856165123202354,0.286070168935922,-0.267895956713753,-0.222800179012586,-0.24303056774939
moderate,0.074718439116807,0.0658374070794725,0.0650689430910906,-0.333139790812995,0.461415086765169,-0.237206373214342
moderate,0.381282170339916,0.506909071507271,-0.156467968228235,-0.471686676769385,-0.281313501161202,-0.24460992127622
severe,-0.558455435125406,-0.235397744215452,-0.46455929973226,-0.488321242753702,0.637813022304759,-0.496965908843179
severe,0.0134132936972094,-0.023150201663367,-0.144008122113153,0.0827060687350583,-0.0240216367389163,0.0020447191313731
severe,0.606947399690273,0.0335020326812281,0.216028460181248,-0.0486400142793193,-0.116535618698023,0.132448984693875
