group,CD45RO,CD27,CD127,CD3,CD27,CD38,CD127
healthy,0.017472568641746,-0.630932866593424,-0.466635334286188,-0.0061996426683622,-0.606093590286195,0.0138323762758594,-0.462002128159311
healthy,-0.281549293661494,-0.630309518614447,-0.389685199545932,-0.321903292225657,-0.638206626576523,0.0632433028591678,-0.417325982553192
healthy,-0.243780094093923,-0.647614210310243,-0.472373944969839,-0.0722153978189668,-0.566408026984829,0.0659104840788718,-0.430012586423972
healthy,0.69206300546668,-0.353331881270289,-0.182253984378702,-0.0897820185291962,0.443422057443204,-0.169232819067723,0.47151328829684
healthy,0.010054176628644,0.712185735531408,0.596701865408378,-0.181727328680496,-0.747416092103067,0.114544588417089,-0.530531712563803
moderate,0.232813751453898,-0.0236980617703011,0.165453057777869,-0.130745583547128,-0.304383229821074,-0.0233345491282543,-0.130003264174633
moderate,0.16444451767336,-0.573105010074001,-0.375148588027345,-0.236708188918129,-0.382503541297986,0.201902208413773,-0.289591589880911
moderate,-0.0604377217045362,-0.75040471342332,-0.612755296552049,-0.237368015767525,-0.681851233050223,0.28952929813922,-0.633139854504726
severe,0.0522637574811272,-0.446577110312008,-0.246366907934129,-0.642667119433964,-0.392140094421275,0.671358315943556,-0.423479045760432
severe,0.023820321873402,0.0888685224623774,0.139500751455262,0.435630584023097,-0.0320244653577364,-0.315017675968856,-0.013258111965619
severe,-0.151683259206789,0.719399523732923,0.694320474231424,-0.381345536248546,0.578793572657209,-0.112532263330166,0.341634470610886
