group,CD3,CD8,CD28,CD95,CD45RO,CD27,CD38,CD127,CD94
healthy,-0.179680215652816,-0.205461712836849,-0.0764464339715386,-0.0438141985973642,0.156298744358167,-0.115776198922543,-0.0131491307703912,-0.207549766671901,-0.030781257178393
healthy,-0.0858499613064361,-0.0371503554249278,0.256410351185215,0.0534366151480491,-0.0871135310494853,0.444766266234852,0.0700283409333272,0.402052340060478,0.0216768518831809
healthy,0.155969535679441,0.166539622970939,-0.0430583433087627,0.201498753854548,-0.108386198816371,-0.0474232385716369,0.116404795096773,-0.0229445864256151,0.469490193829151
healthy,-0.481693236206488,0.0193052295976111,0.0255868064864311,-0.477841449388607,-0.466694095519322,0.248899336454658,0.0622605993220326,0.145480839593323,0.0423488998811046
healthy,-0.241687796996451,-0.437636273587696,-0.227145715863015,0.323171643264645,0.127131324312606,-0.642115502586232,0.302946424283655,-0.540280302900351,0.341453250516492
moderate,0.0115886036448717,0.0767687295453434,0.466693090691019,0.0068212417054044,0.253696146493924,0.446844912530483,0.13642586384876,0.546677870470754,0.11184924725522
moderate,-0.431412240008131,-0.493112557703351,0.0971003240720606,-0.225477528547971,-0.245643009933814,0.013848769427207,0.238287444584613,-0.0911601113675618,-0.0280324818254042
moderate,0.232252995226736,0.26479183672349,0.53487569362418,-0.376316067735762,0.115970044890085,0.66100347154277,-0.331445473265804,0.61347083575911,-0.497617443404496
severe,-0.54664616142887,-0.458348781333457,-0.0362679249619264,-0.210421842402174,-0.194295047067194,-0.151759887332172,0.474540795442215,-0.369969758502312,-0.178777394722171
severe,-0.230265488920082,-0.215275555471504,0.0675112598251565,0.238245417401399,-0.023655796229419,0.158229042812217,0.35332972227798,0.176977823285483,0.239142884597242
severe,-0.368453123987883,0.290608002572506,0.622561278423641,-0.371628294131259,-0.0239775751817221,0.775620463259846,-0.257244339525781,0.724684306455422,-0.572119973836442
