group,CD3,CD8,CD28,CD45RA,CD27,CD38,CD127,CD94
healthy,-0.20877649114512,-0.322916050977269,-0.0947885597976364,0.0960587654523851,0.0209344792885133,0.0438026861856644,-0.215111499941302,-0.233673449803403
healthy,-0.587293981017022,-0.403796712347248,-0.367080349707199,0.0275602101756263,-0.414210062496513,0.0094544382611192,-0.28559107958348,-0.0742270584389634
healthy,-0.309854954285601,-0.34423017615212,-0.102236141416761,-0.271784217792751,-0.129926000361933,-0.0559648736953177,-0.180153710696849,-0.267355558684576
healthy,0.0312638383120547,0.0025213815769644,-0.164869952961612,-0.129244561450575,-0.444344451108544,0.25608855828038,-0.328529528476227,-0.0248299395571551
healthy,-0.223478408652678,-0.591904161300977,-0.345478614811968,0.0872551911856426,-0.601198110202488,0.420460048811406,-0.609342496359342,0.4689416852226
moderate,0.199247165410475,0.0207711718843128,0.387319367929394,-0.481724371873812,0.265096969594037,-0.510620121621456,0.580192270316094,-0.277770741795575
moderate,-0.480002596784409,-0.426355424705672,-0.0961683319969145,0.0043510793967255,-0.229390650920056,0.293834200396633,-0.271434041106882,-0.0398151240676232
moderate,-0.173277540869361,-0.295698435452532,-0.491102749731835,-0.226657918708797,-0.671342801559908,0.121230511174388,-0.550919401857735,0.244439724637751
severe,0.0016756658022051,-0.153422384703696,-0.0753040233479927,-0.157098358850785,-0.112645897393688,-0.0902334821340391,0.146090133780865,0.462213122392704
severe,-0.437731437571347,-0.378277954920268,0.0506832925022844,0.0615405174860744,0.0710434394400308,0.326273404445345,0.126352506479197,0.340158949867116
severe,-0.307136296441755,-0.0217238464834684,-0.0089746007743213,-0.246483722613931,-0.111393202061255,0.605002668531651,-0.493451099602861,0.112934090217512
