group,CD8,CD20,CD28,CD95,CD279,CD27,CD127,CD94
healthy,0.191016984410952,-0.0150092633249375,-0.196923520576153,0.147885464233445,0.221818980045893,-0.28522356175798,-0.178766042552494,0.100689007565201
healthy,0.0142310551658024,-0.16079498956749,-0.377532454374016,-0.105106473533509,-0.0453462277698321,-0.577570549972779,-0.427203914273445,0.150126180046747
healthy,-0.3221624393081,-0.228943197778312,-0.510563257569629,-0.167717753746587,0.0073716116235323,-0.564966613264019,-0.414497238378797,0.0127830127535142
healthy,0.0209817778053949,0.43523942883839,0.0558774182368699,-0.067588602248748,0.518759450996492,0.165496842375963,0.0977657303120622,0.157873433045573
healthy,-0.108536267962467,0.0197662713313684,-0.254597769420861,0.499696762736348,-0.026809912037824,-0.321578117536113,-0.36765817944794,0.542257339944589
moderate,0.195661131590206,0.136441560067827,0.451204278753073,0.0122370173910904,-0.110480489978764,0.358328558701837,0.428241852204838,-0.177686445701349
moderate,0.469199530216223,0.0657869373618445,0.0777590636657698,0.123996342627724,0.0054346361863976,0.215662527036624,0.201145349684521,0.121604697963025
moderate,0.170814727124313,-0.0500905622414584,0.390089019267161,-0.256598907097713,-0.131848507955093,0.448542068967722,0.503969768460907,-0.571819603083286
severe,0.0911018344345002,0.214777085355815,0.131801786338035,0.094868381685975,0.184685233162782,0.188750956181934,0.405322032454295,0.313675947911863
severe,0.268893063217052,0.497432042353677,0.160314936725028,0.273458105156093,0.0769245963035049,0.177388086701642,0.0302049708203188,0.0625741570578663
severe,0.381347272715941,0.0167466382455059,0.448610567239539,-0.362048611895839,0.111918005301581,0.633994262456675,0.771763077438134,-0.455971149810711
