group,CD3,CD8,CD28,CD95,CD27,CD127,CD94
healthy,0.0594954172448204,0.12480468251456,0.416442413371387,-0.04716745981536,0.584758795419313,0.464430538390734,-0.0473558929710469
healthy,0.480252261505355,0.377206196202647,0.397404915029166,0.110447284377867,0.555554629985259,0.324871383973254,-0.26968796648504
healthy,0.145450195694944,0.28195291773971,0.51376912971267,0.101151509578828,0.59118901070189,0.481336159137692,-0.18314012270316
healthy,0.0712092334712649,-0.228800291799358,-0.298702157318771,0.483893571183928,-0.74849162549558,-0.528058155722317,0.312574649057142
healthy,-0.133960148208384,-0.526652055750517,-0.279221709012621,0.405447623109582,-0.637239843522705,-0.46598838404662,0.451947584935553
moderate,0.144294487524686,0.191262817586527,0.110551458221415,-0.168172281205968,0.212004181860832,0.0655639394618245,-0.0670504699669499
moderate,0.243558500681421,0.371252470906787,0.268093603803883,0.0136378841195591,0.515661593142718,0.331309756871484,-0.0471823909719883
moderate,0.228690106411158,0.360521597828861,0.542465849763829,-0.387298360874936,0.703873995953413,0.599481612169731,-0.417980185184357
severe,-0.494366904839711,-0.259687143832615,-0.0669566815547458,-0.0469546250933563,-0.292001859173583,-0.242625699617337,-0.178837204908816
severe,0.444704021494284,0.39428324745557,-0.21528042542805,-0.234935076921442,-0.0837940264292469,-0.197219200419689,-0.367840612731828
severe,-0.169453125846726,0.104319067591551,0.580577794788431,-0.372418572396907,0.703942077862135,0.799873436306425,-0.322580538807875
