group,CD3,CD28,CD95,CD45RA,CD27,CD38,CD127,CD94
healthy,0.0627793615657028,-0.426187719428634,0.0484259965126441,0.0934273498263368,-0.608875157779355,0.0530338563416787,-0.479692595632801,0.0693102134753479
healthy,-0.0384012583580967,-0.314462752872101,-0.121975680036006,0.103387652107721,-0.435884373888354,-0.0485251223914671,-0.32484701825397,0.0306908228650082
healthy,0.0822263267200403,-0.58662489269973,-0.126809064215089,0.279376870360459,-0.664699689422334,0.131944813054239,-0.474412506223784,0.194107855367978
healthy,-0.0802896407463385,-0.293015761861191,0.36038925522517,-0.157094954161087,-0.667759218342868,0.180424863847087,-0.493571920923412,0.433507357962023
healthy,-0.171241890131576,-0.0411381491788778,-0.687268586663166,0.292961729531233,0.367501055028239,0.215844801583866,0.254359543620215,-0.202064229392905
moderate,-0.0270289643337405,0.489594579263622,-0.0527372111986144,-0.553408849889698,0.314759898511321,-0.0020381879127977,0.459097451505586,-0.014170722749316
moderate,-0.0704779704854576,-0.360044993555657,-0.0432420915706946,-0.188600636489516,-0.449030409623062,0.182445774500217,-0.364684822579939,-0.105330592341167
moderate,0.304528344688451,0.460373545946601,-0.278860033402435,-0.0098757916505886,0.576918702120387,-0.26177247838223,0.534056982463574,-0.427512677765268
severe,-0.563984753162773,-0.0622348951915344,-0.062503402701935,-0.189476512694986,-0.351975567246045,0.706253350939816,-0.430037836697464,0.154104268679038
severe,0.231236479944731,-0.345286021973167,-0.269429310298657,0.0650893569546823,-0.271599382299174,-0.171466148710418,-0.408987077080477,-0.468764993892028
severe,0.263485176424959,-0.520493658389381,0.387874215902285,0.0616110573567404,-0.713390650338099,0.367149494996383,-0.664157283008223,0.645790073463926
