group,CD3,CD28,CD95,CD45RO,CD27,CD127
healthy,0.0093771487198963,0.354081421954192,-0.163986676767211,0.0210583052871957,0.528212820291017,0.396829865101247
healthy,0.317292755633128,0.445015622958416,0.0948252288557658,0.423808142180438,0.644663862226572,0.447732672154156
healthy,-0.0674200175943093,0.589387520849238,0.157951600532391,0.3780520616426,0.62159572876802,0.453940394923391
healthy,0.0811713101133158,-0.106559078422054,0.542880059425028,0.341732647931921,-0.537805366010134,-0.0589302944992482
healthy,0.179020083455528,0.311488554556979,0.397101297324338,0.565346491687096,0.185356428707948,0.184457167470621
moderate,0.269133680505083,0.36092546098019,-0.199187163835164,0.042523681962815,0.253905835259228,0.456201843628324
moderate,-0.0167497782647798,0.406428476796576,0.0202683642424725,-0.112476301443285,0.61096473071577,0.382371710207234
moderate,-0.122311466982344,0.614650184509457,-0.403052270894567,0.078055262762832,0.828345462653607,0.615585504809523
severe,0.589241055367051,0.0030241509597513,0.0394366707524114,0.0542381447984043,0.217602736079004,0.0541050210665261
severe,0.502984698732401,-0.14234208182174,-0.178696945681266,-0.0511136305225192,-0.0245696287643908,-0.130511046604151
severe,-0.389459476000115,0.633555671220873,-0.39034404649662,-0.0272342200974561,0.754550198433887,0.65584503020056
