group,CD8,CD28,CD45RA,CD27,CD127,CD94
healthy,0.0928155987160568,-0.154580339114065,-0.382044555532437,-0.343181397511064,-0.11169727002996,0.110618077831368
healthy,-0.338333452815152,-0.414859941888375,0.0710820806715699,-0.550770319316473,-0.316282485206372,0.217403772332796
healthy,-0.0502950415887162,-0.415727414753358,0.0247183834341594,-0.579688984629775,-0.403844970961707,0.168921119763895
healthy,-0.0525161016072008,-0.0787532228639275,-0.162382106412448,-0.336425704345818,0.0765779887372038,0.410266818969436
healthy,-0.660933470991517,0.0033739770110683,-0.142875237588867,-0.211289246245972,-0.35993755948812,0.232795758331095
moderate,0.0982669981219319,0.322240143830071,-0.556077402353423,0.233189041608622,0.515741941545076,0.0323035455578866
moderate,0.145416509349172,-0.355671363652529,-0.293178697166641,-0.443237127773326,-0.0460368681706117,-0.0827076220083306
moderate,-0.277956052113323,-0.619566848260338,-0.147376825409829,-0.821583470589202,-0.672303202206717,0.315734236065822
severe,-0.280516953097161,-0.118052271795101,-0.113347709037068,-0.287465362028286,-0.46077198216668,-0.113658341986375
severe,-0.132558907697953,0.129355969322521,-0.316097840092381,-0.0309860052838476,0.184672489639822,0.195860055394427
severe,-0.403266685238142,-0.539906083829868,0.0506849300447531,-0.739336672952485,-0.729430720130529,0.563096937436338
