group,CD8,CD28,CD45RO,CD27,CD127,CD94
healthy,-0.0835253686944704,-0.156112049486996,-0.285324166547282,-0.136394246915036,-0.313338112424749,-0.127314954969853
healthy,0.0677194749729197,-0.329539955652751,-0.0711789964373372,-0.528622741269098,-0.403239866464153,0.149816217767841
healthy,0.0528502247749121,-0.375927015550132,-0.0208051320537194,-0.408740002762357,-0.180365293655066,0.224945712363866
healthy,-0.0180419151030134,-0.106242071411811,-0.50801466682354,-0.0296556779857889,0.0584311412569391,0.0482298136519072
healthy,-0.506931039530901,-0.2858749809078,0.0027815376140614,-0.637689512298249,-0.559879623429951,0.306942956496703
moderate,-0.256687139195599,-0.205227689693918,-0.0043190369936496,-0.171457710014497,-0.382323677945691,0.27731180200062
moderate,0.0308462590404188,-0.263134868243646,0.16923343204214,-0.186893936671683,-0.0832449882524742,-0.197283518360961
moderate,-0.186731032463611,-0.568898162358528,-0.178734863393603,-0.702712820464288,-0.653907855739024,0.442014281431659
severe,0.086643657539301,0.0298684865716408,0.0840456426466173,0.129864829606827,0.333508943079647,0.304482267793286
severe,0.377214623083674,-0.137715528768812,-0.103297674856043,-0.0837168101415793,-0.13457612521763,-0.272662595094191
severe,-0.426910185800076,-0.451048147395527,0.067746042081777,-0.657098281284803,-0.769706386602439,0.563529560322911
