group,CD3,CD28,CD45RO,CD27,CD38,CD127
healthy,-0.0369815853323841,-0.393983548168239,-0.0559422001986281,-0.557830912939993,0.0538689973622716,-0.469859262185108
healthy,-0.345918043880273,-0.440665035009533,-0.205271479104767,-0.614300600896034,-0.0002535665185457,-0.352886189411845
healthy,-0.189195257054343,-0.3508545254241,0.0956292698416054,-0.458891022821302,0.0694067314378589,-0.389759198366345
healthy,-0.247764836216445,-0.0229573582977423,-0.360113277717794,-0.169036839686185,0.149067671751655,-0.498150995141016
healthy,-0.0862809080031436,-0.0134283955711383,0.552433443952607,-0.286677408458043,0.317970571735858,-0.352007717564171
moderate,-0.312818226160691,-0.296039773056752,-0.119326405086017,-0.285428412895349,0.332722407928986,-0.537048659293903
moderate,-0.141739152481855,-0.315687536638986,0.187754655023342,-0.576990298707866,0.423754754478854,-0.302304762002711
moderate,-0.167446836297963,-0.59171350829183,-0.041618190920942,-0.785196654247472,0.215624378443949,-0.634442393303403
severe,0.586902894997118,-0.0068533465110538,0.0857708354481216,0.27469839005803,-0.797556761570845,0.279029324594395
severe,-0.441403737467923,0.084697437436802,-0.0400774497491585,0.0503945171795833,0.24880286050169,0.230746529118678
severe,0.100874074799011,-0.521734834284442,0.0417524371141324,-0.702648516844053,0.383597977381513,-0.790370239289102
