group,CD4,CD8,CD28,CD95,CD197,CD45RO,CD45RA,CD27,CD38,CD127,CD94
healthy,0.070952737454983,-0.237449672995514,0.174897992538477,-0.137340518053941,-0.15625240775064,-0.258952634370924,0.0304193497489625,0.427771156710675,0.0438119172711315,0.0691278984729908,-0.290880220230458
healthy,0.142831184953248,0.387156934341364,0.222687623738454,0.108896269961338,0.161313475026259,-0.0420485100442966,0.170734976490423,0.245390620082933,0.074774591318604,0.0188065335436464,-0.15661180757
healthy,-0.120554808019378,-0.201819209255743,0.341110300611119,-0.0796438996288198,-0.0532666854141619,0.169085397992931,-0.490897031338946,0.397583362546131,-0.136561092748251,0.250652463224591,-0.469548273028914
healthy,-0.0531106387528459,0.238856957339945,0.258172613752046,-0.531518851213429,0.0352705043236391,-0.375139537937075,0.302984399988994,0.682615923140368,-0.197437192813627,0.484412458927039,-0.266834940183691
healthy,-0.0899421164004483,-0.546666470986235,-0.308108814286009,-0.341182395575271,0.0260347472385464,-0.454706945845793,0.474870799679707,-0.155999716379908,0.493886786024838,-0.246264136283705,0.251504244702896
moderate,0.158060264140562,-0.0345273968079373,0.532508979668197,-0.0385171120686146,0.18542880216951,0.366357462210291,-0.480249467785363,0.357639917276948,5.20879930665818e-05,0.396247773041729,0.0291366641905093
moderate,-0.409605590518406,-0.15299764099579,0.23686604398151,-0.156018528897958,-0.155361708853586,-0.181298673849666,0.026020836152018,0.394536147450778,-0.177049752743015,0.0219249413978921,-0.170430293409794
moderate,-0.467142805988118,0.165391292307359,0.121833174102621,-0.134648449487717,0.0510653618873079,-0.182742286206184,0.328609004441429,0.242300979903984,0.279569014922334,0.0180512647921826,0.351996433863315
severe,-0.0398659469896092,0.10268322736059,0.009296076376907,-0.147632032377543,-0.368137148442415,-0.107858095509603,-0.0644653128340387,0.182122883091506,-0.412921260975472,0.22815937640104,0.0264095201919227
severe,-0.102048078770314,0.416134642615008,-0.048355915156442,-0.098873691428673,-0.0117178536740325,0.0784991732447784,-0.154347134625231,-0.0417977704859224,-0.292187688616293,-0.246962598495352,-0.43804487007373
severe,-0.112505967146081,0.239830918360871,0.649478322764095,-0.262084681427119,0.480623784501514,0.0596776949410525,0.0095025664902291,0.73988197053409,-0.143110348612447,0.680378939114137,-0.404843581907291
